date,code,name,sector,open,high,low,close,volume,trade,value,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,EMA_12,EMA_26,EMA_50,RSI_14,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,BB_Width,BB_Position,ATR_14,Returns_1d,Returns_5d,Returns_20d,Log_Returns,Volatility_30d,Volatility_60d,Volume_SMA_20,Volume_Ratio,Target_Return_1d,Target_Price_1d
2010-10-07,BSCCL,Bangladesh Submarine Cable,Telecom,207.81,210.72,206.58,208.79,801095,2071,167257539.7,207.32599999999996,208.473,208.6805,202.4698,201.6782,197.2213,208.57002794732318,207.14761155710866,204.66421012090666,53.617850953206236,1.4224163902145222,1.9419070860057532,-0.5194906957912311,208.6805,219.8041031175064,197.5568968824936,22.24720623501281,0.5049219663288627,5.340714285714283,-0.010661485974222895,0.00976930889394012,0.055614540674452595,-0.010718726827720274,0.2708645761962358,0.26350297784079707,524684.4,1.526813070866982,-0.0015805354662579152,208.46
2010-10-08,BSCCL,Bangladesh Submarine Cable,Telecom,208.93,208.95,207.79,208.46,512057,1873,106741884.35,208.62199999999999,208.031,209.24949999999998,202.8168,201.95600000000002,197.2071,208.55310057081192,207.24482551584134,204.81306462596916,49.50058072009294,1.3082750549705793,1.8151806797987184,-0.5069056248281392,209.24949999999998,218.94747477501622,199.55152522498375,19.39594955003247,0.4592956252044565,5.0449999999999955,-0.0015805354662579152,0.03208238439449462,0.057743048508219985,-0.001581785830107914,0.26628369744050795,0.2623436409405925,540862.25,0.9467419846735468,-0.013959512616329217,205.55
2010-10-11,BSCCL,Bangladesh Submarine Cable,Telecom,207.1,207.3,203.36,205.55,41899,487,8612305.4,208.62399999999997,207.38400000000001,209.46300000000002,203.185,202.1727,197.18535,208.09108509837932,207.1192828850383,204.84196405240175,38.74254473161032,0.9718022133410216,1.6465049865071792,-0.6747027731661577,209.46300000000002,218.59366112784767,200.33233887215238,18.26132225569529,0.2857219786601359,4.89071428571428,-0.013959512616329217,4.8652330446818937e-05,0.02121422893481717,-0.014057862967288759,0.262264157874045,0.2639760304823847,519114.55,0.08071243620507265,-0.0018973485769886445,205.16
2010-10-12,BSCCL,Bangladesh Submarine Cable,Telecom,205.59,205.63,203.38,205.16,669317,3516,137314879.66,207.8,206.93800000000002,209.522,203.487,202.3677,197.15834999999998,207.6401489293979,206.97415081947992,204.85443605034678,33.879059941906505,0.6659981099179788,1.4504036111893392,-0.7844055012713604,209.522,218.51773606596092,200.52626393403906,17.991472131921853,0.25755180187503396,4.563571428571423,-0.0018973485769886445,-0.019686544342507717,0.0057848808706735255,-0.0018991508228197943,0.26234749068658486,0.26381913562272485,546252.95,1.2252876620620539,0.02578475336322872,210.45
2010-10-13,BSCCL,Bangladesh Submarine Cable,Telecom,208.9,210.86,208.2,210.45,629578,134,132492885.83,207.68200000000002,207.302,209.5335,203.898,202.625,197.1771,208.07243370949053,207.23162112914807,205.07386993072535,36.43056613353644,0.8408125803424582,1.328485405019963,-0.48767282467750483,209.5335,218.533580175082,200.533419824918,18.00016035016398,0.5509162130876037,4.597142857142854,0.02578475336322872,-0.0027956785443518095,0.001094091903719896,0.025457932695511956,0.2720898775291496,0.26818961644672795,530483.0,1.1868014620638172,0.010928961748633892,212.75
2010-10-14,BSCCL,Bangladesh Submarine Cable,Telecom,212.35,215.06,209.86,212.75,588566,1974,125215714.75,208.47400000000002,207.9,209.72799999999998,204.4054,202.85190000000003,197.1985,208.79205929264583,207.64038993439635,205.37489463932437,49.805563864792106,1.1516693582494781,1.2931221956658663,-0.14145283741638814,209.72799999999998,218.83430227109997,200.6216977289,18.212604542199983,0.6659290406815684,4.237142857142855,0.010928961748633892,0.01896642559509565,0.01862491621181639,0.010869672236903891,0.2724201374452494,0.2655992195829779,519790.25,1.1323144287527518,-0.014524089306698018,209.66
2010-10-15,BSCCL,Bangladesh Submarine Cable,Telecom,211.38,211.51,205.79,209.66,830379,2261,174094214.17,208.714,208.66799999999998,209.93850000000003,204.84480000000002,203.02900000000002,197.19115000000002,208.92558863223877,207.78999067999663,205.54293798680183,46.69097027481771,1.1355979522421364,1.2616173469811205,-0.12601939473898405,209.93850000000003,218.82029278962895,201.05670721037112,17.763585579257835,0.4843218589649358,4.63,-0.014524089306698018,0.005756500047970681,0.020491603796544133,-0.014630596429056935,0.27519382145403654,0.2661833707622241,551412.55,1.5059124062373987,-0.027043785175999147,203.99
2010-10-18,BSCCL,Bangladesh Submarine Cable,Telecom,203.48,205.23,201.87,203.99,693407,4822,141450673.28,208.402,208.513,209.6935,205.1492,203.1291,197.12345000000002,208.16626730420205,207.50850988888575,205.48203845790763,42.769072694580025,0.6577574153162971,1.140845360648156,-0.48308794533185884,209.6935,218.95910652146074,200.42789347853926,18.53121304292148,0.19222198315945624,4.917857142857143,-0.027043785175999147,-0.007589394307954245,-0.023457322035520978,-0.027416197989553494,0.28735381861622333,0.2724558197873709,543902.25,1.2748742995639382,-0.024167851365263004,199.06
2010-10-19,BSCCL,Bangladesh Submarine Cable,Telecom,201.1,201.62,195.87,199.06,340759,2382,67830347.35,207.18200000000002,207.49099999999999,208.916,205.2586,203.15689999999998,197.02254999999997,206.7653031035556,206.8826943415609,205.2301938124995,40.56029232643119,-0.11739123800529683,0.8891980409174655,-1.0065892789227622,208.916,219.01658549631802,198.81541450368198,20.201170992636037,0.012107491016594184,5.087142857142857,-0.024167851365263004,-0.029732891401832662,-0.0724570150505569,-0.024464686216955522,0.2951520904581178,0.2770758434399222,520696.5,0.6544292116424827,-0.015020596804983466,196.07
2010-10-20,BSCCL,Bangladesh Submarine Cable,Telecom,197.2,199.65,192.39,196.07,551769,1635,108184266.48,204.30599999999998,205.994,207.85100000000003,205.2786,203.14770000000001,196.91095,205.11987185685473,206.0817540199638,204.8709705257348,37.84090909090908,-0.9618821631090668,0.518982000112159,-1.4808641632212258,207.85100000000003,218.6649167644976,197.03708323550245,21.627833528995154,-0.04471475306141718,5.470000000000003,-0.015020596804983466,-0.06832976954145875,-0.09798960298109216,-0.015134548490587076,0.2917673479961568,0.27879690365189247,515874.0,1.069580944184045,-0.013260570204518762,193.47
