date,code,name,sector,open,high,low,close,volume,trade,value,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,EMA_12,EMA_26,EMA_50,RSI_14,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,BB_Width,BB_Position,ATR_14,Returns_1d,Returns_5d,Returns_20d,Log_Returns,Volatility_30d,Volatility_60d,Volume_SMA_20,Volume_Ratio,Target_Return_1d,Target_Price_1d
2010-10-07,JAMUNAOIL,Jamuna Oil Company,Fuel,319.93,325.33,319.57,323.41,498123,2987,161099998.27,322.408,315.777,312.4995,309.909,302.8653,301.6339,316.9701359220252,313.274429518246,309.78260749670045,74.68671679198009,3.695706403779184,2.0997037807746586,1.5960026230045252,312.4995,325.86004281122166,299.13895718877836,26.721085622443297,0.9083105063229983,5.794285714285711,-0.003236146212167723,0.03385333418579384,0.0356079285279709,-0.0032413938578118007,0.20066080484899787,0.17568265757565704,390966.0,1.2740826568039165,-0.0025973222844069,322.57
2010-10-08,JAMUNAOIL,Jamuna Oil Company,Fuel,326.25,327.24,319.0,322.57,509796,995,164444214.34,323.326,317.415,313.11199999999997,310.2104,303.0836,301.68075,317.83165347248286,313.96299029467224,310.28407386937886,72.58145363408526,3.8686631778106175,2.4534956601818507,1.4151675176287668,313.11199999999997,327.15746092627563,299.0665390737243,28.090921852551332,0.8366924036756385,6.044285714285711,-0.0025973222844069,0.014434870117617349,0.03947538025264241,-0.0026007011779164845,0.20096598947566277,0.17580448428569034,398825.9,1.2782419597122452,-0.005859193353380587,320.68
2010-10-11,JAMUNAOIL,Jamuna Oil Company,Fuel,323.3,324.84,320.64,320.68,504711,1880,161851973.32,322.852,318.70099999999996,313.5555,310.4624,303.3291,301.74945,318.2698606305624,314.46054656914094,310.69175724705025,61.42513529765492,3.8093140614214462,2.72465934042977,1.0846547209916761,313.5555,327.9828256448697,299.1281743551303,28.854651289739422,0.746909932421656,5.487857142857138,-0.005859193353380587,-0.007336325646184805,0.028446810557711366,-0.005876425771773563,0.1836016513064506,0.17608942059218283,387427.8,1.3027227266602965,-0.015560683547461651,315.69
2010-10-12,JAMUNAOIL,Jamuna Oil Company,Fuel,313.47,318.65,312.89,315.69,510004,3369,161003384.08,321.36199999999997,319.405,313.575,310.723,303.4643,301.75175,317.87295899509127,314.551617193649,310.8877667667738,66.5255617062846,3.3213418014422587,2.843995832632268,0.4773459688099906,313.575,328.0133035889356,299.13669641106435,28.87660717787128,0.5732426765711166,5.38428571428571,-0.015560683547461651,-0.02305502259082748,0.001236917221693501,-0.015683021753920376,0.18749368234045885,0.17935991043827065,396418.05,1.2865307217973552,0.00801419113687496,318.22
2010-10-13,JAMUNAOIL,Jamuna Oil Company,Fuel,318.06,318.4,316.9,318.22,627369,718,199644428.53,320.114,320.20200000000006,313.85450000000003,310.9094,303.61789999999996,301.77865,317.9263499189234,314.82334925337875,311.17530532493953,66.924066924067,3.1030006655446414,2.895796799214743,0.2072038663298983,313.85450000000003,328.4315366998003,299.27746330019977,29.15407339960052,0.6497389383694087,5.309999999999994,0.00801419113687496,-0.019231954632311976,0.01788056168633867,0.007982248058880122,0.18780942404612963,0.17985635288955548,400471.5,1.5665758986594551,0.01021306014706802,321.47
2010-10-14,JAMUNAOIL,Jamuna Oil Company,Fuel,320.62,321.79,318.85,321.47,785434,4389,252492240.25,319.726,321.067,314.549,311.13939999999997,303.8635,301.84085000000005,318.47152685447367,315.31569375312847,311.5790188416086,73.2784887263864,3.155833101345195,2.9478040596408337,0.2080290417043611,314.549,329.1907383207249,299.90726167927505,29.28347664144985,0.7363448877584292,5.312857142857139,0.01021306014706802,-0.005998577656844195,0.04515898302880572,0.01016125924687171,0.18948994425978546,0.17721706349091534,414731.85,1.8938357398883159,-0.0029551746663765144,320.52
2010-10-15,JAMUNAOIL,Jamuna Oil Company,Fuel,320.09,320.9,319.53,320.52,52984,3883,16982405.13,319.316,321.321,315.38950000000006,311.3958,304.08439999999996,301.8977,318.78667656917,315.7011979195634,311.9296455537024,69.75731176104537,3.085478649606614,2.97533897763399,0.11013967197262398,315.38950000000006,329.32429170995937,301.45470829004074,27.869583419918627,0.6840895833531948,5.297857142857144,-0.0029551746663765144,-0.006355209721920829,0.05534885252378907,-0.0029595498167125775,0.18861339792532014,0.17680238624147337,389658.9,0.13597533637753428,0.008798202920254461,323.34
2010-10-18,JAMUNAOIL,Jamuna Oil Company,Fuel,323.25,323.47,323.08,323.34,388237,2788,125531575.67,319.84800000000007,321.35,316.329,311.76,304.36260000000004,301.99305,319.4871878662208,316.2670351107069,312.3771104339494,71.52065631409313,3.2201527555138796,3.0243017332099678,0.19585102230391183,316.329,329.7093467817523,302.9486532182477,26.76069356350456,0.7619887254925769,4.795714285714289,0.008798202920254461,0.00829487339403756,0.061697586603184806,0.008759724263590393,0.1872773123663555,0.17744647282170511,400608.45,0.9691183498500843,-0.012989422898496916,319.14
2010-10-19,JAMUNAOIL,Jamuna Oil Company,Fuel,321.7,322.7,315.86,319.14,391584,4181,124970367.97,320.538,320.95,316.632,312.03340000000003,304.598,302.03155,319.43377434834065,316.4798473247286,312.6423217894808,62.10182412197112,2.9539270236120387,3.0102267912903824,-0.05629976767834366,316.632,329.97697358558446,303.28702641441555,26.68994717116891,0.5939679641894975,4.945714285714287,-0.012989422898496916,0.010928442459374743,0.019356075124568717,-0.013074523191179091,0.18901352016239095,0.1787744330222878,418310.15,0.9361092481260614,0.030926865952246585,329.01
2010-10-20,JAMUNAOIL,Jamuna Oil Company,Fuel,329.7,329.95,328.7,329.01,56069,1088,18447401.92,322.696,321.40500000000003,317.80550000000005,312.452,304.9478,302.07825,320.9070398332113,317.4080067821561,313.28419152322664,68.38519191460367,3.4990330510551644,3.107988043243339,0.3910450078118255,317.80550000000005,331.17128424264723,304.4397157573529,26.73156848529436,0.9191486184644866,5.5007142857142854,0.030926865952246585,0.03390735968826597,0.07681481966354631,0.030458267457945908,0.19516532673348927,0.1889726645905497,396406.2,0.14144329730463348,0.006170025227196785,331.04
