date,code,name,sector,open,high,low,close,volume,trade,value,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,EMA_12,EMA_26,EMA_50,RSI_14,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,BB_Width,BB_Position,ATR_14,Returns_1d,Returns_5d,Returns_20d,Log_Returns,Volatility_30d,Volatility_60d,Volume_SMA_20,Volume_Ratio,Target_Return_1d,Target_Price_1d
2010-10-07,NCCBANK,NCC Bank,Bank,145.29,147.45,145.01,146.93,277556,3435,40782202.46,146.876,149.597,150.98399999999998,152.4128,155.2903,158.6674,148.932563016958,150.4076693623633,152.22058564097836,38.453008039922416,-1.475106345405294,-0.9532753282643334,-0.5218310171409606,150.98399999999998,158.25706610215474,143.71093389784522,14.546132204309515,0.22130048434463467,3.8314285714285745,0.01702775662767353,-0.02144522144522143,-0.029460334236078856,0.016884409346564908,0.27846937694294965,0.26437780226968643,466622.05,0.5948197261573901,-0.0018376097461376695,146.66
2010-10-08,NCCBANK,NCC Bank,Bank,146.25,147.64,145.21,146.66,320497,2595,47004258.35,146.52400000000003,149.01000000000002,150.87449999999998,152.3214,155.25429999999997,158.5936,148.582937937426,150.13006422441043,152.0025234589792,39.85632183908048,-1.5471262869844224,-1.0720455200083512,-0.47508076697607127,150.87449999999998,158.3460783578767,143.40292164212326,14.943156715753446,0.21796454523180123,3.8878571428571456,-0.0018376097461376695,-0.01185824012936254,-0.014712798118911685,-0.0018393002222015253,0.27842520502731766,0.2635384619875114,434335.15,0.7379025160639198,0.006409382244647377,147.6
2010-10-11,NCCBANK,NCC Bank,Bank,147.68,147.73,147.4,147.6,627226,2375,92579581.81,146.844,148.72,150.69650000000001,152.219,155.2418,158.5333,148.43171671628355,149.9426520596393,151.8298754801957,45.387680049034614,-1.5109353433557544,-1.159823484677832,-0.3511118586779225,150.69650000000001,158.30775835090412,143.0852416490959,15.222516701808217,0.2965842271250587,3.6592857142857156,0.006409382244647377,0.010958904109588996,-0.0235512040222281,0.006388929500718562,0.27915100409054955,0.26411264877096285,456737.1,1.3732757860046843,0.011314363143631434,149.27
2010-10-12,NCCBANK,NCC Bank,Bank,149.14,149.5,148.77,149.27,632871,2160,94467928.41,146.98600000000002,148.217,150.33350000000002,152.0772,155.261,158.4844,148.56068337531684,149.89282598114752,151.72948820646255,52.87135065768369,-1.3321426058306827,-1.194287308908402,-0.1378552969222806,150.33350000000002,157.44972689795335,143.21727310204668,14.232453795906679,0.4252764129607874,3.423571428571429,0.011314363143631434,0.004779213785675918,-0.046380885453267684,0.011250834478776194,0.2761310275132709,0.26232386784819606,483335.8,1.3093815935008333,0.02840490386547856,153.51
2010-10-13,NCCBANK,NCC Bank,Bank,154.98,155.16,153.44,153.51,865401,2846,132848885.96,148.794,148.15699999999998,150.16299999999998,151.97740000000002,155.3272,158.47684999999998,149.32211670219118,150.1607647973588,151.79931219836598,57.51879699248118,-0.8386480951676276,-1.1231594661602473,0.2845113709926197,150.16299999999998,156.75917145734806,143.5668285426519,13.192342914696155,0.7537077774313674,3.5521428571428566,0.02840490386547856,0.06257354468055643,-0.02173081825133827,0.028008964839961716,0.286746907223443,0.2631827075160485,502649.4,1.7216791664329052,-0.03400429939417626,148.29
2010-10-14,NCCBANK,NCC Bank,Bank,148.37,149.12,147.4,148.29,33298,2819,4937801.05,149.066,147.97099999999998,149.834,151.7026,155.33939999999998,158.4049,149.16332951723868,150.02218962718408,151.66169211215555,44.04159640247329,-0.8588601099453967,-1.070299594917277,0.21143948497188036,149.834,156.08922905466397,143.57877094533603,12.510458109327942,0.3765832564637432,3.5714285714285694,-0.03400429939417626,0.009256108350915282,-0.04248724736876097,-0.0345958954981325,0.30124671806487674,0.2704896207920448,501951.35,0.066337106175728,0.0028997235147347755,148.72
2010-10-15,NCCBANK,NCC Bank,Bank,149.6,149.65,148.49,148.72,174144,2388,25899378.19,149.478,148.001,149.507,151.47119999999998,155.36620000000002,158.36235,149.09512497612505,149.92573113628157,151.54633163716906,47.38081224249559,-0.8306061601565204,-1.022360907965126,0.19175474780860546,149.507,155.22895071632013,143.78504928367988,11.443901432640246,0.43122974672297265,3.519285714285713,0.0028997235147347755,0.014046093004227433,-0.04212289063506369,0.002895527426211091,0.30109107604238966,0.268977789543353,509569.25,0.3417474661196687,0.012977407208176528,150.65
2010-10-18,NCCBANK,NCC Bank,Bank,152.89,153.08,147.82,150.65,47482,3954,7153363.26,150.08800000000002,148.466,149.3535,151.28,155.409,158.32075,149.33433651825965,149.9793806817422,151.51118137688792,44.31641233260666,-0.6450441634825665,-0.9468975590686141,0.3018533955860475,149.3535,154.7553370169685,143.9516629830315,10.803674033937,0.6200054718355426,3.530714285714286,0.012977407208176528,0.02066395663956655,-0.01997137652875358,0.012893922163121753,0.29427045638207067,0.26866143815176957,505801.75,0.09387472463272419,-0.0046465316959841685,149.95
2010-10-19,NCCBANK,NCC Bank,Bank,149.09,150.38,148.46,149.95,285244,1698,42772334.95,150.224,148.605,149.3205,151.0992,155.4249,158.2591,149.42905397698894,149.9772043349465,151.44995857779426,43.62354383813609,-0.5481503579575531,-0.8671481188464019,0.3189977608888488,149.3205,154.69802623620276,143.94297376379726,10.75505247240551,0.5585306302888899,3.52,-0.0046465316959841685,0.004555503450123899,-0.004382179138171627,-0.004657360381292246,0.28838702511003744,0.26803580394054,485128.75,0.5879758723843928,-0.004734911637212291,149.24
2010-10-20,NCCBANK,NCC Bank,Bank,148.48,149.27,148.18,149.24,487226,1328,72714952.24,149.36999999999998,149.08200000000002,149.4085,150.8742,155.3818,158.1859,149.39996874975986,149.92259660643194,151.36329353552782,48.45080013619341,-0.5226278566720737,-0.7982440664115363,0.27561620973946266,149.4085,154.71636219231698,144.10063780768303,10.61572438463395,0.48412731963502226,3.2464285714285688,-0.004734911637212291,-0.027815777473780057,0.011933821535123457,-0.004746156842060886,0.2880425538505793,0.263179643497226,494444.95,0.9853998913326953,0.0006030554811042865,149.33
