code,input_rows,output_rows,features_added,status
ACI,4335,4135,29,success
BANKASIA,4335,4135,29,success
BATBC,4335,4135,29,success
BEXIMCO,4335,4135,29,success
BEXPHARMA,4335,4135,29,success
BRACBANK,4335,4135,29,success
BSCCL,4335,4135,29,success
CUSTOMERS,4335,4135,29,success
DBBL,4335,4135,29,success
DSEX,4335,4135,29,success
DUTCHBANGL,4335,4135,29,success
EBL,4335,4135,29,success
GP,4335,4135,29,success
HEIDELBCEM,4335,4135,29,success
ISLAMI BANK,4335,4135,29,success
JAMUNAOIL,4335,4135,29,success
LAFARGECEM,4335,4135,29,success
MARICO,4335,4135,29,success
MUTUALTRUST,4335,4135,29,success
NCCBANK,4335,4135,29,success
POWERGRID,4335,4135,29,success
PRIMEBANK,4335,4135,29,success
RENATA,4335,4135,29,success
ROBI,4335,4135,29,success
SIBL,4335,4135,29,success
SQURPHARMA,4335,4135,29,success
SUMITPOWER,4335,4135,29,success
TITASGAS,4335,4135,29,success
UNILEVER,4335,4135,29,success
WALTONHIL,4335,4135,29,success
