code,input_rows,output_rows,features_added,status,suffix
ACI,4335,4134,29,success,_v2
BANKASIA,4335,4134,29,success,_v2
BATBC,4335,4134,29,success,_v2
BEXIMCO,4335,4134,29,success,_v2
BEXPHARMA,4335,4134,29,success,_v2
BRACBANK,4335,4134,29,success,_v2
BSCCL,4335,4134,29,success,_v2
CUSTOMERS,4335,4134,29,success,_v2
DBBL,4335,4134,29,success,_v2
DSEX,4335,4134,29,success,_v2
DUTCHBANGL,4335,4134,29,success,_v2
EBL,4335,4134,29,success,_v2
GP,4335,4134,29,success,_v2
HEIDELBCEM,4335,4134,29,success,_v2
ISLAMI BANK,4335,4134,29,success,_v2
JAMUNAOIL,4335,4134,29,success,_v2
LAFARGECEM,4335,4134,29,success,_v2
MARICO,4335,4134,29,success,_v2
MUTUALTRUST,4335,4134,29,success,_v2
NCCBANK,4335,4134,29,success,_v2
POWERGRID,4335,4134,29,success,_v2
PRIMEBANK,4335,4134,29,success,_v2
RENATA,4335,4134,29,success,_v2
ROBI,4335,4134,29,success,_v2
SIBL,4335,4134,29,success,_v2
SQURPHARMA,4335,4134,29,success,_v2
SUMITPOWER,4335,4134,29,success,_v2
TITASGAS,4335,4134,29,success,_v2
UNILEVER,4335,4134,29,success,_v2
WALTONHIL,4335,4134,29,success,_v2
