date,code,name,sector,open,high,low,close,volume,trade,value
2010-01-01,DS30,DS30 Index,Index,246.13,246.25,243.86,245.5,757043,7150,185854056.5
2010-01-04,DS30,DS30 Index,Index,250.81,251.38,249.02,250.12,2259568,5959,565163880.4
2010-01-05,DS30,DS30 Index,Index,244.07,245.01,242.83,243.7,2650368,7279,645897963.45
2010-01-06,DS30,DS30 Index,Index,240.35,240.49,239.79,240.13,2992277,4110,718536554.13
2010-01-07,DS30,DS30 Index,Index,238.55,238.57,238.34,238.4,868541,5411,207058252.71
2010-01-08,DS30,DS30 Index,Index,242.58,243.08,240.51,241.51,907423,3477,219152518.19
2010-01-11,DS30,DS30 Index,Index,246.98,247.0,246.36,246.74,1799435,3055,443986017.88
2010-01-12,DS30,DS30 Index,Index,245.51,247.63,244.18,245.38,2476029,4116,607566068.94
2010-01-13,DS30,DS30 Index,Index,249.82,253.7,249.16,251.52,1199222,6898,301634173.67
2010-01-14,DS30,DS30 Index,Index,249.57,250.63,247.75,249.04,2500953,7348,622840974.4
2010-01-15,DS30,DS30 Index,Index,245.21,245.85,242.65,244.6,759968,7974,185891518.62
2010-01-18,DS30,DS30 Index,Index,250.01,250.2,246.93,248.5,2261852,7580,562067191.05
2010-01-19,DS30,DS30 Index,Index,244.86,246.02,244.33,245.23,1674923,3152,410743361.22
2010-01-20,DS30,DS30 Index,Index,250.91,251.11,246.77,248.36,1225249,4839,304299849.1
2010-01-21,DS30,DS30 Index,Index,245.96,246.95,243.16,245.4,1667902,5760,409302931.75
2010-01-22,DS30,DS30 Index,Index,253.32,253.32,251.59,252.08,1464385,5801,369136666.69
2010-01-25,DS30,DS30 Index,Index,246.58,249.46,244.66,247.35,2518829,3532,623041906.88
2010-01-26,DS30,DS30 Index,Index,241.08,245.83,240.77,243.27,2836038,5817,689911537.59
2010-01-27,DS30,DS30 Index,Index,245.67,245.72,245.6,245.65,958831,6163,235535828.09
2010-01-28,DS30,DS30 Index,Index,249.97,252.67,249.6,251.65,683616,6932,172029991.11
