date,code,name,sector,open,high,low,close,volume,trade,value
2010-01-01,DSES,DSES Shariah Index,Index,195.42,196.32,194.21,195.3,2525385,5154,493207690.5
2010-01-04,DSES,DSES Shariah Index,Index,195.54,196.06,194.45,195.25,542340,7750,105893464.53
2010-01-05,DSES,DSES Shariah Index,Index,198.17,199.74,197.03,198.36,2481587,6150,492241869.61
2010-01-06,DSES,DSES Shariah Index,Index,197.66,198.53,197.65,197.94,565041,5852,111843976.28
2010-01-07,DSES,DSES Shariah Index,Index,202.91,204.24,198.51,202.8,1270259,5068,257606051.54
2010-01-08,DSES,DSES Shariah Index,Index,202.78,202.81,202.77,202.79,2155310,3045,437077160.11
2010-01-11,DSES,DSES Shariah Index,Index,207.78,208.82,206.25,207.33,2837393,7594,588289554.1
2010-01-12,DSES,DSES Shariah Index,Index,207.0,207.19,206.83,207.0,1553522,5111,321580854.17
2010-01-13,DSES,DSES Shariah Index,Index,205.12,205.48,204.79,205.18,1522355,5106,312361531.47
2010-01-14,DSES,DSES Shariah Index,Index,202.65,202.72,202.63,202.68,2912985,7019,590401828.84
2010-01-15,DSES,DSES Shariah Index,Index,202.33,202.43,202.24,202.36,1677008,6369,339361434.96
2010-01-18,DSES,DSES Shariah Index,Index,204.11,205.22,200.57,202.33,2015317,4536,407763935.29
2010-01-19,DSES,DSES Shariah Index,Index,201.02,201.5,200.4,201.15,2928323,3793,589036772.13
2010-01-20,DSES,DSES Shariah Index,Index,202.5,202.71,202.5,202.58,2899601,5652,587388883.18
2010-01-21,DSES,DSES Shariah Index,Index,203.93,204.27,203.37,203.8,1185675,6295,241642056.01
2010-01-22,DSES,DSES Shariah Index,Index,203.45,204.3,202.19,203.06,1584064,3681,321652204.27
2010-01-25,DSES,DSES Shariah Index,Index,201.04,201.67,199.69,200.59,2996339,3566,601049039.66
2010-01-26,DSES,DSES Shariah Index,Index,199.37,200.23,198.55,199.36,2803996,7998,558991913.68
2010-01-27,DSES,DSES Shariah Index,Index,197.03,197.06,196.64,196.82,1642460,3659,323263869.6
