date,code,name,sector,open,high,low,close,volume,trade,value
2010-01-01,DSEX,DSE Broad Index,Index,277.8,279.15,277.72,278.21,647828,3522,180232227.88
2010-01-04,DSEX,DSE Broad Index,Index,278.55,279.64,278.43,278.93,692865,7195,193260652.62
2010-01-05,DSEX,DSE Broad Index,Index,281.29,282.24,281.17,281.75,2509615,6141,707080714.93
2010-01-06,DSEX,DSE Broad Index,Index,288.98,289.0,288.94,288.98,1678360,7539,485008061.5
2010-01-07,DSEX,DSE Broad Index,Index,291.02,291.99,289.69,290.73,1684675,4905,489782496.66
2010-01-08,DSEX,DSE Broad Index,Index,291.37,292.56,290.94,291.87,1455820,7159,424906720.06
2010-01-11,DSEX,DSE Broad Index,Index,295.82,297.46,295.78,296.86,2325871,7364,690464258.51
2010-01-12,DSEX,DSE Broad Index,Index,295.73,299.09,295.3,297.61,2642146,5795,786316818.1
2010-01-13,DSEX,DSE Broad Index,Index,300.09,300.23,295.74,298.94,614878,6084,183813648.02
2010-01-14,DSEX,DSE Broad Index,Index,299.94,301.09,297.33,299.48,2485454,4120,744347537.4
2010-01-15,DSEX,DSE Broad Index,Index,301.51,303.86,300.92,302.51,1538580,6895,465435586.59
2010-01-18,DSEX,DSE Broad Index,Index,305.71,306.17,304.15,305.12,1596737,7760,487191377.2
2010-01-19,DSEX,DSE Broad Index,Index,303.5,304.04,302.85,303.31,1134332,6161,344055690.99
2010-01-20,DSEX,DSE Broad Index,Index,298.97,301.15,297.35,299.4,1104161,5356,330586194.7
2010-01-21,DSEX,DSE Broad Index,Index,300.31,300.47,300.01,300.22,2609278,7701,783356385.29
2010-01-22,DSEX,DSE Broad Index,Index,301.87,303.77,301.24,302.45,2697723,4244,815939134.06
2010-01-25,DSEX,DSE Broad Index,Index,299.88,302.67,297.06,301.18,1649712,4118,496857871.85
2010-01-26,DSEX,DSE Broad Index,Index,296.17,296.56,295.77,296.35,2935397,4795,869918301.48
2010-01-27,DSEX,DSE Broad Index,Index,296.03,298.3,295.12,297.1,2708289,6865,804637443.98
2010-01-28,DSEX,DSE Broad Index,Index,299.36,300.17,298.45,299.15,2764539,5454,827017396.38
2010-01-29,DSEX,DSE Broad Index,Index,299.11,300.9,298.73,299.7,789958,4984,236747118.41
2010-02-01,DSEX,DSE Broad Index,Index,298.39,300.09,298.13,299.3,2981538,3174,892388072.59
2010-02-02,DSEX,DSE Broad Index,Index,300.25,300.28,299.68,300.04,961573,7738,288510041.3
2010-02-03,DSEX,DSE Broad Index,Index,303.36,305.04,302.34,303.03,2868538,5111,869249812.15
2010-02-04,DSEX,DSE Broad Index,Index,308.52,312.28,305.54,307.32,2370304,3644,728453445.97
2010-02-05,DSEX,DSE Broad Index,Index,304.42,304.91,303.53,304.29,1445489,3092,439851873.13
2010-02-08,DSEX,DSE Broad Index,Index,308.61,309.27,307.79,308.58,1937869,5290,597988537.17
2010-02-09,DSEX,DSE Broad Index,Index,306.19,308.17,305.91,306.93,665216,6484,204175752.46
2010-02-10,DSEX,DSE Broad Index,Index,304.79,306.19,304.57,305.24,1182796,5363,361036402.7
2010-02-11,DSEX,DSE Broad Index,Index,306.12,306.91,304.38,305.48,2104733,7746,642961391.04
2010-02-12,DSEX,DSE Broad Index,Index,305.13,307.2,301.9,305.05,2907444,4788,886901746.84
2010-02-15,DSEX,DSE Broad Index,Index,306.18,306.38,305.94,306.13,583210,7568,178540413.24
2010-02-16,DSEX,DSE Broad Index,Index,311.96,312.84,311.95,312.4,1126515,3593,351922633.9
2010-02-17,DSEX,DSE Broad Index,Index,312.11,312.32,311.79,311.96,1461309,7710,455868940.63
2010-02-18,DSEX,DSE Broad Index,Index,305.66,307.41,304.49,306.19,1271149,6176,389213434.61
2010-02-19,DSEX,DSE Broad Index,Index,305.69,306.93,302.95,304.9,602311,3755,183641649.88
2010-02-22,DSEX,DSE Broad Index,Index,309.98,311.82,306.59,309.19,1699438,6606,525453003.36
2010-02-23,DSEX,DSE Broad Index,Index,311.84,312.61,310.73,311.31,2654667,3269,826429957.88
2010-02-24,DSEX,DSE Broad Index,Index,307.78,310.91,305.81,308.87,2732073,5143,843848833.36
2010-02-25,DSEX,DSE Broad Index,Index,308.24,309.6,307.71,308.19,2633399,4726,811596455.58
2010-02-26,DSEX,DSE Broad Index,Index,310.25,310.3,309.7,309.98,871334,3586,270096435.59
2010-03-01,DSEX,DSE Broad Index,Index,311.33,313.04,310.19,312.2,1638465,3037,511532297.05
2010-03-02,DSEX,DSE Broad Index,Index,313.61,315.23,312.84,313.97,2490734,6173,782009953.72
2010-03-03,DSEX,DSE Broad Index,Index,310.07,313.55,308.44,311.02,2944600,7975,915821223.0
2010-03-04,DSEX,DSE Broad Index,Index,310.22,310.84,308.12,309.41,2983587,7283,923154167.87
2010-03-05,DSEX,DSE Broad Index,Index,305.73,306.65,305.32,305.98,1885400,6453,576896435.47
2010-03-08,DSEX,DSE Broad Index,Index,304.46,308.34,301.29,304.8,2694073,3944,821149593.47
2010-03-09,DSEX,DSE Broad Index,Index,308.12,310.24,305.96,308.11,2621845,3445,807815016.96
2010-03-10,DSEX,DSE Broad Index,Index,317.64,319.45,314.93,317.44,2055069,5720,652351743.96
2010-03-11,DSEX,DSE Broad Index,Index,318.62,319.51,313.85,316.38,1143655,6972,361832384.45
2010-03-12,DSEX,DSE Broad Index,Index,325.72,326.3,324.95,325.86,1465671,7495,477609838.86
2010-03-15,DSEX,DSE Broad Index,Index,319.42,320.74,318.44,319.83,1549599,3729,495613043.88
2010-03-16,DSEX,DSE Broad Index,Index,323.34,324.14,322.88,323.49,2519461,7936,815012280.15
2010-03-17,DSEX,DSE Broad Index,Index,317.83,317.98,317.66,317.88,2974274,6582,945461935.63
2010-03-18,DSEX,DSE Broad Index,Index,317.34,317.84,317.05,317.31,2665857,4981,845904195.2
2010-03-19,DSEX,DSE Broad Index,Index,317.8,318.51,317.62,318.0,2084228,4417,662777849.37
2010-03-22,DSEX,DSE Broad Index,Index,323.01,323.96,322.66,323.42,1277235,7175,413078103.89
2010-03-23,DSEX,DSE Broad Index,Index,322.32,322.68,318.14,320.4,1630350,6154,522361434.08
2010-03-24,DSEX,DSE Broad Index,Index,318.95,318.97,318.89,318.94,2172284,4290,692824264.49
2010-03-25,DSEX,DSE Broad Index,Index,320.42,320.88,320.39,320.65,1135242,5186,364016234.4
2010-03-26,DSEX,DSE Broad Index,Index,323.44,324.96,322.27,323.63,2102802,4807,680527417.97
2010-03-29,DSEX,DSE Broad Index,Index,322.32,323.18,320.77,321.9,2745228,3660,883683156.62
2010-03-30,DSEX,DSE Broad Index,Index,325.37,325.49,323.4,324.26,2718085,6767,881368541.38
2010-03-31,DSEX,DSE Broad Index,Index,317.85,322.01,317.54,320.4,1537280,4878,492551512.75
2010-04-01,DSEX,DSE Broad Index,Index,320.7,324.92,320.68,322.49,1785819,4508,575911301.75
2010-04-02,DSEX,DSE Broad Index,Index,321.88,323.89,320.65,322.12,2303959,3296,742140019.89
2010-04-05,DSEX,DSE Broad Index,Index,318.46,318.95,317.75,318.19,1796337,3840,571569964.13
2010-04-06,DSEX,DSE Broad Index,Index,319.17,319.38,318.77,319.05,1125008,5295,358933321.32
2010-04-07,DSEX,DSE Broad Index,Index,323.8,325.33,321.26,323.59,1372964,4182,444279687.97
2010-04-08,DSEX,DSE Broad Index,Index,318.23,319.22,318.22,318.74,1771108,5138,564514537.44
2010-04-09,DSEX,DSE Broad Index,Index,320.56,321.15,320.07,320.49,2162795,6692,693144420.6
2010-04-12,DSEX,DSE Broad Index,Index,329.13,329.32,327.34,327.95,1099147,7819,360463889.51
2010-04-13,DSEX,DSE Broad Index,Index,326.66,327.29,324.95,326.12,691689,3632,225575523.3
2010-04-14,DSEX,DSE Broad Index,Index,327.68,329.79,326.5,327.43,2868709,7099,939296735.58
2010-04-15,DSEX,DSE Broad Index,Index,318.75,321.11,318.56,320.0,1213722,4355,388386207.11
2010-04-16,DSEX,DSE Broad Index,Index,324.76,325.82,322.28,324.47,813290,4232,263885915.1
2010-04-19,DSEX,DSE Broad Index,Index,323.85,324.59,323.61,324.11,1413929,3460,458267000.45
2010-04-20,DSEX,DSE Broad Index,Index,328.59,329.0,321.62,325.67,1710946,4563,557207133.71
2010-04-21,DSEX,DSE Broad Index,Index,324.19,326.4,323.09,324.67,2220919,3177,721059860.67
2010-04-22,DSEX,DSE Broad Index,Index,323.6,323.73,323.49,323.58,905026,6220,292847307.95
2010-04-23,DSEX,DSE Broad Index,Index,330.27,330.51,323.47,326.67,2882085,3334,941487206.64
2010-04-26,DSEX,DSE Broad Index,Index,331.93,333.07,331.56,332.36,2348727,4059,780625751.64
2010-04-27,DSEX,DSE Broad Index,Index,330.95,330.96,330.19,330.58,2111760,7198,698111471.05
2010-04-28,DSEX,DSE Broad Index,Index,324.75,325.55,322.88,324.24,2001214,4617,648878450.75
2010-04-29,DSEX,DSE Broad Index,Index,321.56,322.55,321.43,321.86,2440308,6136,785434061.08
2010-04-30,DSEX,DSE Broad Index,Index,313.7,315.26,313.69,314.77,1965095,4730,618552847.29
2010-05-03,DSEX,DSE Broad Index,Index,309.11,309.48,307.32,308.33,2198508,5220,677863105.78
2010-05-04,DSEX,DSE Broad Index,Index,310.36,310.91,308.9,309.53,2695802,4750,834442679.74
2010-05-05,DSEX,DSE Broad Index,Index,308.09,309.89,307.68,308.56,1204675,7558,371713435.33
2010-05-06,DSEX,DSE Broad Index,Index,309.35,310.57,308.4,309.3,1542624,4952,477140351.04
2010-05-07,DSEX,DSE Broad Index,Index,311.84,312.23,311.83,312.05,1930888,3641,602536527.28
2010-05-10,DSEX,DSE Broad Index,Index,311.0,311.54,307.33,308.75,1758326,3910,542888845.4
2010-05-11,DSEX,DSE Broad Index,Index,305.6,307.66,305.1,306.11,2042686,4904,625287275.26
2010-05-12,DSEX,DSE Broad Index,Index,306.4,307.26,304.59,306.03,2998441,6020,917612069.53
2010-05-13,DSEX,DSE Broad Index,Index,307.18,307.19,306.05,306.72,2577193,6293,790485082.85
2010-05-14,DSEX,DSE Broad Index,Index,308.81,309.24,308.48,308.96,1319847,4241,407778995.26
2010-05-17,DSEX,DSE Broad Index,Index,314.21,314.39,312.99,313.72,1127424,6550,353696279.21
2010-05-18,DSEX,DSE Broad Index,Index,314.73,315.54,314.7,315.25,1069832,3922,337269668.28
2010-05-19,DSEX,DSE Broad Index,Index,316.56,316.86,316.45,316.75,1606541,4627,508865154.33
2010-05-20,DSEX,DSE Broad Index,Index,313.69,314.97,313.44,314.36,811897,5455,255225273.84
2010-05-21,DSEX,DSE Broad Index,Index,320.78,321.25,319.37,320.09,1360524,5792,435490406.21
2010-05-24,DSEX,DSE Broad Index,Index,314.31,315.68,314.01,314.8,1645774,5734,518082174.24
2010-05-25,DSEX,DSE Broad Index,Index,311.71,311.72,311.66,311.69,2541855,7705,792274549.1
2010-05-26,DSEX,DSE Broad Index,Index,317.31,318.03,316.56,317.32,2872869,6525,911611381.78
2010-05-27,DSEX,DSE Broad Index,Index,317.63,318.06,317.34,317.73,720616,3158,228964275.76
