date,code,name,sector,open,high,low,close,volume,trade,value
2010-01-01,ACI,Advanced Chemical Industries,Pharma,277.84,279.21,276.66,277.07,841652,4286,233193904.55
2010-01-04,ACI,Advanced Chemical Industries,Pharma,280.98,282.66,278.56,279.87,401548,4902,112381702.76
2010-01-05,ACI,Advanced Chemical Industries,Pharma,286.84,289.53,283.2,285.63,415428,452,118659770.17
2010-01-06,ACI,Advanced Chemical Industries,Pharma,289.15,290.02,288.45,289.15,777091,4745,224695122.11
2010-01-07,ACI,Advanced Chemical Industries,Pharma,287.5,288.46,287.25,287.73,913057,2080,262717982.98
2010-01-08,ACI,Advanced Chemical Industries,Pharma,293.68,296.28,291.6,292.67,558633,4165,163496188.99
2010-01-11,ACI,Advanced Chemical Industries,Pharma,294.09,294.21,289.47,291.74,640117,3136,186749924.74
2010-01-12,ACI,Advanced Chemical Industries,Pharma,297.16,300.13,295.14,297.25,653545,3638,194263343.31
2010-01-13,ACI,Advanced Chemical Industries,Pharma,299.07,301.32,296.13,300.13,829394,3682,248923772.9
2010-01-14,ACI,Advanced Chemical Industries,Pharma,296.51,301.32,296.39,299.06,32594,1485,9747696.82
2010-01-15,ACI,Advanced Chemical Industries,Pharma,298.0,299.24,295.54,297.89,877373,3672,261363454.73
2010-01-18,ACI,Advanced Chemical Industries,Pharma,292.59,294.05,289.09,292.41,705828,357,206392659.34
2010-01-19,ACI,Advanced Chemical Industries,Pharma,289.25,291.21,288.12,290.34,176878,2491,51355568.77
2010-01-20,ACI,Advanced Chemical Industries,Pharma,287.6,289.28,284.2,286.69,783005,1967,224483506.24
2010-01-21,ACI,Advanced Chemical Industries,Pharma,282.34,288.76,281.94,286.33,485687,1859,139065097.94
2010-01-22,ACI,Advanced Chemical Industries,Pharma,291.74,292.57,289.88,290.53,485154,642,140953622.45
2010-01-25,ACI,Advanced Chemical Industries,Pharma,296.71,299.87,295.52,295.58,323619,2752,95654492.5
2010-01-26,ACI,Advanced Chemical Industries,Pharma,295.46,300.47,294.61,296.07,872005,935,258176915.21
2010-01-27,ACI,Advanced Chemical Industries,Pharma,297.28,298.16,297.05,297.52,382743,4794,113874458.93
2010-01-28,ACI,Advanced Chemical Industries,Pharma,296.28,298.33,293.18,297.76,594469,1964,177009235.36
2010-01-29,ACI,Advanced Chemical Industries,Pharma,292.18,292.29,291.51,291.52,358456,1402,104498255.51
2010-02-01,ACI,Advanced Chemical Industries,Pharma,287.48,289.29,282.05,285.45,220408,2960,62915417.72
2010-02-02,ACI,Advanced Chemical Industries,Pharma,285.45,286.18,284.37,286.1,982089,848,280975259.0
2010-02-03,ACI,Advanced Chemical Industries,Pharma,276.89,285.86,276.88,281.6,607790,3116,171152162.0
2010-02-04,ACI,Advanced Chemical Industries,Pharma,278.07,278.59,277.79,278.54,950792,4148,264837410.19
2010-02-05,ACI,Advanced Chemical Industries,Pharma,285.21,285.37,284.99,285.33,767017,1010,218850731.18
2010-02-08,ACI,Advanced Chemical Industries,Pharma,289.04,290.28,288.85,289.47,418257,1228,121072637.19
2010-02-09,ACI,Advanced Chemical Industries,Pharma,289.28,291.35,284.79,287.36,542646,1463,155936110.75
2010-02-10,ACI,Advanced Chemical Industries,Pharma,289.09,289.14,286.13,287.61,484166,2672,139248615.03
2010-02-11,ACI,Advanced Chemical Industries,Pharma,290.65,291.65,288.64,289.22,700922,2953,202719477.45
2010-02-12,ACI,Advanced Chemical Industries,Pharma,286.18,288.64,286.04,287.44,88660,4100,25484567.17
2010-02-15,ACI,Advanced Chemical Industries,Pharma,289.48,289.89,280.69,285.31,246134,4434,70223506.05
2010-02-16,ACI,Advanced Chemical Industries,Pharma,291.16,292.04,290.5,291.45,548690,3904,159917088.95
2010-02-17,ACI,Advanced Chemical Industries,Pharma,288.71,288.93,287.37,288.7,616737,4865,178053228.81
2010-02-18,ACI,Advanced Chemical Industries,Pharma,289.56,292.13,287.29,291.29,121866,1629,35498476.05
2010-02-19,ACI,Advanced Chemical Industries,Pharma,291.82,293.98,291.3,292.86,934379,1888,273646580.1
2010-02-22,ACI,Advanced Chemical Industries,Pharma,299.84,302.7,294.64,299.18,975787,1313,291939929.06
2010-02-23,ACI,Advanced Chemical Industries,Pharma,298.78,303.84,297.98,300.79,541982,2143,163022074.81
2010-02-24,ACI,Advanced Chemical Industries,Pharma,302.99,303.81,302.4,303.36,620439,1927,188218653.55
2010-02-25,ACI,Advanced Chemical Industries,Pharma,304.93,311.05,302.96,306.47,131451,230,40286179.91
2010-02-26,ACI,Advanced Chemical Industries,Pharma,302.82,304.93,300.62,302.68,978681,1183,296228003.62
2010-03-01,ACI,Advanced Chemical Industries,Pharma,303.89,305.37,301.41,302.96,315140,3071,95474573.62
2010-03-02,ACI,Advanced Chemical Industries,Pharma,300.62,304.56,299.54,302.14,68339,4946,20647768.08
2010-03-03,ACI,Advanced Chemical Industries,Pharma,298.17,300.28,296.84,298.2,327613,4795,97695466.3
2010-03-04,ACI,Advanced Chemical Industries,Pharma,305.23,305.53,303.81,304.11,791203,3938,240616686.94
2010-03-05,ACI,Advanced Chemical Industries,Pharma,303.74,305.4,303.14,304.86,882173,4703,268941204.44
2010-03-08,ACI,Advanced Chemical Industries,Pharma,305.72,308.36,305.17,305.47,101726,1702,31074613.28
