date,code,name,sector,open,high,low,close,volume,trade,value
2010-01-01,BANKASIA,Bank Asia Ltd,Bank,63.5,63.54,62.68,62.92,146984,119,9248747.15
2010-01-04,BANKASIA,Bank Asia Ltd,Bank,62.83,62.85,62.54,62.66,440489,958,27603176.63
2010-01-05,BANKASIA,Bank Asia Ltd,Bank,61.44,62.35,60.88,61.37,832671,3175,51102226.4
2010-01-06,BANKASIA,Bank Asia Ltd,Bank,60.69,60.72,60.62,60.65,491286,701,29797918.36
2010-01-07,BANKASIA,Bank Asia Ltd,Bank,60.32,60.53,60.06,60.43,337840,4735,20415768.45
2010-01-08,BANKASIA,Bank Asia Ltd,Bank,58.91,60.18,58.76,59.75,62181,432,3715242.55
2010-01-11,BANKASIA,Bank Asia Ltd,Bank,59.51,59.61,58.84,59.32,363208,2710,21544881.9
2010-01-12,BANKASIA,Bank Asia Ltd,Bank,60.05,60.8,59.32,59.62,339415,923,20235231.25
2010-01-13,BANKASIA,Bank Asia Ltd,Bank,59.3,59.67,58.88,59.08,919958,2622,54351440.19
2010-01-14,BANKASIA,Bank Asia Ltd,Bank,59.06,60.18,58.76,59.29,956021,1403,56685724.04
2010-01-15,BANKASIA,Bank Asia Ltd,Bank,60.03,61.34,59.37,60.49,770152,2901,46586080.25
2010-01-18,BANKASIA,Bank Asia Ltd,Bank,60.65,60.93,60.2,60.41,840270,350,50762954.3
2010-01-19,BANKASIA,Bank Asia Ltd,Bank,60.42,60.75,59.13,60.01,691678,1937,41507172.47
2010-01-20,BANKASIA,Bank Asia Ltd,Bank,60.18,60.23,59.27,59.54,405147,478,24120872.81
2010-01-21,BANKASIA,Bank Asia Ltd,Bank,60.31,61.08,60.07,60.65,130012,3048,7885330.79
2010-01-22,BANKASIA,Bank Asia Ltd,Bank,59.98,61.17,59.82,60.78,204048,1101,12401994.99
2010-01-25,BANKASIA,Bank Asia Ltd,Bank,60.81,61.22,60.08,60.78,822577,4165,49998694.66
2010-01-26,BANKASIA,Bank Asia Ltd,Bank,62.51,62.84,62.48,62.64,614342,4175,38481853.92
