date,code,name,sector,open,high,low,close,volume,trade,value
2010-01-01,BATBC,British American Tobacco Bangladesh,Tobacco,254.82,256.14,246.79,251.89,172317,4541,43404217.11
2010-01-04,BATBC,British American Tobacco Bangladesh,Tobacco,255.21,256.55,250.75,251.77,514721,1011,129592303.82
2010-01-05,BATBC,British American Tobacco Bangladesh,Tobacco,260.44,261.97,255.8,259.13,625746,897,162147186.92
2010-01-06,BATBC,British American Tobacco Bangladesh,Tobacco,259.74,266.68,258.99,262.44,690661,1703,181255737.51
2010-01-07,BATBC,British American Tobacco Bangladesh,Tobacco,263.65,263.68,262.58,263.65,722191,3428,190406944.26
2010-01-08,BATBC,British American Tobacco Bangladesh,Tobacco,262.53,263.82,261.89,263.71,472502,582,124602235.26
2010-01-11,BATBC,British American Tobacco Bangladesh,Tobacco,248.93,252.29,248.11,251.78,34359,501,8650917.56
2010-01-12,BATBC,British American Tobacco Bangladesh,Tobacco,246.09,246.16,244.79,245.38,914872,567,224493077.21
2010-01-13,BATBC,British American Tobacco Bangladesh,Tobacco,248.18,250.24,247.65,248.05,803276,3882,199255737.03
2010-01-14,BATBC,British American Tobacco Bangladesh,Tobacco,245.57,248.41,244.65,248.35,746234,4837,185328828.81
2010-01-15,BATBC,British American Tobacco Bangladesh,Tobacco,251.75,252.27,250.7,251.55,367100,3893,92344590.51
2010-01-18,BATBC,British American Tobacco Bangladesh,Tobacco,251.26,253.62,250.68,252.24,386982,2169,97612967.08
2010-01-19,BATBC,British American Tobacco Bangladesh,Tobacco,254.86,255.95,250.19,251.66,263310,608,66264162.34
2010-01-20,BATBC,British American Tobacco Bangladesh,Tobacco,253.57,256.4,252.97,253.84,559465,2778,142014755.53
2010-01-21,BATBC,British American Tobacco Bangladesh,Tobacco,243.53,246.06,242.54,242.74,951429,2465,230945360.3
2010-01-22,BATBC,British American Tobacco Bangladesh,Tobacco,247.87,249.02,244.73,247.56,885380,1437,219180313.55
2010-01-25,BATBC,British American Tobacco Bangladesh,Tobacco,253.75,254.34,253.15,253.52,683825,295,173361107.52
2010-01-26,BATBC,British American Tobacco Bangladesh,Tobacco,256.25,256.7,254.56,255.37,100714,2526,25719514.68
2010-01-27,BATBC,British American Tobacco Bangladesh,Tobacco,258.06,258.43,256.68,258.01,144541,2155,37293054.31
2010-01-28,BATBC,British American Tobacco Bangladesh,Tobacco,257.05,259.7,254.5,258.37,696809,1968,180031082.96
2010-01-29,BATBC,British American Tobacco Bangladesh,Tobacco,256.98,257.44,252.84,256.63,646365,509,165873797.72
2010-02-01,BATBC,British American Tobacco Bangladesh,Tobacco,258.37,260.5,255.78,256.4,88302,3895,22640874.47
2010-02-02,BATBC,British American Tobacco Bangladesh,Tobacco,259.8,261.86,252.17,257.05,445197,4028,114439099.78
2010-02-03,BATBC,British American Tobacco Bangladesh,Tobacco,253.9,255.87,252.72,253.98,143015,3307,36322723.0
2010-02-04,BATBC,British American Tobacco Bangladesh,Tobacco,254.24,260.01,252.89,255.06,172990,2730,44123064.51
2010-02-05,BATBC,British American Tobacco Bangladesh,Tobacco,253.64,255.58,251.81,254.11,391610,4343,99511241.38
2010-02-08,BATBC,British American Tobacco Bangladesh,Tobacco,258.14,259.88,256.96,258.47,838417,4742,216708372.49
2010-02-09,BATBC,British American Tobacco Bangladesh,Tobacco,259.99,261.41,259.76,261.36,757875,4245,198079090.49
2010-02-10,BATBC,British American Tobacco Bangladesh,Tobacco,256.51,261.7,253.25,257.28,527205,1700,135639438.02
2010-02-11,BATBC,British American Tobacco Bangladesh,Tobacco,260.34,262.05,257.91,260.47,539770,3121,140591467.64
2010-02-12,BATBC,British American Tobacco Bangladesh,Tobacco,266.87,267.81,263.69,265.63,920018,1765,244388575.85
2010-02-15,BATBC,British American Tobacco Bangladesh,Tobacco,272.05,274.34,268.67,271.91,538861,145,146523535.07
2010-02-16,BATBC,British American Tobacco Bangladesh,Tobacco,263.11,276.22,262.12,268.86,492834,1297,132505480.0
2010-02-17,BATBC,British American Tobacco Bangladesh,Tobacco,270.2,274.83,267.08,272.07,554504,1109,150863964.87
2010-02-18,BATBC,British American Tobacco Bangladesh,Tobacco,278.65,278.84,278.26,278.4,924883,279,257487359.32
2010-02-19,BATBC,British American Tobacco Bangladesh,Tobacco,276.5,277.12,271.38,273.93,26081,3038,7144275.96
2010-02-22,BATBC,British American Tobacco Bangladesh,Tobacco,268.86,271.09,266.13,267.47,159831,1590,42749558.41
2010-02-23,BATBC,British American Tobacco Bangladesh,Tobacco,263.85,268.59,261.99,266.16,242844,1601,64635353.4
2010-02-24,BATBC,British American Tobacco Bangladesh,Tobacco,268.89,271.54,261.8,265.31,589531,2023,156410383.42
2010-02-25,BATBC,British American Tobacco Bangladesh,Tobacco,264.36,264.51,261.26,262.77,167275,2075,43954453.17
2010-02-26,BATBC,British American Tobacco Bangladesh,Tobacco,256.24,257.29,255.69,256.79,622772,3783,159920864.49
2010-03-01,BATBC,British American Tobacco Bangladesh,Tobacco,257.63,264.0,257.34,261.31,377938,2649,98759195.33
2010-03-02,BATBC,British American Tobacco Bangladesh,Tobacco,262.37,267.58,259.38,264.7,194878,2729,51584643.58
2010-03-03,BATBC,British American Tobacco Bangladesh,Tobacco,274.52,276.53,272.75,273.08,620471,4689,169436762.04
2010-03-04,BATBC,British American Tobacco Bangladesh,Tobacco,267.5,269.3,265.7,269.03,587211,3662,157974668.4
2010-03-05,BATBC,British American Tobacco Bangladesh,Tobacco,271.01,276.55,269.52,272.28,772760,794,210410541.7
2010-03-08,BATBC,British American Tobacco Bangladesh,Tobacco,265.55,272.68,263.29,267.09,55664,922,14867552.56
2010-03-09,BATBC,British American Tobacco Bangladesh,Tobacco,262.52,265.78,261.81,263.32,738431,4771,194446023.31
2010-03-10,BATBC,British American Tobacco Bangladesh,Tobacco,255.76,257.56,251.21,254.79,258763,3671,65930377.23
2010-03-11,BATBC,British American Tobacco Bangladesh,Tobacco,253.56,254.75,247.41,251.87,709201,406,178629954.06
2010-03-12,BATBC,British American Tobacco Bangladesh,Tobacco,255.65,257.02,252.68,254.54,923908,3538,235172490.04
2010-03-15,BATBC,British American Tobacco Bangladesh,Tobacco,259.48,262.53,258.46,261.57,577191,1537,150974308.16
2010-03-16,BATBC,British American Tobacco Bangladesh,Tobacco,252.21,252.43,247.82,250.65,236252,2960,59216633.6
2010-03-17,BATBC,British American Tobacco Bangladesh,Tobacco,247.46,248.03,245.54,246.15,585238,4028,144058135.41
2010-03-18,BATBC,British American Tobacco Bangladesh,Tobacco,252.44,255.41,243.11,249.56,237478,2651,59264616.86
2010-03-19,BATBC,British American Tobacco Bangladesh,Tobacco,251.45,253.14,251.1,251.49,112023,3144,28172654.5
2010-03-22,BATBC,British American Tobacco Bangladesh,Tobacco,251.92,252.39,249.7,252.15,487500,411,122921614.43
2010-03-23,BATBC,British American Tobacco Bangladesh,Tobacco,250.73,251.87,250.22,250.24,128776,1855,32225407.61
2010-03-24,BATBC,British American Tobacco Bangladesh,Tobacco,261.77,262.37,259.72,259.82,666349,1532,173133461.61
2010-03-25,BATBC,British American Tobacco Bangladesh,Tobacco,261.03,263.9,260.67,263.32,138276,1434,36411505.4
2010-03-26,BATBC,British American Tobacco Bangladesh,Tobacco,263.18,264.51,259.29,261.87,919257,3775,240728256.88
2010-03-29,BATBC,British American Tobacco Bangladesh,Tobacco,261.18,264.02,255.07,260.83,472961,802,123360993.24
2010-03-30,BATBC,British American Tobacco Bangladesh,Tobacco,262.12,262.78,259.06,262.19,675228,3642,177041366.64
2010-03-31,BATBC,British American Tobacco Bangladesh,Tobacco,262.12,263.34,258.88,261.44,745919,1807,195009934.76
2010-04-01,BATBC,British American Tobacco Bangladesh,Tobacco,258.21,261.63,256.58,259.47,630710,4373,163651061.67
2010-04-02,BATBC,British American Tobacco Bangladesh,Tobacco,256.45,257.13,256.21,256.32,301099,4836,77178562.06
2010-04-05,BATBC,British American Tobacco Bangladesh,Tobacco,243.99,244.99,239.3,241.92,855131,1529,206877484.37
2010-04-06,BATBC,British American Tobacco Bangladesh,Tobacco,246.92,249.48,246.48,247.65,628749,4119,155711871.18
2010-04-07,BATBC,British American Tobacco Bangladesh,Tobacco,239.3,246.22,238.89,243.81,573839,2051,139910492.25
2010-04-08,BATBC,British American Tobacco Bangladesh,Tobacco,239.19,247.39,238.9,240.79,260000,3960,62605669.98
2010-04-09,BATBC,British American Tobacco Bangladesh,Tobacco,235.16,238.54,234.89,237.71,25470,1894,6054387.49
2010-04-12,BATBC,British American Tobacco Bangladesh,Tobacco,232.41,233.13,229.66,231.96,709733,2200,164631687.56
2010-04-13,BATBC,British American Tobacco Bangladesh,Tobacco,227.6,230.25,226.57,228.71,177109,3157,40506911.17
2010-04-14,BATBC,British American Tobacco Bangladesh,Tobacco,235.72,235.97,230.84,231.34,274803,4475,63574194.22
2010-04-15,BATBC,British American Tobacco Bangladesh,Tobacco,228.42,229.15,224.67,225.35,847340,4005,190951390.66
2010-04-16,BATBC,British American Tobacco Bangladesh,Tobacco,222.78,223.07,219.61,222.66,249388,4198,55529716.27
2010-04-19,BATBC,British American Tobacco Bangladesh,Tobacco,225.07,228.16,220.01,224.36,850482,894,190813526.3
2010-04-20,BATBC,British American Tobacco Bangladesh,Tobacco,223.35,224.56,221.7,223.34,402723,2794,89944263.99
2010-04-21,BATBC,British American Tobacco Bangladesh,Tobacco,224.17,225.45,223.13,223.19,33497,3876,7476164.26
2010-04-22,BATBC,British American Tobacco Bangladesh,Tobacco,234.72,234.87,227.44,231.07,309278,1865,71465628.83
2010-04-23,BATBC,British American Tobacco Bangladesh,Tobacco,227.84,233.19,226.34,231.59,789312,1226,182795597.43
2010-04-26,BATBC,British American Tobacco Bangladesh,Tobacco,233.6,233.66,232.98,233.04,77466,4280,18053012.66
2010-04-27,BATBC,British American Tobacco Bangladesh,Tobacco,238.22,241.45,237.65,240.16,138099,1853,33165453.18
2010-04-28,BATBC,British American Tobacco Bangladesh,Tobacco,238.38,239.71,235.68,237.64,429127,4689,101976750.92
2010-04-29,BATBC,British American Tobacco Bangladesh,Tobacco,241.73,245.74,236.79,240.63,949544,2476,228489666.07
2010-04-30,BATBC,British American Tobacco Bangladesh,Tobacco,231.13,232.55,229.06,231.61,513777,281,118997851.92
2010-05-03,BATBC,British American Tobacco Bangladesh,Tobacco,233.31,233.95,229.4,231.67,839363,3491,194453217.38
2010-05-04,BATBC,British American Tobacco Bangladesh,Tobacco,227.55,228.58,226.47,228.35,572694,1695,130774101.38
2010-05-05,BATBC,British American Tobacco Bangladesh,Tobacco,233.09,235.93,226.46,230.9,534143,3698,123334831.68
2010-05-06,BATBC,British American Tobacco Bangladesh,Tobacco,233.28,233.83,231.38,232.19,351395,1660,81590484.71
2010-05-07,BATBC,British American Tobacco Bangladesh,Tobacco,238.48,244.23,238.18,241.08,834615,3828,201205058.89
2010-05-10,BATBC,British American Tobacco Bangladesh,Tobacco,240.34,240.82,238.54,238.56,281677,2166,67196369.67
2010-05-11,BATBC,British American Tobacco Bangladesh,Tobacco,246.35,247.78,244.26,246.04,859968,1687,211587048.32
2010-05-12,BATBC,British American Tobacco Bangladesh,Tobacco,251.05,251.22,246.17,247.34,677621,3247,167600604.87
2010-05-13,BATBC,British American Tobacco Bangladesh,Tobacco,247.0,251.69,243.84,248.82,674280,304,167771544.53
2010-05-14,BATBC,British American Tobacco Bangladesh,Tobacco,243.55,247.13,242.81,245.05,492475,2994,120682600.56
2010-05-17,BATBC,British American Tobacco Bangladesh,Tobacco,244.75,249.41,244.22,246.99,364068,575,89920950.48
2010-05-18,BATBC,British American Tobacco Bangladesh,Tobacco,243.21,245.29,239.33,243.45,363238,4744,88429700.62
2010-05-19,BATBC,British American Tobacco Bangladesh,Tobacco,241.01,243.84,237.95,239.12,263939,3213,63112806.38
2010-05-20,BATBC,British American Tobacco Bangladesh,Tobacco,241.15,241.6,239.76,240.2,147816,2656,35504841.53
2010-05-21,BATBC,British American Tobacco Bangladesh,Tobacco,241.75,242.71,240.13,240.32,395338,1179,95005907.39
2010-05-24,BATBC,British American Tobacco Bangladesh,Tobacco,237.38,247.48,236.77,241.19,166292,1356,40107568.02
2010-05-25,BATBC,British American Tobacco Bangladesh,Tobacco,242.95,244.58,242.78,243.26,675635,4547,164354131.2
2010-05-26,BATBC,British American Tobacco Bangladesh,Tobacco,240.95,242.81,240.38,240.5,111544,2610,26826177.27
2010-05-27,BATBC,British American Tobacco Bangladesh,Tobacco,244.78,245.47,244.01,244.06,995074,1761,242860669.76
2010-05-28,BATBC,British American Tobacco Bangladesh,Tobacco,250.69,254.68,246.49,249.24,772264,4263,192476701.49
2010-05-31,BATBC,British American Tobacco Bangladesh,Tobacco,250.6,250.85,243.41,247.53,848413,4455,210009276.87
2010-06-01,BATBC,British American Tobacco Bangladesh,Tobacco,249.2,252.06,244.91,249.25,998646,1338,248911408.2
2010-06-02,BATBC,British American Tobacco Bangladesh,Tobacco,253.36,254.22,250.3,251.01,826272,3569,207402796.03
2010-06-03,BATBC,British American Tobacco Bangladesh,Tobacco,239.72,243.6,239.17,241.17,793858,1356,191451208.86
2010-06-04,BATBC,British American Tobacco Bangladesh,Tobacco,250.5,253.17,247.87,251.73,558467,1828,140581855.05
2010-06-07,BATBC,British American Tobacco Bangladesh,Tobacco,247.83,247.94,241.8,244.79,40273,935,9858501.92
2010-06-08,BATBC,British American Tobacco Bangladesh,Tobacco,242.14,242.51,240.0,242.12,715772,177,173301313.65
2010-06-09,BATBC,British American Tobacco Bangladesh,Tobacco,240.23,243.28,239.91,240.75,27234,3420,6556656.46
2010-06-10,BATBC,British American Tobacco Bangladesh,Tobacco,248.4,250.55,240.04,246.36,769695,3195,189624715.3
2010-06-11,BATBC,British American Tobacco Bangladesh,Tobacco,240.29,241.61,239.25,239.77,318351,1722,76331108.82
2010-06-14,BATBC,British American Tobacco Bangladesh,Tobacco,243.2,243.6,242.97,243.18,367309,138,89323564.39
2010-06-15,BATBC,British American Tobacco Bangladesh,Tobacco,242.44,244.83,239.24,244.82,545259,4938,133490415.73
2010-06-16,BATBC,British American Tobacco Bangladesh,Tobacco,238.73,242.52,238.29,239.4,57802,4693,13837626.93
2010-06-17,BATBC,British American Tobacco Bangladesh,Tobacco,235.66,237.85,234.48,236.67,405852,1538,96053233.37
2010-06-18,BATBC,British American Tobacco Bangladesh,Tobacco,236.9,237.91,236.07,236.28,524016,4678,123813898.05
2010-06-21,BATBC,British American Tobacco Bangladesh,Tobacco,227.52,230.24,225.8,229.26,792265,3216,181636738.6
2010-06-22,BATBC,British American Tobacco Bangladesh,Tobacco,237.17,237.58,228.51,232.58,39923,1004,9285110.35
2010-06-23,BATBC,British American Tobacco Bangladesh,Tobacco,233.04,233.28,230.31,233.13,771696,3341,179908059.22
2010-06-24,BATBC,British American Tobacco Bangladesh,Tobacco,232.14,237.88,231.69,234.6,565145,4136,132583098.02
2010-06-25,BATBC,British American Tobacco Bangladesh,Tobacco,234.85,238.1,234.24,235.88,332064,2917,78328306.69
2010-06-28,BATBC,British American Tobacco Bangladesh,Tobacco,238.77,239.81,236.92,238.88,953384,463,227740666.73
2010-06-29,BATBC,British American Tobacco Bangladesh,Tobacco,241.73,243.48,240.74,242.28,771341,3138,186878205.06
2010-06-30,BATBC,British American Tobacco Bangladesh,Tobacco,248.84,248.9,248.02,248.09,286383,3212,71047691.19
2010-07-01,BATBC,British American Tobacco Bangladesh,Tobacco,244.89,245.14,242.92,244.67,288572,4098,70605610.43
2010-07-02,BATBC,British American Tobacco Bangladesh,Tobacco,243.39,244.49,238.74,241.74,617171,2297,149196991.58
2010-07-05,BATBC,British American Tobacco Bangladesh,Tobacco,242.31,242.53,241.95,242.02,573774,3782,138865756.61
2010-07-06,BATBC,British American Tobacco Bangladesh,Tobacco,247.58,247.9,245.52,246.71,780144,163,192468091.99
2010-07-07,BATBC,British American Tobacco Bangladesh,Tobacco,251.72,254.9,249.21,250.46,461691,245,115635320.85
2010-07-08,BATBC,British American Tobacco Bangladesh,Tobacco,255.58,256.34,250.43,253.7,155086,666,39345701.08
2010-07-09,BATBC,British American Tobacco Bangladesh,Tobacco,252.91,254.93,251.4,251.69,392030,1243,98669458.13
2010-07-12,BATBC,British American Tobacco Bangladesh,Tobacco,251.28,252.57,248.57,250.78,768319,649,192680493.68
2010-07-13,BATBC,British American Tobacco Bangladesh,Tobacco,252.54,254.9,248.38,252.93,586654,163,148384492.68
