date,code,name,sector,open,high,low,close,volume,trade,value
2010-01-01,BEXPHARMA,Beximco Pharmaceuticals,Pharma,322.0,325.26,321.39,323.28,662540,2625,214184000.99
2010-01-04,BEXPHARMA,Beximco Pharmaceuticals,Pharma,316.37,316.57,316.29,316.41,173099,641,54770894.76
2010-01-05,BEXPHARMA,Beximco Pharmaceuticals,Pharma,307.02,318.75,306.05,312.72,424965,517,132896784.31
2010-01-06,BEXPHARMA,Beximco Pharmaceuticals,Pharma,309.08,319.14,304.81,312.52,405577,1763,126750974.23
2010-01-07,BEXPHARMA,Beximco Pharmaceuticals,Pharma,316.11,318.81,314.6,314.8,452166,1050,142343188.87
2010-01-08,BEXPHARMA,Beximco Pharmaceuticals,Pharma,312.61,318.19,307.62,313.2,855084,4578,267808465.51
2010-01-11,BEXPHARMA,Beximco Pharmaceuticals,Pharma,328.96,329.79,321.31,324.75,895510,520,290819578.47
2010-01-12,BEXPHARMA,Beximco Pharmaceuticals,Pharma,318.65,319.83,313.09,316.69,19828,3062,6279332.05
2010-01-13,BEXPHARMA,Beximco Pharmaceuticals,Pharma,323.77,324.95,322.57,324.54,771224,4901,250290488.48
2010-01-14,BEXPHARMA,Beximco Pharmaceuticals,Pharma,323.93,328.01,318.28,325.27,835997,2049,271927067.86
2010-01-15,BEXPHARMA,Beximco Pharmaceuticals,Pharma,327.38,332.36,321.16,327.84,293897,3964,96350151.79
2010-01-18,BEXPHARMA,Beximco Pharmaceuticals,Pharma,326.55,332.29,324.74,328.62,628302,1852,206475629.44
2010-01-19,BEXPHARMA,Beximco Pharmaceuticals,Pharma,331.36,331.73,323.46,326.04,381551,3126,124399111.61
2010-01-20,BEXPHARMA,Beximco Pharmaceuticals,Pharma,316.28,325.35,314.83,321.38,682991,4242,219497386.11
2010-01-21,BEXPHARMA,Beximco Pharmaceuticals,Pharma,329.11,329.86,324.48,327.52,117931,1783,38625284.67
2010-01-22,BEXPHARMA,Beximco Pharmaceuticals,Pharma,343.84,343.91,327.65,336.86,12570,4597,4234332.87
2010-01-25,BEXPHARMA,Beximco Pharmaceuticals,Pharma,327.77,331.0,327.69,329.78,633733,4574,208993980.26
2010-01-26,BEXPHARMA,Beximco Pharmaceuticals,Pharma,333.5,335.75,331.73,334.08,454193,3538,151738017.55
2010-01-27,BEXPHARMA,Beximco Pharmaceuticals,Pharma,339.71,346.6,338.14,344.12,229184,326,78865840.57
2010-01-28,BEXPHARMA,Beximco Pharmaceuticals,Pharma,340.99,341.6,333.23,335.02,689662,4066,231047201.19
2010-01-29,BEXPHARMA,Beximco Pharmaceuticals,Pharma,335.07,338.93,331.93,337.57,733532,696,247615860.97
2010-02-01,BEXPHARMA,Beximco Pharmaceuticals,Pharma,339.4,346.41,332.37,338.9,515275,2733,174627491.76
2010-02-02,BEXPHARMA,Beximco Pharmaceuticals,Pharma,346.81,346.97,341.41,344.84,784189,4413,270418274.77
2010-02-03,BEXPHARMA,Beximco Pharmaceuticals,Pharma,345.61,347.95,344.6,345.7,975822,3820,337342896.43
2010-02-04,BEXPHARMA,Beximco Pharmaceuticals,Pharma,340.76,345.49,334.81,340.24,307613,4022,104663555.89
2010-02-05,BEXPHARMA,Beximco Pharmaceuticals,Pharma,357.23,363.05,350.9,357.79,352282,2193,126041328.54
2010-02-08,BEXPHARMA,Beximco Pharmaceuticals,Pharma,362.77,363.31,360.61,362.54,421851,2146,152936050.74
2010-02-09,BEXPHARMA,Beximco Pharmaceuticals,Pharma,367.69,368.32,363.87,366.68,871930,166,319719967.78
2010-02-10,BEXPHARMA,Beximco Pharmaceuticals,Pharma,384.49,385.79,378.54,382.4,737735,2036,282111272.48
2010-02-11,BEXPHARMA,Beximco Pharmaceuticals,Pharma,390.67,394.47,383.79,386.88,233847,4623,90471731.39
2010-02-12,BEXPHARMA,Beximco Pharmaceuticals,Pharma,389.56,392.61,386.46,389.48,475111,1806,185047348.56
2010-02-15,BEXPHARMA,Beximco Pharmaceuticals,Pharma,395.42,399.11,395.31,398.25,473158,2175,188435319.77
2010-02-16,BEXPHARMA,Beximco Pharmaceuticals,Pharma,392.68,394.03,389.56,390.68,800289,947,312656767.01
2010-02-17,BEXPHARMA,Beximco Pharmaceuticals,Pharma,379.12,380.72,378.95,379.59,182586,3763,69307512.03
2010-02-18,BEXPHARMA,Beximco Pharmaceuticals,Pharma,373.56,375.39,372.42,374.47,161056,3124,60310383.21
