date,code,name,sector,open,high,low,close,volume,trade,value
2010-01-01,BRACBANK,BRAC Bank Ltd,Bank,272.35,274.09,268.34,272.97,778651,3530,212548715.71
2010-01-04,BRACBANK,BRAC Bank Ltd,Bank,277.93,278.64,272.82,276.68,968678,4358,268013482.68
2010-01-05,BRACBANK,BRAC Bank Ltd,Bank,272.07,276.57,271.94,276.07,250283,1567,69094858.53
2010-01-06,BRACBANK,BRAC Bank Ltd,Bank,275.87,278.39,274.68,276.15,190525,4442,52612809.22
2010-01-07,BRACBANK,BRAC Bank Ltd,Bank,280.24,283.17,280.11,281.62,384677,4618,108332004.16
2010-01-08,BRACBANK,BRAC Bank Ltd,Bank,281.3,286.54,280.76,284.73,56649,4627,16129629.84
2010-01-11,BRACBANK,BRAC Bank Ltd,Bank,287.86,288.51,287.47,287.58,269262,1372,77434352.25
2010-01-12,BRACBANK,BRAC Bank Ltd,Bank,290.18,291.55,290.14,290.4,485699,3397,141047526.37
2010-01-13,BRACBANK,BRAC Bank Ltd,Bank,284.11,288.64,283.61,288.06,339426,2748,97775497.3
2010-01-14,BRACBANK,BRAC Bank Ltd,Bank,283.36,285.67,278.79,282.8,42372,4649,11982879.73
2010-01-15,BRACBANK,BRAC Bank Ltd,Bank,282.55,283.41,280.71,281.9,280392,3385,79042527.57
2010-01-18,BRACBANK,BRAC Bank Ltd,Bank,271.56,273.01,270.75,271.7,801660,699,217810120.66
2010-01-19,BRACBANK,BRAC Bank Ltd,Bank,269.63,271.16,267.06,269.49,325014,389,87587942.22
2010-01-20,BRACBANK,BRAC Bank Ltd,Bank,273.42,276.4,273.24,276.18,135775,399,37498988.94
2010-01-21,BRACBANK,BRAC Bank Ltd,Bank,274.3,276.03,271.07,271.84,171476,4740,46613981.18
2010-01-22,BRACBANK,BRAC Bank Ltd,Bank,272.92,273.37,272.85,273.25,656914,2569,179502808.51
2010-01-25,BRACBANK,BRAC Bank Ltd,Bank,277.86,279.83,271.89,273.82,738856,3426,202315803.48
2010-01-26,BRACBANK,BRAC Bank Ltd,Bank,276.58,276.83,273.86,274.11,240109,3507,65817389.21
2010-01-27,BRACBANK,BRAC Bank Ltd,Bank,259.82,260.22,255.71,259.7,665929,4860,172944335.78
2010-01-28,BRACBANK,BRAC Bank Ltd,Bank,256.3,264.59,255.94,259.26,43552,960,11291272.16
2010-01-29,BRACBANK,BRAC Bank Ltd,Bank,254.06,259.27,252.42,257.92,556753,4444,143596744.43
2010-02-01,BRACBANK,BRAC Bank Ltd,Bank,259.33,262.41,257.4,260.18,957260,3059,249060969.09
2010-02-02,BRACBANK,BRAC Bank Ltd,Bank,263.55,270.52,263.49,267.26,447937,4909,119716616.9
2010-02-03,BRACBANK,BRAC Bank Ltd,Bank,272.39,276.75,265.9,271.51,145218,1326,39428050.8
