date,code,name,sector,open,high,low,close,volume,trade,value
2010-01-01,BSCCL,Bangladesh Submarine Cable,Telecom,211.63,212.28,211.17,211.3,111066,1669,23468108.73
2010-01-04,BSCCL,Bangladesh Submarine Cable,Telecom,208.16,212.27,206.54,209.9,187523,1804,39360330.43
2010-01-05,BSCCL,Bangladesh Submarine Cable,Telecom,210.81,213.09,206.89,210.56,993787,510,209256182.93
2010-01-06,BSCCL,Bangladesh Submarine Cable,Telecom,206.05,207.23,205.87,206.7,15646,3907,3233979.76
2010-01-07,BSCCL,Bangladesh Submarine Cable,Telecom,208.59,208.79,206.52,208.47,577500,3992,120393333.42
2010-01-08,BSCCL,Bangladesh Submarine Cable,Telecom,210.14,212.6,208.28,211.13,920121,2676,194266539.84
2010-01-11,BSCCL,Bangladesh Submarine Cable,Telecom,217.49,218.29,214.96,217.53,404513,1675,87992652.55
2010-01-12,BSCCL,Bangladesh Submarine Cable,Telecom,219.49,220.1,218.46,219.24,125965,2975,27616340.52
2010-01-13,BSCCL,Bangladesh Submarine Cable,Telecom,218.61,220.36,216.5,218.39,354407,4438,77399339.74
2010-01-14,BSCCL,Bangladesh Submarine Cable,Telecom,217.82,219.54,217.22,218.11,693582,2872,151274174.03
2010-01-15,BSCCL,Bangladesh Submarine Cable,Telecom,219.05,220.61,218.13,219.09,290781,3350,63708335.9
2010-01-18,BSCCL,Bangladesh Submarine Cable,Telecom,219.43,221.08,217.41,218.71,308653,4449,67506076.61
2010-01-19,BSCCL,Bangladesh Submarine Cable,Telecom,219.28,221.0,218.63,219.83,731315,4150,160762660.81
2010-01-20,BSCCL,Bangladesh Submarine Cable,Telecom,219.74,220.78,219.22,220.11,838411,4697,184545033.17
2010-01-21,BSCCL,Bangladesh Submarine Cable,Telecom,215.82,218.37,215.51,217.99,549401,283,119765700.87
2010-01-22,BSCCL,Bangladesh Submarine Cable,Telecom,220.63,222.55,219.69,220.69,212386,1319,46871006.42
2010-01-25,BSCCL,Bangladesh Submarine Cable,Telecom,225.88,225.9,224.04,224.66,773018,3382,173663549.51
2010-01-26,BSCCL,Bangladesh Submarine Cable,Telecom,225.49,225.93,224.3,225.06,556461,2423,125237643.91
2010-01-27,BSCCL,Bangladesh Submarine Cable,Telecom,224.31,225.6,223.4,223.81,796613,3147,178286338.84
2010-01-28,BSCCL,Bangladesh Submarine Cable,Telecom,224.72,224.97,217.65,220.5,991892,3473,218708868.12
2010-01-29,BSCCL,Bangladesh Submarine Cable,Telecom,219.97,220.82,216.81,216.99,303794,140,65918820.85
2010-02-01,BSCCL,Bangladesh Submarine Cable,Telecom,207.27,208.81,206.94,207.35,528624,4965,109611419.87
2010-02-02,BSCCL,Bangladesh Submarine Cable,Telecom,208.56,213.12,208.16,212.14,430553,1795,91337107.87
2010-02-03,BSCCL,Bangladesh Submarine Cable,Telecom,207.36,209.37,206.94,208.76,809726,3859,169037420.78
2010-02-04,BSCCL,Bangladesh Submarine Cable,Telecom,206.81,208.45,205.19,205.74,843759,4858,173595899.42
2010-02-05,BSCCL,Bangladesh Submarine Cable,Telecom,205.41,208.43,204.96,206.52,671865,2093,138753153.16
2010-02-08,BSCCL,Bangladesh Submarine Cable,Telecom,199.72,199.79,198.24,199.32,483925,4941,96455990.59
2010-02-09,BSCCL,Bangladesh Submarine Cable,Telecom,192.92,193.69,190.9,192.15,829131,2842,159317246.79
2010-02-10,BSCCL,Bangladesh Submarine Cable,Telecom,191.21,192.66,190.29,191.81,213091,3087,40873330.94
2010-02-11,BSCCL,Bangladesh Submarine Cable,Telecom,191.22,191.68,190.84,191.33,870719,281,166598622.75
2010-02-12,BSCCL,Bangladesh Submarine Cable,Telecom,190.68,192.42,187.28,188.91,358502,2843,67724356.92
2010-02-15,BSCCL,Bangladesh Submarine Cable,Telecom,186.94,187.8,186.42,186.97,352193,4182,65847951.04
2010-02-16,BSCCL,Bangladesh Submarine Cable,Telecom,188.03,188.79,186.99,188.06,791144,3719,148782983.53
2010-02-17,BSCCL,Bangladesh Submarine Cable,Telecom,187.4,188.34,184.17,185.19,833459,2912,154351174.05
2010-02-18,BSCCL,Bangladesh Submarine Cable,Telecom,188.11,188.86,186.41,187.67,107653,3924,20203339.1
2010-02-19,BSCCL,Bangladesh Submarine Cable,Telecom,183.97,185.58,181.9,183.75,108344,2428,19908105.87
2010-02-22,BSCCL,Bangladesh Submarine Cable,Telecom,186.91,187.11,182.99,185.18,179167,2726,33178536.33
2010-02-23,BSCCL,Bangladesh Submarine Cable,Telecom,182.64,183.5,182.4,183.23,626763,4147,114843409.35
2010-02-24,BSCCL,Bangladesh Submarine Cable,Telecom,183.88,185.58,180.05,182.2,563750,4210,102714343.49
2010-02-25,BSCCL,Bangladesh Submarine Cable,Telecom,182.26,182.4,181.02,181.82,391766,1961,71229200.4
2010-02-26,BSCCL,Bangladesh Submarine Cable,Telecom,181.34,182.09,181.25,181.51,983557,4515,178521205.65
2010-03-01,BSCCL,Bangladesh Submarine Cable,Telecom,180.22,183.09,179.37,181.76,155003,2564,28173833.75
2010-03-02,BSCCL,Bangladesh Submarine Cable,Telecom,180.32,180.66,180.23,180.27,966783,1440,174285632.37
