date,code,name,sector,open,high,low,close,volume,trade,value
2010-01-01,CUSTOMERS,Customer Care Bangladesh,Services,448.89,453.89,444.34,448.72,754137,1417,338397054.01
2010-01-04,CUSTOMERS,Customer Care Bangladesh,Services,446.42,450.16,444.29,445.25,164790,2978,73373055.68
2010-01-05,CUSTOMERS,Customer Care Bangladesh,Services,437.74,441.03,436.92,439.0,72161,3769,31678788.98
2010-01-06,CUSTOMERS,Customer Care Bangladesh,Services,438.56,440.92,432.97,437.12,85775,2622,37494099.49
2010-01-07,CUSTOMERS,Customer Care Bangladesh,Services,441.52,443.16,430.94,438.55,808888,228,354738430.49
2010-01-08,CUSTOMERS,Customer Care Bangladesh,Services,448.89,450.79,446.02,448.65,594880,4349,266895382.2
2010-01-11,CUSTOMERS,Customer Care Bangladesh,Services,450.0,460.35,445.74,452.27,867657,3777,392412897.69
2010-01-12,CUSTOMERS,Customer Care Bangladesh,Services,445.11,455.81,439.25,448.47,896369,129,401996952.78
2010-01-13,CUSTOMERS,Customer Care Bangladesh,Services,459.42,460.73,456.88,458.14,859069,4124,393577295.73
2010-01-14,CUSTOMERS,Customer Care Bangladesh,Services,479.44,481.58,478.05,479.48,467948,1825,224370899.84
2010-01-15,CUSTOMERS,Customer Care Bangladesh,Services,468.82,472.28,465.62,468.6,581222,423,272359205.98
2010-01-18,CUSTOMERS,Customer Care Bangladesh,Services,468.22,473.7,464.43,465.31,503799,2960,234420298.82
2010-01-19,CUSTOMERS,Customer Care Bangladesh,Services,452.42,453.15,451.92,452.27,302211,3634,136681136.33
2010-01-20,CUSTOMERS,Customer Care Bangladesh,Services,449.9,453.53,437.1,447.34,379451,1136,169743307.81
2010-01-21,CUSTOMERS,Customer Care Bangladesh,Services,430.69,432.76,429.31,432.12,537396,1256,232217146.45
2010-01-22,CUSTOMERS,Customer Care Bangladesh,Services,445.07,455.88,441.46,455.03,343048,2969,156096270.23
2010-01-25,CUSTOMERS,Customer Care Bangladesh,Services,441.27,446.59,439.41,444.16,854383,4574,379485749.51
2010-01-26,CUSTOMERS,Customer Care Bangladesh,Services,453.28,455.58,430.57,443.38,980084,4476,434546369.39
2010-01-27,CUSTOMERS,Customer Care Bangladesh,Services,455.55,458.76,450.63,454.64,805442,3516,366187294.81
2010-01-28,CUSTOMERS,Customer Care Bangladesh,Services,448.46,448.67,445.68,447.19,552492,1569,247071361.36
2010-01-29,CUSTOMERS,Customer Care Bangladesh,Services,451.37,461.71,444.48,453.8,234975,2586,106630493.04
2010-02-01,CUSTOMERS,Customer Care Bangladesh,Services,441.33,446.63,436.9,439.73,649115,1679,285433053.52
2010-02-02,CUSTOMERS,Customer Care Bangladesh,Services,421.69,424.21,418.8,421.52,571082,4851,240724179.01
2010-02-03,CUSTOMERS,Customer Care Bangladesh,Services,406.57,411.98,402.6,407.1,704030,4756,286610721.0
2010-02-04,CUSTOMERS,Customer Care Bangladesh,Services,406.55,415.82,405.23,410.7,423483,2266,173924242.09
2010-02-05,CUSTOMERS,Customer Care Bangladesh,Services,405.7,424.31,405.62,412.27,666597,2668,274817815.38
2010-02-08,CUSTOMERS,Customer Care Bangladesh,Services,429.62,431.15,426.57,427.06,550448,3125,235076845.4
2010-02-09,CUSTOMERS,Customer Care Bangladesh,Services,437.47,440.05,427.16,432.86,553687,2981,239668726.77
2010-02-10,CUSTOMERS,Customer Care Bangladesh,Services,421.99,427.08,417.47,422.16,816306,1938,344610019.49
2010-02-11,CUSTOMERS,Customer Care Bangladesh,Services,411.54,425.56,402.47,414.51,560039,3419,232140545.99
2010-02-12,CUSTOMERS,Customer Care Bangladesh,Services,415.75,420.11,410.16,413.46,981928,4761,405988079.79
2010-02-15,CUSTOMERS,Customer Care Bangladesh,Services,418.15,421.54,413.24,419.0,420628,4698,176241200.41
2010-02-16,CUSTOMERS,Customer Care Bangladesh,Services,411.85,420.67,411.23,413.1,193906,3133,80103528.22
2010-02-17,CUSTOMERS,Customer Care Bangladesh,Services,426.42,431.33,420.2,421.5,699584,4596,294873492.4
2010-02-18,CUSTOMERS,Customer Care Bangladesh,Services,430.31,431.1,423.13,427.76,732928,4789,313516016.55
2010-02-19,CUSTOMERS,Customer Care Bangladesh,Services,432.41,440.27,432.32,436.91,643493,4812,281146110.38
2010-02-22,CUSTOMERS,Customer Care Bangladesh,Services,436.34,441.77,431.76,435.41,915731,754,398722045.39
2010-02-23,CUSTOMERS,Customer Care Bangladesh,Services,432.68,440.69,430.95,440.1,98979,4823,43560230.8
