date,code,name,sector,open,high,low,close,volume,trade,value
2010-01-01,DBBL,Dutch-Bangla Bank,Bank,263.54,266.65,262.59,263.73,330567,430,87178796.44
2010-01-04,DBBL,Dutch-Bangla Bank,Bank,264.74,267.35,263.87,264.78,517623,2769,137054759.02
2010-01-05,DBBL,Dutch-Bangla Bank,Bank,265.82,267.48,265.39,265.99,787679,1936,209514884.64
2010-01-06,DBBL,Dutch-Bangla Bank,Bank,259.2,260.03,258.29,259.78,425867,2248,110630028.84
2010-01-07,DBBL,Dutch-Bangla Bank,Bank,255.55,257.31,254.34,256.3,483131,4342,123828095.98
2010-01-08,DBBL,Dutch-Bangla Bank,Bank,257.69,258.48,256.46,258.17,366920,648,94727087.53
2010-01-11,DBBL,Dutch-Bangla Bank,Bank,258.56,260.2,257.44,258.24,498620,3301,128761900.14
2010-01-12,DBBL,Dutch-Bangla Bank,Bank,261.37,263.91,260.32,263.53,678017,2706,178680571.52
2010-01-13,DBBL,Dutch-Bangla Bank,Bank,270.83,272.33,267.94,268.66,270567,3853,72691447.78
2010-01-14,DBBL,Dutch-Bangla Bank,Bank,268.84,273.56,264.26,268.78,325638,115,87525350.04
2010-01-15,DBBL,Dutch-Bangla Bank,Bank,268.52,269.54,266.11,267.52,346940,2618,92814744.73
2010-01-18,DBBL,Dutch-Bangla Bank,Bank,261.4,267.67,260.5,264.38,332816,3298,87990864.92
2010-01-19,DBBL,Dutch-Bangla Bank,Bank,260.75,261.79,260.52,260.57,180969,1238,47155339.72
2010-01-20,DBBL,Dutch-Bangla Bank,Bank,255.45,257.34,253.97,255.11,471877,4355,120379114.55
2010-01-21,DBBL,Dutch-Bangla Bank,Bank,247.37,248.4,246.43,247.0,124267,355,30694211.43
2010-01-22,DBBL,Dutch-Bangla Bank,Bank,248.8,249.01,248.76,248.85,425187,4757,105807249.0
2010-01-25,DBBL,Dutch-Bangla Bank,Bank,250.81,253.2,248.3,250.34,717116,3811,179523722.66
2010-01-26,DBBL,Dutch-Bangla Bank,Bank,249.47,250.9,247.42,249.3,396736,2663,98907021.47
2010-01-27,DBBL,Dutch-Bangla Bank,Bank,248.01,248.46,242.92,246.17,963969,3154,237302801.52
2010-01-28,DBBL,Dutch-Bangla Bank,Bank,247.03,247.23,244.16,246.76,617569,4823,152389558.14
2010-01-29,DBBL,Dutch-Bangla Bank,Bank,245.79,246.55,240.52,243.85,809132,342,197303825.41
2010-02-01,DBBL,Dutch-Bangla Bank,Bank,243.13,243.89,242.98,243.48,316427,642,77045116.09
2010-02-02,DBBL,Dutch-Bangla Bank,Bank,236.53,237.74,235.96,237.56,660130,162,156820250.81
2010-02-03,DBBL,Dutch-Bangla Bank,Bank,231.04,232.27,229.07,230.7,295418,1088,68152135.41
2010-02-04,DBBL,Dutch-Bangla Bank,Bank,226.31,229.3,225.22,227.7,289601,1529,65942865.4
2010-02-05,DBBL,Dutch-Bangla Bank,Bank,228.01,228.96,227.35,227.98,611662,4440,139445382.1
2010-02-08,DBBL,Dutch-Bangla Bank,Bank,228.05,229.87,227.73,228.54,516515,3856,118042821.9
2010-02-09,DBBL,Dutch-Bangla Bank,Bank,222.66,226.72,222.64,225.25,167283,3235,37680592.78
2010-02-10,DBBL,Dutch-Bangla Bank,Bank,224.66,224.91,224.27,224.28,40739,1056,9137098.95
2010-02-11,DBBL,Dutch-Bangla Bank,Bank,223.54,226.05,223.39,223.84,780499,1817,174706844.89
2010-02-12,DBBL,Dutch-Bangla Bank,Bank,220.53,221.41,219.87,221.4,200306,3325,44347040.62
2010-02-15,DBBL,Dutch-Bangla Bank,Bank,221.64,222.8,218.99,221.82,561615,3687,124575691.74
2010-02-16,DBBL,Dutch-Bangla Bank,Bank,226.95,227.49,226.3,226.78,587650,2516,133264394.7
2010-02-17,DBBL,Dutch-Bangla Bank,Bank,229.48,229.49,228.18,228.19,971526,4621,221697267.03
2010-02-18,DBBL,Dutch-Bangla Bank,Bank,232.03,232.51,230.53,230.88,129701,124,29944926.75
2010-02-19,DBBL,Dutch-Bangla Bank,Bank,231.97,233.03,229.67,230.95,491375,432,113484891.2
2010-02-22,DBBL,Dutch-Bangla Bank,Bank,229.61,232.13,227.78,229.36,103074,787,23640933.03
2010-02-23,DBBL,Dutch-Bangla Bank,Bank,231.53,231.71,230.41,230.93,780807,4346,180311414.56
2010-02-24,DBBL,Dutch-Bangla Bank,Bank,233.65,234.2,231.23,232.19,974710,3557,226321109.77
2010-02-25,DBBL,Dutch-Bangla Bank,Bank,231.6,234.92,230.44,232.42,940241,554,218529443.05
2010-02-26,DBBL,Dutch-Bangla Bank,Bank,234.53,235.37,233.39,233.41,479158,2434,111842653.74
2010-03-01,DBBL,Dutch-Bangla Bank,Bank,228.59,230.22,226.12,229.62,562770,2267,129221749.02
2010-03-02,DBBL,Dutch-Bangla Bank,Bank,231.53,233.83,231.42,233.7,691287,3287,161556895.92
2010-03-03,DBBL,Dutch-Bangla Bank,Bank,230.74,231.26,230.0,230.27,147447,4279,33952915.48
2010-03-04,DBBL,Dutch-Bangla Bank,Bank,227.38,229.33,226.95,228.88,671389,2520,153667484.52
2010-03-05,DBBL,Dutch-Bangla Bank,Bank,228.03,228.1,226.8,227.97,246180,101,56121471.92
2010-03-08,DBBL,Dutch-Bangla Bank,Bank,228.41,229.05,228.16,229.0,315075,3493,72151027.29
2010-03-09,DBBL,Dutch-Bangla Bank,Bank,229.3,229.69,225.93,228.55,582881,3671,133219238.68
2010-03-10,DBBL,Dutch-Bangla Bank,Bank,222.78,224.94,222.57,223.85,880391,2869,197075320.35
2010-03-11,DBBL,Dutch-Bangla Bank,Bank,223.17,223.66,222.35,222.77,15186,2046,3382983.32
2010-03-12,DBBL,Dutch-Bangla Bank,Bank,222.38,223.08,222.32,222.86,971760,2946,216565660.86
2010-03-15,DBBL,Dutch-Bangla Bank,Bank,224.15,225.41,223.98,224.26,875682,1964,196377223.65
2010-03-16,DBBL,Dutch-Bangla Bank,Bank,221.31,224.56,220.89,222.13,296203,2486,65795251.09
2010-03-17,DBBL,Dutch-Bangla Bank,Bank,222.72,222.89,219.82,221.88,122538,4337,27188133.58
2010-03-18,DBBL,Dutch-Bangla Bank,Bank,224.19,225.42,223.81,224.39,464138,4279,104148579.84
2010-03-19,DBBL,Dutch-Bangla Bank,Bank,221.47,221.75,220.02,220.47,55002,3302,12126133.63
2010-03-22,DBBL,Dutch-Bangla Bank,Bank,224.07,225.57,223.25,223.72,846637,1971,189407795.73
2010-03-23,DBBL,Dutch-Bangla Bank,Bank,225.87,227.9,224.06,225.86,397661,1170,89813732.01
2010-03-24,DBBL,Dutch-Bangla Bank,Bank,230.75,231.81,230.22,230.28,284164,1722,65436904.24
2010-03-25,DBBL,Dutch-Bangla Bank,Bank,234.64,235.94,232.97,233.96,849154,2716,198670159.86
2010-03-26,DBBL,Dutch-Bangla Bank,Bank,228.1,228.15,226.7,228.07,179142,2282,40856488.6
2010-03-29,DBBL,Dutch-Bangla Bank,Bank,228.23,229.19,227.98,228.2,357096,237,81488455.33
2010-03-30,DBBL,Dutch-Bangla Bank,Bank,229.4,231.16,228.51,229.91,49934,3224,11480245.55
2010-03-31,DBBL,Dutch-Bangla Bank,Bank,230.95,232.63,230.64,232.23,38491,2816,8938622.16
2010-04-01,DBBL,Dutch-Bangla Bank,Bank,232.9,234.93,230.7,233.12,339731,111,79196564.77
2010-04-02,DBBL,Dutch-Bangla Bank,Bank,234.53,236.65,233.11,235.08,469693,4365,110413745.34
2010-04-05,DBBL,Dutch-Bangla Bank,Bank,239.13,241.55,237.75,240.22,137269,4111,32975090.25
2010-04-06,DBBL,Dutch-Bangla Bank,Bank,238.42,240.06,237.68,239.95,413748,4105,99277009.97
2010-04-07,DBBL,Dutch-Bangla Bank,Bank,243.48,244.33,238.69,241.77,960840,237,232305796.09
2010-04-08,DBBL,Dutch-Bangla Bank,Bank,242.68,243.96,242.18,242.65,975003,2853,236588189.26
2010-04-09,DBBL,Dutch-Bangla Bank,Bank,241.18,244.0,240.13,240.18,480291,1653,115357775.61
2010-04-12,DBBL,Dutch-Bangla Bank,Bank,237.12,237.82,236.93,237.41,261778,306,62148405.91
2010-04-13,DBBL,Dutch-Bangla Bank,Bank,239.67,240.09,238.21,239.45,233704,4543,55961046.73
2010-04-14,DBBL,Dutch-Bangla Bank,Bank,236.37,240.6,234.35,237.59,813379,738,193250906.77
2010-04-15,DBBL,Dutch-Bangla Bank,Bank,235.4,236.2,235.37,235.41,527548,4755,124189971.88
2010-04-16,DBBL,Dutch-Bangla Bank,Bank,240.72,242.61,238.99,239.64,193059,2666,46265415.3
2010-04-19,DBBL,Dutch-Bangla Bank,Bank,241.39,241.61,239.94,240.14,220857,2830,53035632.27
2010-04-20,DBBL,Dutch-Bangla Bank,Bank,243.27,243.64,240.86,241.97,133084,531,32202340.35
2010-04-21,DBBL,Dutch-Bangla Bank,Bank,246.67,246.95,244.04,245.23,949652,4713,232887580.08
2010-04-22,DBBL,Dutch-Bangla Bank,Bank,246.75,248.8,244.41,246.33,50007,1232,12318308.26
2010-04-23,DBBL,Dutch-Bangla Bank,Bank,244.49,245.05,243.03,243.8,877060,4082,213828531.89
