date,code,name,sector,open,high,low,close,volume,trade,value
2010-01-01,DSEX,DSE Broad Index,Index,278.21,280.13,275.78,277.85,480763,4997,133580086.9
2010-01-04,DSEX,DSE Broad Index,Index,281.86,282.31,277.02,279.44,885369,2151,247405355.57
2010-01-05,DSEX,DSE Broad Index,Index,283.23,284.48,277.61,281.13,92146,3610,25905297.29
2010-01-06,DSEX,DSE Broad Index,Index,276.9,277.8,276.02,276.12,647054,3794,178666606.63
2010-01-07,DSEX,DSE Broad Index,Index,275.78,276.21,275.4,276.14,425227,4604,117423342.23
2010-01-08,DSEX,DSE Broad Index,Index,270.66,272.45,270.45,272.32,714343,4036,194530528.05
2010-01-11,DSEX,DSE Broad Index,Index,278.16,279.76,276.94,277.87,414867,4917,115278245.69
2010-01-12,DSEX,DSE Broad Index,Index,277.57,282.04,276.11,279.49,322631,2269,90172156.29
2010-01-13,DSEX,DSE Broad Index,Index,277.75,278.91,276.47,277.88,942501,4078,261904469.36
2010-01-14,DSEX,DSE Broad Index,Index,280.4,280.49,278.57,278.72,172331,3709,48031960.8
2010-01-15,DSEX,DSE Broad Index,Index,278.47,279.04,277.34,278.19,212807,149,59199724.74
2010-01-18,DSEX,DSE Broad Index,Index,276.67,278.1,275.86,278.02,476255,1635,132406811.64
2010-01-19,DSEX,DSE Broad Index,Index,271.06,271.07,270.1,270.27,959869,4855,259424154.1
2010-01-20,DSEX,DSE Broad Index,Index,272.88,273.38,272.0,272.27,572032,1949,155744574.89
2010-01-21,DSEX,DSE Broad Index,Index,280.02,280.37,279.44,279.71,147000,3126,41117228.74
2010-01-22,DSEX,DSE Broad Index,Index,280.77,282.12,277.71,279.4,757514,4558,211649977.85
2010-01-25,DSEX,DSE Broad Index,Index,275.9,276.91,274.96,275.7,137959,2308,38035955.03
2010-01-26,DSEX,DSE Broad Index,Index,276.28,278.54,274.06,276.82,92614,145,25637338.03
2010-01-27,DSEX,DSE Broad Index,Index,286.29,287.42,278.92,283.29,625761,4364,177268871.16
2010-01-28,DSEX,DSE Broad Index,Index,288.24,289.73,287.78,288.52,635489,628,183352786.86
2010-01-29,DSEX,DSE Broad Index,Index,284.47,284.99,283.03,283.8,175306,1056,49751840.33
2010-02-01,DSEX,DSE Broad Index,Index,282.48,286.2,282.35,284.34,303280,4071,86236023.45
2010-02-02,DSEX,DSE Broad Index,Index,282.17,284.5,281.06,284.42,239443,4371,68101241.02
2010-02-03,DSEX,DSE Broad Index,Index,282.87,287.34,280.09,284.33,193667,624,55066172.71
2010-02-04,DSEX,DSE Broad Index,Index,279.77,282.96,279.58,280.16,600248,3442,168167077.75
2010-02-05,DSEX,DSE Broad Index,Index,275.52,280.09,274.73,277.56,126471,2777,35103489.35
2010-02-08,DSEX,DSE Broad Index,Index,271.76,275.55,271.01,273.66,329855,709,90267747.74
2010-02-09,DSEX,DSE Broad Index,Index,276.77,276.99,276.38,276.95,453398,722,125566661.08
2010-02-10,DSEX,DSE Broad Index,Index,277.69,280.73,276.91,277.88,815381,3820,226578994.39
2010-02-11,DSEX,DSE Broad Index,Index,280.5,281.81,275.09,278.73,619812,1916,172761848.04
2010-02-12,DSEX,DSE Broad Index,Index,279.87,280.53,278.44,279.69,101547,4172,28401893.08
2010-02-15,DSEX,DSE Broad Index,Index,280.39,281.01,279.52,279.93,364359,4272,101993903.72
2010-02-16,DSEX,DSE Broad Index,Index,276.77,282.18,275.9,279.15,173185,4443,48345054.58
2010-02-17,DSEX,DSE Broad Index,Index,280.25,284.51,278.94,281.93,373008,699,105160893.27
2010-02-18,DSEX,DSE Broad Index,Index,283.58,285.43,283.1,284.37,435170,3321,123747676.16
2010-02-19,DSEX,DSE Broad Index,Index,283.08,283.18,282.1,282.64,194927,1440,55093480.25
2010-02-22,DSEX,DSE Broad Index,Index,280.26,282.41,278.38,280.54,449675,2507,126152723.28
2010-02-23,DSEX,DSE Broad Index,Index,277.08,283.49,276.37,279.82,557569,4641,156016550.05
2010-02-24,DSEX,DSE Broad Index,Index,279.07,280.35,278.63,279.67,253348,3329,70852918.96
2010-02-25,DSEX,DSE Broad Index,Index,276.11,277.55,275.65,276.12,217367,4190,60020415.23
2010-02-26,DSEX,DSE Broad Index,Index,273.71,273.78,271.17,272.16,427566,213,116365479.34
2010-03-01,DSEX,DSE Broad Index,Index,271.34,272.78,271.23,272.25,565001,1093,153820887.62
2010-03-02,DSEX,DSE Broad Index,Index,267.31,267.87,263.98,266.01,399884,1623,106374282.34
2010-03-03,DSEX,DSE Broad Index,Index,266.58,270.05,264.55,267.44,607508,2263,162471146.27
2010-03-04,DSEX,DSE Broad Index,Index,264.78,265.57,263.93,264.99,137967,4690,36559883.33
2010-03-05,DSEX,DSE Broad Index,Index,270.26,271.6,269.12,270.68,554232,4089,150020673.56
2010-03-08,DSEX,DSE Broad Index,Index,270.61,270.62,269.93,270.37,951618,2872,257290170.46
2010-03-09,DSEX,DSE Broad Index,Index,268.1,268.91,265.84,268.41,527169,3266,141498546.3
2010-03-10,DSEX,DSE Broad Index,Index,270.32,272.02,269.87,270.38,575569,893,155623460.67
2010-03-11,DSEX,DSE Broad Index,Index,268.21,270.78,268.18,269.14,67306,3592,18114779.65
2010-03-12,DSEX,DSE Broad Index,Index,272.49,272.55,268.85,269.51,534364,3799,144015694.51
2010-03-15,DSEX,DSE Broad Index,Index,271.3,272.42,265.32,269.06,181502,223,48835578.36
2010-03-16,DSEX,DSE Broad Index,Index,270.12,271.34,268.12,269.43,15507,3507,4177973.9
2010-03-17,DSEX,DSE Broad Index,Index,261.87,263.46,261.73,263.08,58336,489,15346992.41
2010-03-18,DSEX,DSE Broad Index,Index,264.52,265.77,263.81,265.35,29671,3051,7873249.92
2010-03-19,DSEX,DSE Broad Index,Index,263.12,263.62,262.1,262.33,838632,4718,220000920.89
2010-03-22,DSEX,DSE Broad Index,Index,260.91,266.76,260.84,263.31,429608,1510,113118157.28
