date,code,name,sector,open,high,low,close,volume,trade,value
2010-01-01,DUTCHBANGL,Dutch-Bangla Bank,Bank,259.27,259.51,257.84,258.96,984146,1726,254854326.94
2010-01-04,DUTCHBANGL,Dutch-Bangla Bank,Bank,259.42,261.01,257.71,260.54,139041,3903,36225061.33
2010-01-05,DUTCHBANGL,Dutch-Bangla Bank,Bank,258.34,258.38,257.13,258.02,463776,4246,119663434.25
2010-01-06,DUTCHBANGL,Dutch-Bangla Bank,Bank,255.88,260.58,255.74,258.46,158382,3942,40935156.83
2010-01-07,DUTCHBANGL,Dutch-Bangla Bank,Bank,258.95,259.8,258.82,259.2,449106,282,116409917.41
2010-01-08,DUTCHBANGL,Dutch-Bangla Bank,Bank,258.19,259.43,256.77,258.16,287106,2217,74118637.95
2010-01-11,DUTCHBANGL,Dutch-Bangla Bank,Bank,263.01,265.09,259.01,262.66,429067,2961,112699298.99
2010-01-12,DUTCHBANGL,Dutch-Bangla Bank,Bank,260.82,261.01,259.9,260.06,124486,850,32373612.1
2010-01-13,DUTCHBANGL,Dutch-Bangla Bank,Bank,262.57,265.47,261.57,263.49,839614,885,221229006.01
2010-01-14,DUTCHBANGL,Dutch-Bangla Bank,Bank,265.17,266.71,264.38,264.53,931951,4903,246529222.14
2010-01-15,DUTCHBANGL,Dutch-Bangla Bank,Bank,264.34,268.39,263.85,266.41,388315,2612,103452028.54
2010-01-18,DUTCHBANGL,Dutch-Bangla Bank,Bank,270.29,271.68,268.13,269.13,162159,1932,43642226.76
2010-01-19,DUTCHBANGL,Dutch-Bangla Bank,Bank,271.28,271.56,268.24,270.5,676556,3111,183005131.28
2010-01-20,DUTCHBANGL,Dutch-Bangla Bank,Bank,265.72,266.27,265.45,265.91,386860,415,102868063.88
2010-01-21,DUTCHBANGL,Dutch-Bangla Bank,Bank,266.07,266.69,263.69,264.94,304763,4696,80743691.37
2010-01-22,DUTCHBANGL,Dutch-Bangla Bank,Bank,263.63,264.28,263.37,263.92,411059,2157,108485689.54
2010-01-25,DUTCHBANGL,Dutch-Bangla Bank,Bank,259.74,260.83,257.58,258.61,864884,159,223664925.69
2010-01-26,DUTCHBANGL,Dutch-Bangla Bank,Bank,263.95,265.06,263.91,264.2,989598,2342,261451456.35
2010-01-27,DUTCHBANGL,Dutch-Bangla Bank,Bank,268.31,269.78,266.65,268.7,536607,853,144184578.58
2010-01-28,DUTCHBANGL,Dutch-Bangla Bank,Bank,279.79,282.16,278.34,279.76,59254,2526,16577115.31
2010-01-29,DUTCHBANGL,Dutch-Bangla Bank,Bank,284.94,288.7,281.68,285.81,662718,3167,189409411.15
2010-02-01,DUTCHBANGL,Dutch-Bangla Bank,Bank,287.33,287.74,286.97,287.43,191403,197,55015574.37
2010-02-02,DUTCHBANGL,Dutch-Bangla Bank,Bank,284.7,287.2,282.17,285.41,786238,4534,224403380.16
2010-02-03,DUTCHBANGL,Dutch-Bangla Bank,Bank,289.52,290.68,287.5,287.72,106862,2421,30746850.56
2010-02-04,DUTCHBANGL,Dutch-Bangla Bank,Bank,289.26,291.84,289.07,290.2,780511,2979,226500796.52
2010-02-05,DUTCHBANGL,Dutch-Bangla Bank,Bank,294.13,296.36,293.88,294.14,48350,3297,14221906.57
2010-02-08,DUTCHBANGL,Dutch-Bangla Bank,Bank,289.59,292.04,289.14,291.28,963107,690,280534412.92
2010-02-09,DUTCHBANGL,Dutch-Bangla Bank,Bank,292.4,294.2,290.68,292.63,239248,3624,70011701.84
2010-02-10,DUTCHBANGL,Dutch-Bangla Bank,Bank,297.91,298.25,297.68,297.78,945430,1696,281528750.86
2010-02-11,DUTCHBANGL,Dutch-Bangla Bank,Bank,298.38,301.04,294.56,297.56,826282,1223,245872133.88
2010-02-12,DUTCHBANGL,Dutch-Bangla Bank,Bank,297.64,298.53,296.83,297.17,461759,4886,137223030.81
2010-02-15,DUTCHBANGL,Dutch-Bangla Bank,Bank,298.3,298.44,295.47,297.42,154939,2501,46082541.8
2010-02-16,DUTCHBANGL,Dutch-Bangla Bank,Bank,302.23,302.53,300.91,301.05,359174,2787,108127686.48
2010-02-17,DUTCHBANGL,Dutch-Bangla Bank,Bank,300.49,303.04,298.59,299.31,486575,2159,145635680.85
2010-02-18,DUTCHBANGL,Dutch-Bangla Bank,Bank,300.71,301.91,296.12,300.52,66530,1151,19993265.78
2010-02-19,DUTCHBANGL,Dutch-Bangla Bank,Bank,300.47,302.53,300.06,301.41,382993,3567,115438515.49
2010-02-22,DUTCHBANGL,Dutch-Bangla Bank,Bank,309.66,310.27,305.2,307.26,290128,351,89144026.42
2010-02-23,DUTCHBANGL,Dutch-Bangla Bank,Bank,303.66,304.38,303.4,303.48,780467,235,236855339.48
2010-02-24,DUTCHBANGL,Dutch-Bangla Bank,Bank,305.5,307.42,301.4,304.51,730567,4128,222468150.5
2010-02-25,DUTCHBANGL,Dutch-Bangla Bank,Bank,311.1,312.46,311.09,311.21,653988,2336,203529504.26
2010-02-26,DUTCHBANGL,Dutch-Bangla Bank,Bank,313.03,313.12,309.55,310.38,605329,1832,187882978.06
2010-03-01,DUTCHBANGL,Dutch-Bangla Bank,Bank,316.4,317.46,312.31,314.05,668095,201,209813256.3
2010-03-02,DUTCHBANGL,Dutch-Bangla Bank,Bank,313.45,313.51,311.54,312.14,107820,2617,33655380.59
