date,code,name,sector,open,high,low,close,volume,trade,value
2010-01-01,GP,Grameenphone Ltd,Telecom,396.82,402.22,383.29,391.79,334697,671,131129856.1
2010-01-04,GP,Grameenphone Ltd,Telecom,398.35,399.26,395.77,398.04,954681,3634,380000765.96
2010-01-05,GP,Grameenphone Ltd,Telecom,399.69,402.0,384.61,394.17,292296,4359,115214301.93
2010-01-06,GP,Grameenphone Ltd,Telecom,402.77,404.98,399.46,401.83,113277,4533,45517586.09
2010-01-07,GP,Grameenphone Ltd,Telecom,407.81,411.61,407.43,410.56,764331,3529,313803379.33
2010-01-08,GP,Grameenphone Ltd,Telecom,403.12,404.89,398.49,398.7,637095,969,254009486.42
2010-01-11,GP,Grameenphone Ltd,Telecom,392.07,397.89,383.35,389.35,925247,1172,360249472.14
2010-01-12,GP,Grameenphone Ltd,Telecom,372.78,373.96,372.01,373.94,560392,2206,209550266.47
2010-01-13,GP,Grameenphone Ltd,Telecom,386.76,391.3,381.18,382.63,697480,4868,266877899.98
2010-01-14,GP,Grameenphone Ltd,Telecom,382.11,384.61,379.05,379.73,950037,738,360759220.38
2010-01-15,GP,Grameenphone Ltd,Telecom,383.05,386.79,377.94,385.18,532883,2489,205258405.57
2010-01-18,GP,Grameenphone Ltd,Telecom,383.34,383.49,379.28,382.35,546714,4462,209036972.18
2010-01-19,GP,Grameenphone Ltd,Telecom,371.13,375.9,370.85,375.37,74954,3138,28135117.28
2010-01-20,GP,Grameenphone Ltd,Telecom,367.29,377.41,364.69,369.77,124154,2850,45908403.03
2010-01-21,GP,Grameenphone Ltd,Telecom,353.02,374.62,352.35,363.31,716983,3656,260484431.45
2010-01-22,GP,Grameenphone Ltd,Telecom,371.77,373.49,364.47,367.49,250804,421,92166957.61
2010-01-25,GP,Grameenphone Ltd,Telecom,371.05,371.67,364.14,365.98,719637,251,263370400.87
2010-01-26,GP,Grameenphone Ltd,Telecom,353.18,354.95,341.5,346.71,574302,2700,199115301.69
2010-01-27,GP,Grameenphone Ltd,Telecom,346.5,352.5,345.11,348.9,961154,3488,335346897.3
2010-01-28,GP,Grameenphone Ltd,Telecom,351.72,353.18,343.82,346.91,103223,2899,35808676.06
2010-01-29,GP,Grameenphone Ltd,Telecom,337.75,346.04,337.59,340.5,660149,3300,224779109.92
2010-02-01,GP,Grameenphone Ltd,Telecom,333.11,335.17,333.09,333.77,159759,2068,53322558.77
2010-02-02,GP,Grameenphone Ltd,Telecom,332.0,335.32,331.51,333.81,315691,2296,105380152.89
2010-02-03,GP,Grameenphone Ltd,Telecom,323.48,331.38,321.58,327.26,433285,3494,141795720.93
2010-02-04,GP,Grameenphone Ltd,Telecom,325.0,325.58,317.12,324.6,135141,1328,43866453.47
2010-02-05,GP,Grameenphone Ltd,Telecom,333.88,333.95,328.55,329.86,405289,3590,133688835.42
2010-02-08,GP,Grameenphone Ltd,Telecom,320.51,324.87,319.04,321.58,327139,2928,105201860.53
2010-02-09,GP,Grameenphone Ltd,Telecom,316.95,317.93,316.12,317.51,201153,1574,63868451.16
2010-02-10,GP,Grameenphone Ltd,Telecom,324.8,326.19,322.29,324.0,345332,1773,111888381.63
2010-02-11,GP,Grameenphone Ltd,Telecom,321.77,326.75,312.03,319.75,525351,434,167979178.1
2010-02-12,GP,Grameenphone Ltd,Telecom,296.95,297.32,293.15,295.91,533063,4952,157738640.31
2010-02-15,GP,Grameenphone Ltd,Telecom,299.88,302.58,296.53,298.82,71859,3000,21473260.08
2010-02-16,GP,Grameenphone Ltd,Telecom,306.94,308.95,306.23,306.37,952262,1690,291747180.99
2010-02-17,GP,Grameenphone Ltd,Telecom,304.99,309.48,304.42,304.79,446977,450,136235840.33
2010-02-18,GP,Grameenphone Ltd,Telecom,312.39,315.29,312.33,313.57,84637,145,26539690.59
2010-02-19,GP,Grameenphone Ltd,Telecom,318.75,320.79,312.68,316.58,550648,1712,174324249.93
2010-02-22,GP,Grameenphone Ltd,Telecom,316.06,317.83,311.54,315.99,868538,3244,274446705.6
2010-02-23,GP,Grameenphone Ltd,Telecom,319.22,322.31,314.8,319.74,222369,4050,71099979.11
2010-02-24,GP,Grameenphone Ltd,Telecom,320.32,324.95,319.15,321.73,758142,427,243915425.86
2010-02-25,GP,Grameenphone Ltd,Telecom,329.0,335.6,325.42,326.33,924935,4205,301832625.87
2010-02-26,GP,Grameenphone Ltd,Telecom,337.8,347.66,333.76,340.92,972026,888,331379798.24
2010-03-01,GP,Grameenphone Ltd,Telecom,336.06,337.93,334.57,335.94,516005,554,173348931.65
2010-03-02,GP,Grameenphone Ltd,Telecom,340.82,340.89,334.0,338.36,405081,532,137062643.22
2010-03-03,GP,Grameenphone Ltd,Telecom,332.39,332.78,328.38,329.37,779457,3374,256729681.9
2010-03-04,GP,Grameenphone Ltd,Telecom,328.99,333.24,325.61,328.0,168781,3920,55359915.67
2010-03-05,GP,Grameenphone Ltd,Telecom,333.49,336.48,328.73,332.57,75118,2357,24982014.13
2010-03-08,GP,Grameenphone Ltd,Telecom,336.15,346.27,334.1,337.14,929639,867,313417615.45
2010-03-09,GP,Grameenphone Ltd,Telecom,337.12,337.91,333.77,337.06,477161,3591,160830292.42
2010-03-10,GP,Grameenphone Ltd,Telecom,341.66,348.83,336.88,341.09,61011,500,20810032.1
2010-03-11,GP,Grameenphone Ltd,Telecom,340.66,345.06,338.05,342.23,241960,354,82805466.3
2010-03-12,GP,Grameenphone Ltd,Telecom,340.48,343.17,338.3,341.88,158362,2562,54140112.18
2010-03-15,GP,Grameenphone Ltd,Telecom,353.03,355.61,343.82,344.93,395166,2740,136306366.86
2010-03-16,GP,Grameenphone Ltd,Telecom,347.08,352.57,341.88,351.06,548430,4314,192529358.27
2010-03-17,GP,Grameenphone Ltd,Telecom,338.14,342.73,336.82,342.53,870757,3922,298259002.26
2010-03-18,GP,Grameenphone Ltd,Telecom,338.44,339.46,338.37,339.35,874122,2871,296629962.98
2010-03-19,GP,Grameenphone Ltd,Telecom,344.07,348.82,339.16,345.59,338659,1479,117035609.82
2010-03-22,GP,Grameenphone Ltd,Telecom,344.05,354.43,341.78,346.33,596912,2283,206728597.38
2010-03-23,GP,Grameenphone Ltd,Telecom,338.04,345.4,332.15,339.14,155869,407,52861762.39
2010-03-24,GP,Grameenphone Ltd,Telecom,336.11,339.38,333.49,335.67,23991,3373,8052970.99
2010-03-25,GP,Grameenphone Ltd,Telecom,337.12,338.62,329.87,334.07,753684,1101,251784617.81
2010-03-26,GP,Grameenphone Ltd,Telecom,320.32,323.21,318.14,321.16,534688,1252,171721984.27
2010-03-29,GP,Grameenphone Ltd,Telecom,320.68,323.19,318.24,318.92,26413,3003,8423694.22
2010-03-30,GP,Grameenphone Ltd,Telecom,316.58,328.52,316.26,323.98,402022,2627,130246999.38
2010-03-31,GP,Grameenphone Ltd,Telecom,327.03,327.03,325.32,325.55,453274,4417,147563700.56
2010-04-01,GP,Grameenphone Ltd,Telecom,314.45,316.15,310.85,314.06,41668,2541,13086101.09
2010-04-02,GP,Grameenphone Ltd,Telecom,315.79,316.9,313.78,316.6,440443,2061,139442304.18
2010-04-05,GP,Grameenphone Ltd,Telecom,312.19,314.03,308.25,311.24,987417,3237,307319731.18
2010-04-06,GP,Grameenphone Ltd,Telecom,308.65,311.28,308.0,310.19,317017,860,98334026.13
2010-04-07,GP,Grameenphone Ltd,Telecom,315.52,325.1,314.76,322.83,634498,4984,204835981.42
2010-04-08,GP,Grameenphone Ltd,Telecom,326.39,327.13,321.52,325.12,898960,3179,292269939.37
2010-04-09,GP,Grameenphone Ltd,Telecom,323.1,327.92,322.0,325.35,348767,382,113471226.43
2010-04-12,GP,Grameenphone Ltd,Telecom,330.42,334.32,326.2,329.38,800329,2379,263615981.79
2010-04-13,GP,Grameenphone Ltd,Telecom,328.62,333.4,326.78,332.23,282085,4803,93717269.79
2010-04-14,GP,Grameenphone Ltd,Telecom,319.71,320.21,312.89,319.64,536692,270,171550268.12
2010-04-15,GP,Grameenphone Ltd,Telecom,324.93,328.28,322.58,325.74,520243,142,169464767.84
2010-04-16,GP,Grameenphone Ltd,Telecom,327.42,334.85,326.96,328.05,433299,2998,142144293.66
2010-04-19,GP,Grameenphone Ltd,Telecom,345.94,346.71,340.3,341.68,935076,1901,319499095.58
2010-04-20,GP,Grameenphone Ltd,Telecom,335.56,349.7,330.63,339.1,206341,3226,69969695.64
2010-04-21,GP,Grameenphone Ltd,Telecom,338.75,340.7,337.35,340.14,455687,4014,154997588.15
2010-04-22,GP,Grameenphone Ltd,Telecom,343.65,346.02,338.37,341.4,11168,1951,3812809.45
2010-04-23,GP,Grameenphone Ltd,Telecom,341.5,346.76,339.6,341.2,62484,4710,21319689.55
