date,code,name,sector,open,high,low,close,volume,trade,value
2010-01-01,HEIDELBCEM,Heidelberg Cement,Cement,185.68,186.23,184.45,185.04,955072,2180,176726810.08
2010-01-04,HEIDELBCEM,Heidelberg Cement,Cement,186.84,188.39,186.16,187.24,702271,4157,131491656.04
2010-01-05,HEIDELBCEM,Heidelberg Cement,Cement,192.94,195.42,191.49,192.88,662824,2820,127842803.44
2010-01-06,HEIDELBCEM,Heidelberg Cement,Cement,189.43,190.63,189.19,190.51,120051,1534,22870928.53
2010-01-07,HEIDELBCEM,Heidelberg Cement,Cement,192.19,192.59,191.94,192.29,265125,3589,50980722.99
2010-01-08,HEIDELBCEM,Heidelberg Cement,Cement,194.67,197.89,194.13,194.53,217117,1808,42235330.26
2010-01-11,HEIDELBCEM,Heidelberg Cement,Cement,200.56,200.57,196.7,197.58,966311,3569,190925093.61
2010-01-12,HEIDELBCEM,Heidelberg Cement,Cement,188.31,194.8,187.47,191.57,905298,1154,173424470.19
2010-01-13,HEIDELBCEM,Heidelberg Cement,Cement,186.51,187.47,185.6,187.12,420543,4906,78693018.04
2010-01-14,HEIDELBCEM,Heidelberg Cement,Cement,190.33,192.55,188.51,188.71,835419,1632,157654489.11
2010-01-15,HEIDELBCEM,Heidelberg Cement,Cement,185.34,186.71,183.99,185.43,982769,3881,182236185.66
2010-01-18,HEIDELBCEM,Heidelberg Cement,Cement,191.41,192.54,191.15,191.95,133378,852,25602246.1
2010-01-19,HEIDELBCEM,Heidelberg Cement,Cement,200.71,200.91,197.77,198.81,100168,2871,19914213.79
2010-01-20,HEIDELBCEM,Heidelberg Cement,Cement,193.64,195.42,192.64,194.58,596567,2238,116077353.81
2010-01-21,HEIDELBCEM,Heidelberg Cement,Cement,197.03,197.94,193.72,196.59,328513,4803,64583824.12
2010-01-22,HEIDELBCEM,Heidelberg Cement,Cement,197.95,198.41,195.45,195.82,87890,4823,17211024.0
2010-01-25,HEIDELBCEM,Heidelberg Cement,Cement,197.27,200.39,196.27,198.62,447186,1605,88822119.2
2010-01-26,HEIDELBCEM,Heidelberg Cement,Cement,201.01,201.7,200.57,201.47,889097,4197,179128295.12
2010-01-27,HEIDELBCEM,Heidelberg Cement,Cement,204.13,205.59,203.16,203.91,688055,387,140304079.91
2010-01-28,HEIDELBCEM,Heidelberg Cement,Cement,201.67,204.47,199.35,201.98,129260,2614,26107973.4
2010-01-29,HEIDELBCEM,Heidelberg Cement,Cement,199.63,201.6,199.41,199.74,721002,2166,144013760.49
2010-02-01,HEIDELBCEM,Heidelberg Cement,Cement,199.02,201.79,196.81,198.47,75009,559,14887312.88
2010-02-02,HEIDELBCEM,Heidelberg Cement,Cement,195.32,195.39,194.31,194.75,481143,3807,93701131.13
2010-02-03,HEIDELBCEM,Heidelberg Cement,Cement,191.75,195.88,191.02,193.84,632924,4174,122686914.86
2010-02-04,HEIDELBCEM,Heidelberg Cement,Cement,196.31,196.92,196.29,196.34,857297,990,168322440.18
2010-02-05,HEIDELBCEM,Heidelberg Cement,Cement,194.85,196.25,194.15,194.36,45102,3237,8766139.19
2010-02-08,HEIDELBCEM,Heidelberg Cement,Cement,198.22,200.95,193.44,197.38,519866,2395,102612458.95
2010-02-09,HEIDELBCEM,Heidelberg Cement,Cement,199.35,199.41,197.08,197.37,515586,2786,101760142.76
2010-02-10,HEIDELBCEM,Heidelberg Cement,Cement,204.51,204.91,200.4,203.8,23861,4506,4862836.34
2010-02-11,HEIDELBCEM,Heidelberg Cement,Cement,202.19,202.75,198.19,201.71,364376,524,73498031.78
2010-02-12,HEIDELBCEM,Heidelberg Cement,Cement,202.86,205.96,200.57,203.45,835369,3235,169956758.1
2010-02-15,HEIDELBCEM,Heidelberg Cement,Cement,207.19,209.24,205.26,207.29,643292,257,133347795.88
2010-02-16,HEIDELBCEM,Heidelberg Cement,Cement,209.98,210.45,207.22,210.35,212767,2410,44755395.19
2010-02-17,HEIDELBCEM,Heidelberg Cement,Cement,212.9,213.06,210.75,211.44,903155,1858,190959422.84
2010-02-18,HEIDELBCEM,Heidelberg Cement,Cement,205.92,208.03,205.51,206.81,130251,870,26937696.96
2010-02-19,HEIDELBCEM,Heidelberg Cement,Cement,206.97,208.03,205.47,206.3,873319,2772,180167699.76
2010-02-22,HEIDELBCEM,Heidelberg Cement,Cement,208.87,209.06,206.19,207.37,717182,2381,148724106.27
2010-02-23,HEIDELBCEM,Heidelberg Cement,Cement,209.11,211.43,208.66,210.26,346944,3453,72946888.17
2010-02-24,HEIDELBCEM,Heidelberg Cement,Cement,202.23,207.78,201.55,204.35,206168,4129,42130968.87
2010-02-25,HEIDELBCEM,Heidelberg Cement,Cement,198.32,204.4,196.77,199.97,421723,4083,84329922.87
2010-02-26,HEIDELBCEM,Heidelberg Cement,Cement,198.69,199.45,198.0,198.23,52772,1711,10461091.01
2010-03-01,HEIDELBCEM,Heidelberg Cement,Cement,196.09,196.71,195.89,196.25,886147,1041,173907067.88
2010-03-02,HEIDELBCEM,Heidelberg Cement,Cement,193.9,200.08,191.27,196.44,720027,3343,141444958.44
2010-03-03,HEIDELBCEM,Heidelberg Cement,Cement,195.85,196.39,194.92,195.81,663609,3879,129943728.44
2010-03-04,HEIDELBCEM,Heidelberg Cement,Cement,191.53,192.02,191.41,191.48,560203,1884,107266932.37
2010-03-05,HEIDELBCEM,Heidelberg Cement,Cement,191.5,198.47,188.61,193.4,829239,2605,160371040.03
2010-03-08,HEIDELBCEM,Heidelberg Cement,Cement,193.09,193.62,189.82,191.36,428703,4332,82036397.01
2010-03-09,HEIDELBCEM,Heidelberg Cement,Cement,190.1,190.78,188.9,190.04,78121,3381,14846341.01
2010-03-10,HEIDELBCEM,Heidelberg Cement,Cement,189.78,193.52,189.61,193.51,502936,3336,97324062.51
2010-03-11,HEIDELBCEM,Heidelberg Cement,Cement,195.47,198.74,194.35,195.27,827468,398,161580434.71
2010-03-12,HEIDELBCEM,Heidelberg Cement,Cement,198.01,199.01,194.97,196.63,572321,1258,112533749.76
2010-03-15,HEIDELBCEM,Heidelberg Cement,Cement,196.76,196.89,196.08,196.61,822521,4702,161714879.43
2010-03-16,HEIDELBCEM,Heidelberg Cement,Cement,198.22,198.88,196.76,197.8,564544,3549,111667446.03
2010-03-17,HEIDELBCEM,Heidelberg Cement,Cement,198.03,198.05,194.08,197.07,939682,2886,185185165.86
2010-03-18,HEIDELBCEM,Heidelberg Cement,Cement,199.39,200.74,198.82,199.76,652913,1578,130428760.96
2010-03-19,HEIDELBCEM,Heidelberg Cement,Cement,197.38,197.76,196.81,197.34,307435,3852,60669945.95
2010-03-22,HEIDELBCEM,Heidelberg Cement,Cement,193.97,198.09,192.54,193.76,265629,4866,51467662.41
2010-03-23,HEIDELBCEM,Heidelberg Cement,Cement,199.06,201.38,198.46,199.3,314833,3135,62745212.24
2010-03-24,HEIDELBCEM,Heidelberg Cement,Cement,195.7,197.81,193.68,197.05,299624,4714,59040576.99
2010-03-25,HEIDELBCEM,Heidelberg Cement,Cement,200.99,203.83,195.7,200.74,779360,4969,156448810.4
2010-03-26,HEIDELBCEM,Heidelberg Cement,Cement,202.04,205.89,201.62,204.02,884727,643,180504537.81
2010-03-29,HEIDELBCEM,Heidelberg Cement,Cement,209.96,210.11,209.19,209.72,926805,916,194366360.21
2010-03-30,HEIDELBCEM,Heidelberg Cement,Cement,208.5,211.56,208.48,209.11,377277,4167,78891687.35
2010-03-31,HEIDELBCEM,Heidelberg Cement,Cement,206.69,210.09,203.03,207.51,855450,4703,177514761.26
2010-04-01,HEIDELBCEM,Heidelberg Cement,Cement,211.44,212.26,209.03,210.55,340534,3931,71700869.79
2010-04-02,HEIDELBCEM,Heidelberg Cement,Cement,206.83,207.21,202.47,204.19,414433,1165,84622057.46
2010-04-05,HEIDELBCEM,Heidelberg Cement,Cement,202.43,204.61,202.35,204.27,10256,1412,2095007.01
2010-04-06,HEIDELBCEM,Heidelberg Cement,Cement,198.51,198.98,195.49,197.37,393665,3953,77695872.13
2010-04-07,HEIDELBCEM,Heidelberg Cement,Cement,197.69,199.83,196.56,197.29,356939,4950,70419353.9
2010-04-08,HEIDELBCEM,Heidelberg Cement,Cement,193.83,194.13,193.23,193.49,358031,3683,69276247.49
2010-04-09,HEIDELBCEM,Heidelberg Cement,Cement,189.02,189.74,188.6,188.83,70828,3594,13374201.8
2010-04-12,HEIDELBCEM,Heidelberg Cement,Cement,198.66,199.69,191.79,195.15,558542,926,108997163.19
2010-04-13,HEIDELBCEM,Heidelberg Cement,Cement,191.73,193.28,190.32,192.17,36602,2316,7033947.18
2010-04-14,HEIDELBCEM,Heidelberg Cement,Cement,197.58,197.91,192.98,194.52,677854,3479,131855691.75
2010-04-15,HEIDELBCEM,Heidelberg Cement,Cement,191.21,195.67,191.11,192.62,511049,851,98440470.94
2010-04-16,HEIDELBCEM,Heidelberg Cement,Cement,186.66,188.99,186.42,188.38,233146,628,43919155.41
2010-04-19,HEIDELBCEM,Heidelberg Cement,Cement,187.23,188.67,185.71,186.63,502137,2788,93713393.71
2010-04-20,HEIDELBCEM,Heidelberg Cement,Cement,183.66,185.58,182.12,183.67,821005,4404,150795145.29
2010-04-21,HEIDELBCEM,Heidelberg Cement,Cement,182.78,184.33,180.6,182.37,731797,174,133457337.48
2010-04-22,HEIDELBCEM,Heidelberg Cement,Cement,181.71,184.55,181.44,184.07,854422,1932,157272211.57
2010-04-23,HEIDELBCEM,Heidelberg Cement,Cement,177.32,178.19,176.88,177.95,558112,1074,99317655.17
2010-04-26,HEIDELBCEM,Heidelberg Cement,Cement,178.47,178.77,174.99,176.43,546987,1889,96503955.52
2010-04-27,HEIDELBCEM,Heidelberg Cement,Cement,178.42,179.23,177.41,178.52,367789,1025,65655882.74
2010-04-28,HEIDELBCEM,Heidelberg Cement,Cement,168.1,168.23,167.75,167.9,479489,2633,80507528.61
2010-04-29,HEIDELBCEM,Heidelberg Cement,Cement,167.3,170.19,166.16,169.28,342933,4026,58052892.15
2010-04-30,HEIDELBCEM,Heidelberg Cement,Cement,170.75,174.13,170.52,171.86,644797,2311,110817562.33
2010-05-03,HEIDELBCEM,Heidelberg Cement,Cement,173.61,173.87,173.32,173.57,825132,2238,143214990.58
2010-05-04,HEIDELBCEM,Heidelberg Cement,Cement,181.58,183.4,181.07,183.14,576797,4696,105635122.68
2010-05-05,HEIDELBCEM,Heidelberg Cement,Cement,186.23,186.99,183.94,184.83,510831,3535,94416530.74
2010-05-06,HEIDELBCEM,Heidelberg Cement,Cement,184.51,185.14,182.24,184.2,762949,1900,140533975.94
2010-05-07,HEIDELBCEM,Heidelberg Cement,Cement,183.42,185.04,181.88,183.68,419798,2688,77107223.75
2010-05-10,HEIDELBCEM,Heidelberg Cement,Cement,181.11,184.23,179.27,182.68,386173,740,70544719.65
2010-05-11,HEIDELBCEM,Heidelberg Cement,Cement,180.05,183.89,179.83,182.14,492267,2597,89661363.54
2010-05-12,HEIDELBCEM,Heidelberg Cement,Cement,185.98,186.83,181.69,184.28,654161,3112,120548024.28
2010-05-13,HEIDELBCEM,Heidelberg Cement,Cement,191.06,194.54,189.39,192.42,536625,3871,103259855.1
2010-05-14,HEIDELBCEM,Heidelberg Cement,Cement,193.55,196.33,191.46,193.68,189355,4914,36674750.75
2010-05-17,HEIDELBCEM,Heidelberg Cement,Cement,191.53,192.63,190.06,192.48,895457,4672,172355795.66
2010-05-18,HEIDELBCEM,Heidelberg Cement,Cement,190.44,191.1,189.18,190.91,877741,2987,167566908.27
2010-05-19,HEIDELBCEM,Heidelberg Cement,Cement,187.95,188.55,186.64,187.82,354658,1416,66612020.5
2010-05-20,HEIDELBCEM,Heidelberg Cement,Cement,189.17,190.01,189.06,189.1,90596,3402,17131288.96
2010-05-21,HEIDELBCEM,Heidelberg Cement,Cement,189.91,190.01,188.1,188.93,854508,183,161445753.23
2010-05-24,HEIDELBCEM,Heidelberg Cement,Cement,187.8,192.19,186.82,190.9,376181,1369,71812343.57
2010-05-25,HEIDELBCEM,Heidelberg Cement,Cement,183.25,184.09,182.6,183.13,656280,4568,120184713.9
2010-05-26,HEIDELBCEM,Heidelberg Cement,Cement,179.69,182.96,179.29,182.42,475340,4163,86710784.71
2010-05-27,HEIDELBCEM,Heidelberg Cement,Cement,190.92,193.02,190.45,190.93,694958,1706,132687505.66
2010-05-28,HEIDELBCEM,Heidelberg Cement,Cement,190.47,192.1,187.82,191.55,317474,4974,60811047.43
2010-05-31,HEIDELBCEM,Heidelberg Cement,Cement,188.14,190.97,185.69,188.24,123984,2817,23338528.39
2010-06-01,HEIDELBCEM,Heidelberg Cement,Cement,184.77,186.13,184.2,185.04,818955,3064,151538608.59
