date,code,name,sector,open,high,low,close,volume,trade,value
2010-01-01,JAMUNAOIL,Jamuna Oil Company,Fuel,311.69,315.59,310.59,313.2,962205,2565,301363141.4
2010-01-04,JAMUNAOIL,Jamuna Oil Company,Fuel,306.99,309.16,305.63,306.94,116394,4959,35725887.1
2010-01-05,JAMUNAOIL,Jamuna Oil Company,Fuel,315.44,317.1,314.05,315.23,375934,3787,118506443.74
2010-01-06,JAMUNAOIL,Jamuna Oil Company,Fuel,313.15,314.33,310.92,312.84,555576,3796,173808272.15
2010-01-07,JAMUNAOIL,Jamuna Oil Company,Fuel,309.07,310.06,308.74,309.03,538964,4077,166553465.7
2010-01-08,JAMUNAOIL,Jamuna Oil Company,Fuel,311.8,313.76,306.32,309.15,352645,1591,109019941.36
2010-01-11,JAMUNAOIL,Jamuna Oil Company,Fuel,300.25,305.19,299.63,304.27,518640,103,157808825.27
2010-01-12,JAMUNAOIL,Jamuna Oil Company,Fuel,311.84,313.58,311.43,311.44,459108,4771,142982787.38
2010-01-13,JAMUNAOIL,Jamuna Oil Company,Fuel,318.9,322.11,318.57,319.67,25876,2353,8271802.54
2010-01-14,JAMUNAOIL,Jamuna Oil Company,Fuel,319.07,321.15,314.65,318.84,972071,2280,309936980.81
2010-01-15,JAMUNAOIL,Jamuna Oil Company,Fuel,316.62,319.76,315.71,319.51,269895,1814,86233238.25
2010-01-18,JAMUNAOIL,Jamuna Oil Company,Fuel,311.69,313.29,310.73,311.49,974997,3103,303703475.66
2010-01-19,JAMUNAOIL,Jamuna Oil Company,Fuel,308.45,309.55,307.61,308.39,129406,1150,39908147.01
2010-01-20,JAMUNAOIL,Jamuna Oil Company,Fuel,308.26,309.79,306.57,306.96,146775,1100,45053383.06
2010-01-21,JAMUNAOIL,Jamuna Oil Company,Fuel,305.84,308.17,305.73,307.09,250691,1694,76983811.52
2010-01-22,JAMUNAOIL,Jamuna Oil Company,Fuel,306.06,306.09,298.95,304.22,286829,3718,87257950.31
2010-01-25,JAMUNAOIL,Jamuna Oil Company,Fuel,310.15,310.38,307.06,308.33,286090,2202,88209632.67
2010-01-26,JAMUNAOIL,Jamuna Oil Company,Fuel,300.76,302.98,295.73,300.95,840568,3276,252971926.51
2010-01-27,JAMUNAOIL,Jamuna Oil Company,Fuel,299.46,302.35,297.34,299.33,194988,2961,58366375.17
2010-01-28,JAMUNAOIL,Jamuna Oil Company,Fuel,299.93,300.9,298.67,300.86,205595,1339,61855050.65
2010-01-29,JAMUNAOIL,Jamuna Oil Company,Fuel,307.45,307.7,304.1,305.96,896856,4545,274402040.16
2010-02-01,JAMUNAOIL,Jamuna Oil Company,Fuel,308.18,309.29,305.92,308.03,38422,2573,11835030.76
2010-02-02,JAMUNAOIL,Jamuna Oil Company,Fuel,303.15,303.57,302.99,303.11,297641,2236,90216875.23
2010-02-03,JAMUNAOIL,Jamuna Oil Company,Fuel,299.94,302.88,299.07,301.08,931241,2939,280379886.5
2010-02-04,JAMUNAOIL,Jamuna Oil Company,Fuel,298.69,300.23,298.18,298.54,844457,1695,252101789.85
2010-02-05,JAMUNAOIL,Jamuna Oil Company,Fuel,294.56,297.33,293.37,295.23,964063,982,284616590.59
2010-02-08,JAMUNAOIL,Jamuna Oil Company,Fuel,295.37,296.64,294.8,296.5,427993,1663,126899285.91
2010-02-09,JAMUNAOIL,Jamuna Oil Company,Fuel,294.94,295.52,292.73,293.2,984327,630,288605222.77
2010-02-10,JAMUNAOIL,Jamuna Oil Company,Fuel,296.59,298.01,294.82,296.42,412312,4442,122218387.03
2010-02-11,JAMUNAOIL,Jamuna Oil Company,Fuel,290.42,292.3,287.92,291.41,394147,455,114859640.87
2010-02-12,JAMUNAOIL,Jamuna Oil Company,Fuel,292.95,293.83,289.6,291.26,760917,3361,221623914.45
2010-02-15,JAMUNAOIL,Jamuna Oil Company,Fuel,290.82,294.7,285.4,290.58,608251,1484,176748157.63
2010-02-16,JAMUNAOIL,Jamuna Oil Company,Fuel,284.87,286.4,284.18,285.04,35055,325,9992005.87
2010-02-17,JAMUNAOIL,Jamuna Oil Company,Fuel,295.32,296.28,291.57,293.67,851907,3684,250180461.05
2010-02-18,JAMUNAOIL,Jamuna Oil Company,Fuel,296.19,296.59,294.68,295.2,577645,4404,170523069.29
2010-02-19,JAMUNAOIL,Jamuna Oil Company,Fuel,292.24,295.69,288.19,291.24,153826,3024,44799862.65
