date,code,name,sector,open,high,low,close,volume,trade,value
2010-01-01,LAFARGECEM,LafargeHolcim Bangladesh,Cement,160.43,160.7,157.96,157.99,836894,3429,132222409.33
2010-01-04,LAFARGECEM,LafargeHolcim Bangladesh,Cement,157.25,157.44,155.74,157.25,878453,4756,138140557.22
2010-01-05,LAFARGECEM,LafargeHolcim Bangladesh,Cement,159.0,159.21,157.2,157.9,507684,2570,80163837.67
2010-01-06,LAFARGECEM,LafargeHolcim Bangladesh,Cement,158.57,160.25,156.82,158.69,419430,449,66557811.44
2010-01-07,LAFARGECEM,LafargeHolcim Bangladesh,Cement,157.11,158.02,156.61,157.37,947181,4314,149058838.58
2010-01-08,LAFARGECEM,LafargeHolcim Bangladesh,Cement,158.04,158.34,157.84,158.06,818848,3856,129428858.02
2010-01-11,LAFARGECEM,LafargeHolcim Bangladesh,Cement,159.92,161.47,157.98,158.95,615073,2582,97768195.34
2010-01-12,LAFARGECEM,LafargeHolcim Bangladesh,Cement,156.8,161.68,155.18,158.59,333157,4129,52836351.44
2010-01-13,LAFARGECEM,LafargeHolcim Bangladesh,Cement,164.74,164.76,164.39,164.56,871089,3716,143342066.82
2010-01-14,LAFARGECEM,LafargeHolcim Bangladesh,Cement,169.47,170.64,169.44,169.55,658026,929,111567845.89
2010-01-15,LAFARGECEM,LafargeHolcim Bangladesh,Cement,167.92,171.27,167.51,169.35,399167,4746,67596978.37
2010-01-18,LAFARGECEM,LafargeHolcim Bangladesh,Cement,163.97,164.92,163.48,163.71,566404,2486,92726936.69
2010-01-19,LAFARGECEM,LafargeHolcim Bangladesh,Cement,158.34,160.94,157.43,160.68,323606,2300,51996477.61
2010-01-20,LAFARGECEM,LafargeHolcim Bangladesh,Cement,161.72,163.05,158.33,160.37,748433,4880,120028903.5
2010-01-21,LAFARGECEM,LafargeHolcim Bangladesh,Cement,161.62,163.3,157.15,160.33,605705,2188,97111000.79
2010-01-22,LAFARGECEM,LafargeHolcim Bangladesh,Cement,156.72,157.44,155.91,156.57,770943,3153,120707454.18
2010-01-25,LAFARGECEM,LafargeHolcim Bangladesh,Cement,156.53,160.29,156.16,158.23,555853,4783,87952824.63
2010-01-26,LAFARGECEM,LafargeHolcim Bangladesh,Cement,163.06,165.4,159.87,162.84,460056,2219,74917659.13
2010-01-27,LAFARGECEM,LafargeHolcim Bangladesh,Cement,163.87,165.04,163.54,164.92,331185,198,54619857.84
2010-01-28,LAFARGECEM,LafargeHolcim Bangladesh,Cement,163.73,164.36,162.67,163.55,606197,1107,99145807.9
2010-01-29,LAFARGECEM,LafargeHolcim Bangladesh,Cement,160.97,162.45,160.36,161.32,129315,2723,20861599.11
2010-02-01,LAFARGECEM,LafargeHolcim Bangladesh,Cement,162.91,163.18,162.41,162.89,700545,3728,114112380.99
2010-02-02,LAFARGECEM,LafargeHolcim Bangladesh,Cement,162.77,163.57,160.29,161.14,755263,2416,121701338.42
2010-02-03,LAFARGECEM,LafargeHolcim Bangladesh,Cement,161.51,162.77,160.95,161.25,741757,265,119611061.38
2010-02-04,LAFARGECEM,LafargeHolcim Bangladesh,Cement,160.95,164.34,158.64,161.25,53040,140,8552501.76
2010-02-05,LAFARGECEM,LafargeHolcim Bangladesh,Cement,161.22,163.95,160.39,163.82,422613,3672,69234092.47
2010-02-08,LAFARGECEM,LafargeHolcim Bangladesh,Cement,162.95,163.2,161.57,162.84,845157,1251,137626681.05
2010-02-09,LAFARGECEM,LafargeHolcim Bangladesh,Cement,163.71,165.22,160.74,164.67,934341,286,153855555.79
2010-02-10,LAFARGECEM,LafargeHolcim Bangladesh,Cement,165.15,166.33,165.09,165.55,740110,3334,122526050.35
2010-02-11,LAFARGECEM,LafargeHolcim Bangladesh,Cement,167.23,167.48,165.44,166.84,208222,3701,34740434.28
2010-02-12,LAFARGECEM,LafargeHolcim Bangladesh,Cement,169.39,171.9,165.89,169.49,817045,4824,138477432.57
2010-02-15,LAFARGECEM,LafargeHolcim Bangladesh,Cement,172.41,173.87,170.21,171.16,210663,1054,36056186.78
2010-02-16,LAFARGECEM,LafargeHolcim Bangladesh,Cement,166.76,167.17,165.89,167.09,262992,650,43943319.29
2010-02-17,LAFARGECEM,LafargeHolcim Bangladesh,Cement,163.17,164.49,159.88,162.8,480226,1384,78182584.82
2010-02-18,LAFARGECEM,LafargeHolcim Bangladesh,Cement,164.76,165.37,163.68,164.56,589479,4209,97006700.02
2010-02-19,LAFARGECEM,LafargeHolcim Bangladesh,Cement,166.03,166.43,161.7,164.41,539657,1874,88726160.56
