date,code,name,sector,open,high,low,close,volume,trade,value
2010-01-01,MARICO,Marico Bangladesh,Consumer,226.05,227.09,225.88,227.06,22347,659,5074106.25
2010-01-04,MARICO,Marico Bangladesh,Consumer,238.45,238.86,236.05,236.16,220728,210,52126142.04
2010-01-05,MARICO,Marico Bangladesh,Consumer,236.36,243.95,235.95,239.94,83092,1880,19937124.95
2010-01-06,MARICO,Marico Bangladesh,Consumer,238.67,244.12,232.67,237.49,840736,1459,199666961.57
2010-01-07,MARICO,Marico Bangladesh,Consumer,238.95,242.58,238.33,240.44,560952,1090,134876126.77
2010-01-08,MARICO,Marico Bangladesh,Consumer,238.2,240.12,237.82,238.48,183284,3979,43709290.22
2010-01-11,MARICO,Marico Bangladesh,Consumer,244.35,244.46,243.53,244.28,935150,1341,228441373.9
2010-01-12,MARICO,Marico Bangladesh,Consumer,250.24,253.67,245.63,251.04,157474,169,39531603.92
2010-01-13,MARICO,Marico Bangladesh,Consumer,252.65,256.43,248.52,251.18,663716,1767,166714899.21
2010-01-14,MARICO,Marico Bangladesh,Consumer,256.6,259.28,256.12,259.04,561098,1031,145348951.03
2010-01-15,MARICO,Marico Bangladesh,Consumer,251.39,256.04,250.68,252.26,346625,3616,87439087.11
2010-01-18,MARICO,Marico Bangladesh,Consumer,262.21,263.98,255.45,256.72,515342,805,132298999.17
2010-01-19,MARICO,Marico Bangladesh,Consumer,250.05,253.6,249.59,253.2,682594,338,172832605.99
2010-01-20,MARICO,Marico Bangladesh,Consumer,247.49,249.16,245.29,248.22,379393,1319,94171797.75
2010-01-21,MARICO,Marico Bangladesh,Consumer,245.39,249.17,244.72,245.28,757662,4799,185836432.69
2010-01-22,MARICO,Marico Bangladesh,Consumer,239.18,239.62,235.14,237.6,354534,2159,84238984.19
2010-01-25,MARICO,Marico Bangladesh,Consumer,244.56,245.12,239.95,240.45,214458,1908,51565704.37
2010-01-26,MARICO,Marico Bangladesh,Consumer,235.46,236.97,235.0,236.08,251720,4171,59426639.21
2010-01-27,MARICO,Marico Bangladesh,Consumer,233.41,235.65,230.8,235.3,241703,3288,56873228.25
2010-01-28,MARICO,Marico Bangladesh,Consumer,239.58,242.28,236.79,237.26,154726,718,36709844.66
2010-01-29,MARICO,Marico Bangladesh,Consumer,230.21,230.41,226.49,228.57,500240,1402,114338702.62
2010-02-01,MARICO,Marico Bangladesh,Consumer,221.04,222.39,215.81,217.59,329978,918,71800014.09
2010-02-02,MARICO,Marico Bangladesh,Consumer,221.43,225.17,220.93,223.89,761524,3054,170498421.93
2010-02-03,MARICO,Marico Bangladesh,Consumer,219.77,223.91,215.17,219.15,172144,4137,37724830.35
2010-02-04,MARICO,Marico Bangladesh,Consumer,221.76,223.15,218.66,220.43,596222,4559,131427624.02
