date,code,name,sector,open,high,low,close,volume,trade,value
2010-01-01,MUTUALTRUST,Mutual Trust Bank,Bank,353.4,359.89,350.97,354.9,260787,3015,92552958.83
2010-01-04,MUTUALTRUST,Mutual Trust Bank,Bank,359.24,359.75,351.28,355.92,836945,2318,297882549.56
2010-01-05,MUTUALTRUST,Mutual Trust Bank,Bank,357.51,357.68,349.02,355.14,314193,246,111582318.08
2010-01-06,MUTUALTRUST,Mutual Trust Bank,Bank,365.49,368.45,365.06,365.2,625459,4947,228415488.24
2010-01-07,MUTUALTRUST,Mutual Trust Bank,Bank,357.2,359.31,356.18,356.89,764064,1646,272683563.54
2010-01-08,MUTUALTRUST,Mutual Trust Bank,Bank,362.2,362.63,360.79,361.74,187924,279,67979329.75
2010-01-11,MUTUALTRUST,Mutual Trust Bank,Bank,356.89,361.83,354.39,360.23,529829,4174,190861007.68
2010-01-12,MUTUALTRUST,Mutual Trust Bank,Bank,361.4,364.97,355.31,358.98,520910,3707,186994227.45
2010-01-13,MUTUALTRUST,Mutual Trust Bank,Bank,357.56,358.36,356.03,357.63,311563,2333,111423927.39
2010-01-14,MUTUALTRUST,Mutual Trust Bank,Bank,358.09,361.07,356.86,357.93,960441,3945,343766161.43
2010-01-15,MUTUALTRUST,Mutual Trust Bank,Bank,362.92,364.62,357.39,361.84,662317,3655,239650927.47
2010-01-18,MUTUALTRUST,Mutual Trust Bank,Bank,366.0,368.12,358.23,362.51,255822,1940,92737656.75
2010-01-19,MUTUALTRUST,Mutual Trust Bank,Bank,362.04,364.24,352.67,359.7,580090,1094,208659184.59
2010-01-20,MUTUALTRUST,Mutual Trust Bank,Bank,368.14,368.53,360.95,361.07,502320,1327,181374784.5
2010-01-21,MUTUALTRUST,Mutual Trust Bank,Bank,359.55,363.2,352.81,358.53,952859,2482,341630799.63
2010-01-22,MUTUALTRUST,Mutual Trust Bank,Bank,353.47,354.51,346.3,352.1,802651,1861,282613411.26
2010-01-25,MUTUALTRUST,Mutual Trust Bank,Bank,351.98,363.43,351.55,355.88,312593,2950,111245175.14
2010-01-26,MUTUALTRUST,Mutual Trust Bank,Bank,367.17,368.74,365.79,366.02,785736,2859,287594265.88
2010-01-27,MUTUALTRUST,Mutual Trust Bank,Bank,351.19,356.34,350.62,352.52,120640,4909,42527762.09
2010-01-28,MUTUALTRUST,Mutual Trust Bank,Bank,355.53,358.46,347.4,355.32,47202,1833,16772015.76
2010-01-29,MUTUALTRUST,Mutual Trust Bank,Bank,352.69,353.97,352.06,353.08,322813,660,113979029.78
2010-02-01,MUTUALTRUST,Mutual Trust Bank,Bank,356.63,359.37,344.38,351.72,603719,807,212340113.79
2010-02-02,MUTUALTRUST,Mutual Trust Bank,Bank,345.04,347.35,341.91,345.56,140001,1469,48378172.78
2010-02-03,MUTUALTRUST,Mutual Trust Bank,Bank,347.04,347.64,345.62,346.82,286933,2930,99515009.56
2010-02-04,MUTUALTRUST,Mutual Trust Bank,Bank,353.01,358.9,346.75,352.73,624939,3797,220432026.97
2010-02-05,MUTUALTRUST,Mutual Trust Bank,Bank,362.21,362.24,358.49,359.65,603445,4549,217031438.33
2010-02-08,MUTUALTRUST,Mutual Trust Bank,Bank,352.91,361.87,352.57,359.0,441643,996,158550981.05
2010-02-09,MUTUALTRUST,Mutual Trust Bank,Bank,354.37,355.76,351.69,352.61,290529,2931,102443488.64
2010-02-10,MUTUALTRUST,Mutual Trust Bank,Bank,352.21,353.92,344.9,347.34,162344,2963,56388898.88
2010-02-11,MUTUALTRUST,Mutual Trust Bank,Bank,352.29,352.62,345.55,346.57,252084,4249,87365737.66
2010-02-12,MUTUALTRUST,Mutual Trust Bank,Bank,343.83,344.48,337.46,341.6,973530,298,332562121.96
2010-02-15,MUTUALTRUST,Mutual Trust Bank,Bank,345.62,349.0,338.33,343.34,339738,4980,116644850.8
2010-02-16,MUTUALTRUST,Mutual Trust Bank,Bank,335.05,338.38,334.98,337.02,804421,525,271109972.76
2010-02-17,MUTUALTRUST,Mutual Trust Bank,Bank,349.02,352.96,345.16,347.17,617375,1105,214336369.84
2010-02-18,MUTUALTRUST,Mutual Trust Bank,Bank,343.0,347.89,341.84,344.93,203967,4254,70353330.84
2010-02-19,MUTUALTRUST,Mutual Trust Bank,Bank,343.58,345.2,341.43,344.22,820161,1096,282312884.19
2010-02-22,MUTUALTRUST,Mutual Trust Bank,Bank,350.88,351.82,344.83,345.05,569263,4953,196424418.63
2010-02-23,MUTUALTRUST,Mutual Trust Bank,Bank,352.11,352.62,347.87,350.43,495381,2258,173594383.53
2010-02-24,MUTUALTRUST,Mutual Trust Bank,Bank,351.76,353.25,348.81,351.57,516554,3032,181604301.74
2010-02-25,MUTUALTRUST,Mutual Trust Bank,Bank,359.94,360.07,351.45,354.69,242191,2169,85902339.87
2010-02-26,MUTUALTRUST,Mutual Trust Bank,Bank,351.88,354.13,349.53,353.98,783519,360,277350728.72
2010-03-01,MUTUALTRUST,Mutual Trust Bank,Bank,354.12,357.5,352.05,354.42,495244,3066,175525730.57
2010-03-02,MUTUALTRUST,Mutual Trust Bank,Bank,350.27,352.13,350.2,351.7,71616,4156,25187511.79
