date,code,name,sector,open,high,low,close,volume,trade,value
2010-01-01,NCCBANK,NCC Bank,Bank,163.02,163.32,160.77,161.42,654483,1113,105645863.96
2010-01-04,NCCBANK,NCC Bank,Bank,159.01,160.05,158.83,159.66,469536,1762,74966839.12
2010-01-05,NCCBANK,NCC Bank,Bank,157.8,159.48,157.3,159.05,586367,4606,93263727.28
2010-01-06,NCCBANK,NCC Bank,Bank,154.04,155.68,153.9,155.02,716125,2577,111012239.73
2010-01-07,NCCBANK,NCC Bank,Bank,162.38,165.56,162.03,162.68,800969,1345,130304707.25
2010-01-08,NCCBANK,NCC Bank,Bank,158.22,159.36,155.6,157.23,191196,2570,30061523.24
2010-01-11,NCCBANK,NCC Bank,Bank,157.83,159.46,157.68,158.97,838866,1362,133351262.38
2010-01-12,NCCBANK,NCC Bank,Bank,163.58,164.67,162.1,162.28,398791,2754,64716909.32
2010-01-13,NCCBANK,NCC Bank,Bank,162.72,165.44,161.57,163.88,994494,3416,162980673.49
2010-01-14,NCCBANK,NCC Bank,Bank,167.96,168.71,167.06,167.47,424029,2496,71011689.56
2010-01-15,NCCBANK,NCC Bank,Bank,170.55,170.83,167.98,168.93,305635,3892,51630058.02
2010-01-18,NCCBANK,NCC Bank,Bank,170.86,170.96,168.78,169.63,348297,944,59081545.29
2010-01-19,NCCBANK,NCC Bank,Bank,171.81,171.95,170.28,170.78,237966,830,40640329.42
2010-01-20,NCCBANK,NCC Bank,Bank,172.61,173.41,171.77,171.91,381898,2730,65652588.46
2010-01-21,NCCBANK,NCC Bank,Bank,171.09,171.81,170.25,171.5,163281,4662,28003229.76
2010-01-22,NCCBANK,NCC Bank,Bank,173.21,173.76,172.82,173.59,706635,662,122665160.46
2010-01-25,NCCBANK,NCC Bank,Bank,174.67,178.93,173.94,176.55,257583,438,45475743.11
2010-01-26,NCCBANK,NCC Bank,Bank,178.22,181.52,177.27,177.96,471719,2362,83949176.77
2010-01-27,NCCBANK,NCC Bank,Bank,174.62,174.74,173.32,174.24,482241,3548,84027832.55
2010-01-28,NCCBANK,NCC Bank,Bank,176.17,177.15,174.63,175.78,628581,2872,110492595.91
2010-01-29,NCCBANK,NCC Bank,Bank,174.25,175.08,173.07,173.98,523720,4304,91115079.82
2010-02-01,NCCBANK,NCC Bank,Bank,174.89,177.71,173.9,175.03,887528,3626,155342825.82
2010-02-02,NCCBANK,NCC Bank,Bank,175.59,177.54,175.42,176.94,78206,4662,13837896.32
2010-02-03,NCCBANK,NCC Bank,Bank,176.68,178.59,175.18,177.82,707825,2461,125866329.54
2010-02-04,NCCBANK,NCC Bank,Bank,176.41,176.49,175.26,176.29,74202,3513,13081319.52
2010-02-05,NCCBANK,NCC Bank,Bank,174.07,174.49,172.92,173.55,756279,184,131253983.0
2010-02-08,NCCBANK,NCC Bank,Bank,171.96,175.94,171.73,174.28,429026,248,74770316.41
2010-02-09,NCCBANK,NCC Bank,Bank,172.91,173.7,171.69,172.32,712631,266,122798672.57
2010-02-10,NCCBANK,NCC Bank,Bank,173.69,174.04,172.9,173.81,581406,3145,101053294.48
2010-02-11,NCCBANK,NCC Bank,Bank,168.78,169.97,168.7,169.5,523012,2583,88648501.23
2010-02-12,NCCBANK,NCC Bank,Bank,169.57,169.65,168.82,169.49,984150,2992,166803140.15
2010-02-15,NCCBANK,NCC Bank,Bank,170.21,170.68,168.95,169.45,192930,3200,32691372.15
2010-02-16,NCCBANK,NCC Bank,Bank,169.0,170.23,168.8,169.98,87148,3983,14813552.01
2010-02-17,NCCBANK,NCC Bank,Bank,165.92,166.55,164.3,165.66,27290,1312,4520776.01
2010-02-18,NCCBANK,NCC Bank,Bank,166.74,169.54,165.44,166.56,805156,2266,134105783.1
2010-02-19,NCCBANK,NCC Bank,Bank,167.21,167.27,165.62,166.69,757527,543,126270891.75
2010-02-22,NCCBANK,NCC Bank,Bank,161.68,166.38,160.99,163.5,364370,4636,59574397.39
2010-02-23,NCCBANK,NCC Bank,Bank,166.03,166.46,162.73,163.6,957701,2927,156680893.97
2010-02-24,NCCBANK,NCC Bank,Bank,162.99,163.36,162.36,162.6,650996,1397,105854023.22
2010-02-25,NCCBANK,NCC Bank,Bank,164.33,165.88,162.31,165.09,559595,2578,92385903.07
2010-02-26,NCCBANK,NCC Bank,Bank,163.77,165.27,163.14,163.33,811861,1208,132603327.81
2010-03-01,NCCBANK,NCC Bank,Bank,160.09,163.0,160.01,161.31,365270,389,58923360.24
2010-03-02,NCCBANK,NCC Bank,Bank,160.27,161.79,160.03,161.64,734452,949,118714116.7
2010-03-03,NCCBANK,NCC Bank,Bank,164.4,164.55,164.32,164.51,365152,425,60072690.95
2010-03-04,NCCBANK,NCC Bank,Bank,164.9,164.93,159.73,162.75,665876,1274,108373192.78
2010-03-05,NCCBANK,NCC Bank,Bank,161.75,161.76,160.83,161.16,881176,3369,142012888.8
