date,code,name,sector,open,high,low,close,volume,trade,value
2010-01-01,POWERGRID,Power Grid Company,Power,295.83,302.65,293.87,299.6,518735,3029,155410864.14
2010-01-04,POWERGRID,Power Grid Company,Power,294.97,295.08,287.16,293.72,887311,4188,260624076.5
2010-01-05,POWERGRID,Power Grid Company,Power,286.21,292.32,284.7,287.69,136765,4309,39346008.06
2010-01-06,POWERGRID,Power Grid Company,Power,274.9,275.11,271.96,274.88,256154,4519,70412876.66
2010-01-07,POWERGRID,Power Grid Company,Power,277.89,278.25,271.34,275.37,339459,4361,93476533.49
2010-01-08,POWERGRID,Power Grid Company,Power,272.77,282.23,266.71,271.76,909946,3449,247282710.59
2010-01-11,POWERGRID,Power Grid Company,Power,275.88,277.29,274.81,276.07,331488,2771,91512524.68
2010-01-12,POWERGRID,Power Grid Company,Power,285.2,288.4,275.04,281.44,528720,3395,148803207.48
2010-01-13,POWERGRID,Power Grid Company,Power,280.56,285.91,273.6,282.72,902117,3028,255048556.12
2010-01-14,POWERGRID,Power Grid Company,Power,284.92,291.9,283.43,286.49,854507,2403,244810583.69
2010-01-15,POWERGRID,Power Grid Company,Power,275.41,282.55,274.91,278.02,617998,1724,171818158.55
2010-01-18,POWERGRID,Power Grid Company,Power,278.16,286.26,273.69,279.99,736881,2114,206316153.15
2010-01-19,POWERGRID,Power Grid Company,Power,283.87,287.76,281.96,282.13,656297,1184,185161014.27
2010-01-20,POWERGRID,Power Grid Company,Power,304.56,307.25,290.39,298.33,887643,4213,264808658.49
2010-01-21,POWERGRID,Power Grid Company,Power,297.07,304.55,296.46,300.67,967341,2462,290855129.71
2010-01-22,POWERGRID,Power Grid Company,Power,290.36,293.1,289.08,292.58,965989,4845,282628480.23
2010-01-25,POWERGRID,Power Grid Company,Power,286.19,287.05,284.32,285.52,133797,2535,38202030.66
2010-01-26,POWERGRID,Power Grid Company,Power,257.16,263.5,246.3,254.21,738558,4881,187747836.6
2010-01-27,POWERGRID,Power Grid Company,Power,261.68,262.15,254.88,257.03,367895,1396,94561575.2
2010-01-28,POWERGRID,Power Grid Company,Power,257.68,261.62,255.36,257.88,217909,3458,56195444.2
2010-01-29,POWERGRID,Power Grid Company,Power,258.73,267.53,251.57,260.86,362378,2521,94529072.82
2010-02-01,POWERGRID,Power Grid Company,Power,265.1,266.49,260.54,262.43,19845,4034,5207902.71
2010-02-02,POWERGRID,Power Grid Company,Power,262.52,264.63,260.38,261.62,612322,1715,160194326.9
2010-02-03,POWERGRID,Power Grid Company,Power,262.99,263.99,262.36,262.47,993713,4011,260820561.04
2010-02-04,POWERGRID,Power Grid Company,Power,252.9,257.52,252.01,255.25,976885,226,249353918.92
2010-02-05,POWERGRID,Power Grid Company,Power,261.25,263.01,258.17,261.77,83252,1595,21792749.12
2010-02-08,POWERGRID,Power Grid Company,Power,258.21,260.28,254.65,255.85,229443,4421,58702033.96
2010-02-09,POWERGRID,Power Grid Company,Power,258.53,260.6,255.46,258.06,121748,1557,31418472.71
2010-02-10,POWERGRID,Power Grid Company,Power,238.37,250.98,238.02,244.78,465969,2439,114059402.94
2010-02-11,POWERGRID,Power Grid Company,Power,249.45,251.6,242.38,247.05,905257,3288,223645249.11
2010-02-12,POWERGRID,Power Grid Company,Power,236.46,238.41,233.45,233.96,916777,241,214493381.45
2010-02-15,POWERGRID,Power Grid Company,Power,238.88,241.43,230.66,239.57,966342,4234,231510783.64
2010-02-16,POWERGRID,Power Grid Company,Power,228.36,230.57,225.54,229.04,673107,3997,154167386.63
2010-02-17,POWERGRID,Power Grid Company,Power,231.03,232.0,226.49,229.82,965855,1482,221970585.97
2010-02-18,POWERGRID,Power Grid Company,Power,231.63,231.91,230.85,231.7,154065,3299,35697204.48
2010-02-19,POWERGRID,Power Grid Company,Power,235.46,240.08,230.72,235.73,604193,742,142424784.36
2010-02-22,POWERGRID,Power Grid Company,Power,234.23,237.63,229.33,233.91,972407,1473,227451502.97
2010-02-23,POWERGRID,Power Grid Company,Power,232.27,235.64,229.63,232.73,590568,1229,137442170.24
