date,code,name,sector,open,high,low,close,volume,trade,value
2010-01-01,PRIMEBANK,Prime Bank,Bank,317.44,321.4,315.8,319.16,831907,4465,265512156.12
2010-01-04,PRIMEBANK,Prime Bank,Bank,317.3,318.22,316.9,317.33,758424,4741,240669895.17
2010-01-05,PRIMEBANK,Prime Bank,Bank,318.93,321.01,313.79,316.44,956337,3112,302622792.21
2010-01-06,PRIMEBANK,Prime Bank,Bank,312.9,313.6,310.81,312.11,429427,1013,134029066.43
2010-01-07,PRIMEBANK,Prime Bank,Bank,311.64,312.9,310.49,311.27,929988,2235,289480937.81
2010-01-08,PRIMEBANK,Prime Bank,Bank,313.21,314.12,311.61,311.87,216149,2572,67411137.97
2010-01-11,PRIMEBANK,Prime Bank,Bank,311.87,312.53,309.53,310.46,540345,2535,167756640.44
2010-01-12,PRIMEBANK,Prime Bank,Bank,308.14,310.67,307.79,309.53,839357,1586,259809366.35
2010-01-13,PRIMEBANK,Prime Bank,Bank,308.2,310.13,306.8,308.46,69679,3391,21493387.78
2010-01-14,PRIMEBANK,Prime Bank,Bank,315.08,316.74,313.31,315.13,453120,1933,142790094.13
2010-01-15,PRIMEBANK,Prime Bank,Bank,313.83,315.79,312.27,313.16,790346,1886,247507642.3
2010-01-18,PRIMEBANK,Prime Bank,Bank,313.89,314.34,311.51,312.51,627670,4910,196152946.9
2010-01-19,PRIMEBANK,Prime Bank,Bank,311.97,312.83,311.31,311.86,935516,3929,291751146.57
2010-01-20,PRIMEBANK,Prime Bank,Bank,312.01,313.51,308.88,311.35,342222,4345,106550117.75
2010-01-21,PRIMEBANK,Prime Bank,Bank,311.44,312.73,311.27,312.27,709735,3224,221627234.59
2010-01-22,PRIMEBANK,Prime Bank,Bank,301.61,302.24,300.8,301.57,304557,3299,91846010.09
2010-01-25,PRIMEBANK,Prime Bank,Bank,304.4,304.74,300.26,302.62,796995,2523,241188448.15
2010-01-26,PRIMEBANK,Prime Bank,Bank,301.94,302.44,300.26,300.78,164284,1348,49412945.35
