date,code,name,sector,open,high,low,close,volume,trade,value
2010-01-01,RENATA,Renata Ltd,Pharma,472.88,476.89,470.9,475.26,359319,3446,170770320.82
2010-01-04,RENATA,Renata Ltd,Pharma,479.12,486.35,468.37,480.06,151944,343,72942958.63
2010-01-05,RENATA,Renata Ltd,Pharma,486.79,487.34,484.04,486.55,111178,2717,54093197.54
2010-01-06,RENATA,Renata Ltd,Pharma,490.24,490.61,485.06,488.23,637590,2317,311288493.5
2010-01-07,RENATA,Renata Ltd,Pharma,490.99,492.29,489.1,492.14,319539,2125,157256465.1
2010-01-08,RENATA,Renata Ltd,Pharma,495.05,499.71,491.27,495.12,45114,4549,22336712.02
2010-01-11,RENATA,Renata Ltd,Pharma,490.58,493.62,490.37,492.29,690271,290,339812438.84
2010-01-12,RENATA,Renata Ltd,Pharma,495.57,502.42,491.01,499.09,606102,296,302498749.13
2010-01-13,RENATA,Renata Ltd,Pharma,476.2,485.92,475.92,484.46,881437,3895,427020547.88
2010-01-14,RENATA,Renata Ltd,Pharma,480.36,497.16,478.63,489.74,591907,514,289881409.08
2010-01-15,RENATA,Renata Ltd,Pharma,491.55,497.05,491.08,491.1,821591,3101,403481312.79
2010-01-18,RENATA,Renata Ltd,Pharma,501.15,501.94,495.79,499.97,326496,4184,163238349.54
2010-01-19,RENATA,Renata Ltd,Pharma,500.42,503.62,499.57,503.2,812336,4071,408765027.87
2010-01-20,RENATA,Renata Ltd,Pharma,505.3,506.19,505.29,505.93,278062,1223,140679363.1
2010-01-21,RENATA,Renata Ltd,Pharma,493.42,501.97,489.35,497.47,262806,1675,130736910.04
2010-01-22,RENATA,Renata Ltd,Pharma,495.48,497.57,487.95,495.91,256902,1304,127399371.91
2010-01-25,RENATA,Renata Ltd,Pharma,501.47,502.06,496.25,501.04,257113,963,128825015.01
2010-01-26,RENATA,Renata Ltd,Pharma,493.43,495.78,481.67,484.72,741640,3895,359485990.4
2010-01-27,RENATA,Renata Ltd,Pharma,496.4,502.74,483.94,493.76,586230,2821,289457669.85
2010-01-28,RENATA,Renata Ltd,Pharma,492.01,496.83,487.91,491.91,770362,3822,378948164.21
2010-01-29,RENATA,Renata Ltd,Pharma,506.29,509.34,500.03,504.25,230882,237,116422103.48
2010-02-01,RENATA,Renata Ltd,Pharma,506.78,508.98,506.71,506.78,852008,4616,431781355.13
2010-02-02,RENATA,Renata Ltd,Pharma,497.78,501.76,482.05,492.4,487726,4108,240156612.31
2010-02-03,RENATA,Renata Ltd,Pharma,486.22,497.96,484.35,490.15,573708,238,281203517.55
2010-02-04,RENATA,Renata Ltd,Pharma,485.02,486.69,471.53,480.28,272711,105,130976281.02
2010-02-05,RENATA,Renata Ltd,Pharma,488.23,495.74,481.44,484.61,966521,3279,468389565.75
2010-02-08,RENATA,Renata Ltd,Pharma,490.19,491.77,489.54,491.74,166939,3905,82090824.95
2010-02-09,RENATA,Renata Ltd,Pharma,487.0,494.32,480.62,487.16,100050,3415,48740458.86
2010-02-10,RENATA,Renata Ltd,Pharma,489.09,491.43,484.65,488.63,250494,587,122397782.72
2010-02-11,RENATA,Renata Ltd,Pharma,500.95,505.83,500.81,502.07,721244,1169,362112529.04
2010-02-12,RENATA,Renata Ltd,Pharma,499.51,516.11,498.93,509.8,637208,3161,324847037.5
2010-02-15,RENATA,Renata Ltd,Pharma,523.85,525.03,502.6,513.1,574220,1808,294629639.63
2010-02-16,RENATA,Renata Ltd,Pharma,519.17,521.94,516.84,520.39,229294,2384,119321617.33
2010-02-17,RENATA,Renata Ltd,Pharma,524.33,526.67,512.49,518.05,985818,4548,510703611.02
2010-02-18,RENATA,Renata Ltd,Pharma,496.24,500.58,493.02,498.07,599783,2065,298733532.54
2010-02-19,RENATA,Renata Ltd,Pharma,503.74,506.08,500.03,502.18,98474,3951,49451484.08
2010-02-22,RENATA,Renata Ltd,Pharma,505.46,509.75,500.55,502.31,482997,3498,242614522.25
2010-02-23,RENATA,Renata Ltd,Pharma,515.44,516.81,514.87,516.17,126538,1522,65315171.15
2010-02-24,RENATA,Renata Ltd,Pharma,523.13,525.5,517.06,521.95,862878,2685,450378489.46
2010-02-25,RENATA,Renata Ltd,Pharma,518.46,525.68,517.33,525.12,253388,889,133059969.01
2010-02-26,RENATA,Renata Ltd,Pharma,537.83,538.12,537.4,537.89,553483,3554,297713534.36
2010-03-01,RENATA,Renata Ltd,Pharma,537.4,540.9,535.45,536.83,909454,1912,488222345.54
2010-03-02,RENATA,Renata Ltd,Pharma,541.33,541.91,537.63,537.89,867403,4111,466564554.14
2010-03-03,RENATA,Renata Ltd,Pharma,531.19,533.46,516.03,526.38,302536,1161,159249280.08
2010-03-04,RENATA,Renata Ltd,Pharma,522.84,522.99,521.97,522.36,739740,1124,386411838.83
2010-03-05,RENATA,Renata Ltd,Pharma,521.03,526.54,514.02,518.61,450846,4406,233813403.14
2010-03-08,RENATA,Renata Ltd,Pharma,523.31,528.87,521.94,525.35,258027,2449,135554300.32
2010-03-09,RENATA,Renata Ltd,Pharma,536.34,537.99,526.84,527.25,588561,1488,310317514.6
2010-03-10,RENATA,Renata Ltd,Pharma,535.42,535.69,528.49,531.42,810337,1415,430626253.95
2010-03-11,RENATA,Renata Ltd,Pharma,532.93,536.47,524.39,533.4,23762,2704,12674615.25
2010-03-12,RENATA,Renata Ltd,Pharma,536.75,537.2,529.91,535.39,822396,2399,440299623.12
2010-03-15,RENATA,Renata Ltd,Pharma,530.76,539.29,529.64,534.19,410355,168,219208597.74
2010-03-16,RENATA,Renata Ltd,Pharma,512.81,527.74,512.48,519.94,509555,4076,264936892.64
2010-03-17,RENATA,Renata Ltd,Pharma,528.1,529.34,526.77,528.92,84841,2946,44874081.64
2010-03-18,RENATA,Renata Ltd,Pharma,514.09,522.02,514.04,517.25,903054,2409,467102374.96
2010-03-19,RENATA,Renata Ltd,Pharma,513.74,519.13,513.47,519.05,371407,1841,192777620.05
2010-03-22,RENATA,Renata Ltd,Pharma,508.19,508.77,505.84,508.66,269758,1685,137215293.06
2010-03-23,RENATA,Renata Ltd,Pharma,508.7,511.98,505.27,508.94,279810,867,142405238.9
2010-03-24,RENATA,Renata Ltd,Pharma,513.99,515.38,508.68,512.71,456854,2517,234234328.17
2010-03-25,RENATA,Renata Ltd,Pharma,506.68,510.6,502.3,508.76,627369,4779,319178417.92
2010-03-26,RENATA,Renata Ltd,Pharma,495.67,497.73,495.33,497.11,701859,788,348902847.03
2010-03-29,RENATA,Renata Ltd,Pharma,501.6,502.73,496.13,496.28,192168,4316,95370095.04
