date,code,name,sector,open,high,low,close,volume,trade,value
2010-01-01,SIBL,Social Islami Bank,Bank,413.72,422.95,408.96,411.82,752161,1952,309756046.85
2010-01-04,SIBL,Social Islami Bank,Bank,416.92,421.57,412.34,415.08,705555,891,292859831.95
2010-01-05,SIBL,Social Islami Bank,Bank,413.28,420.49,409.76,417.97,262017,173,109515360.49
2010-01-06,SIBL,Social Islami Bank,Bank,399.07,406.85,399.03,402.24,102484,279,41223251.47
2010-01-07,SIBL,Social Islami Bank,Bank,392.74,394.46,388.78,393.29,292535,1728,115051089.62
2010-01-08,SIBL,Social Islami Bank,Bank,404.66,406.22,398.42,400.77,328777,1487,131763828.63
2010-01-11,SIBL,Social Islami Bank,Bank,402.45,407.49,392.75,401.96,775621,2105,311765811.96
2010-01-12,SIBL,Social Islami Bank,Bank,392.72,397.89,388.55,396.68,658146,3382,261075412.09
2010-01-13,SIBL,Social Islami Bank,Bank,392.17,396.97,391.5,394.02,304213,2310,119864667.79
2010-01-14,SIBL,Social Islami Bank,Bank,406.57,409.74,400.02,403.26,854781,617,344702900.86
2010-01-15,SIBL,Social Islami Bank,Bank,393.53,393.8,388.83,390.22,890721,1110,347581163.36
2010-01-18,SIBL,Social Islami Bank,Bank,384.24,389.24,379.09,385.85,536763,3547,207108693.65
2010-01-19,SIBL,Social Islami Bank,Bank,390.39,397.52,389.29,391.51,944249,1233,369685915.83
2010-01-20,SIBL,Social Islami Bank,Bank,379.82,380.01,375.53,379.62,66583,2960,25276379.86
2010-01-21,SIBL,Social Islami Bank,Bank,352.74,353.98,345.52,349.63,307979,4282,107679937.29
2010-01-22,SIBL,Social Islami Bank,Bank,353.35,354.21,349.11,353.38,621886,4959,219760568.97
2010-01-25,SIBL,Social Islami Bank,Bank,349.03,352.4,341.43,349.52,222238,2450,77675743.74
2010-01-26,SIBL,Social Islami Bank,Bank,351.55,356.77,348.17,353.32,872039,2176,308112156.96
2010-01-27,SIBL,Social Islami Bank,Bank,351.33,354.05,347.05,354.01,626157,2719,221662865.22
