date,code,name,sector,open,high,low,close,volume,trade,value
2010-01-01,SQURPHARMA,Square Pharmaceuticals,Pharma,426.72,426.74,422.25,423.69,660471,257,279837667.63
2010-01-04,SQURPHARMA,Square Pharmaceuticals,Pharma,433.9,434.39,429.71,432.54,830765,4121,359341896.88
2010-01-05,SQURPHARMA,Square Pharmaceuticals,Pharma,434.3,436.75,433.0,435.33,561827,4037,244578731.82
2010-01-06,SQURPHARMA,Square Pharmaceuticals,Pharma,433.8,436.16,422.35,429.73,118951,2130,51117316.23
2010-01-07,SQURPHARMA,Square Pharmaceuticals,Pharma,418.87,421.33,417.5,420.85,933977,4964,393063050.74
2010-01-08,SQURPHARMA,Square Pharmaceuticals,Pharma,422.54,425.15,419.82,424.24,69458,1643,29466991.78
2010-01-11,SQURPHARMA,Square Pharmaceuticals,Pharma,425.15,427.83,424.15,427.61,89165,1312,38127898.4
2010-01-12,SQURPHARMA,Square Pharmaceuticals,Pharma,420.84,422.33,417.56,418.64,393890,1021,164897988.68
2010-01-13,SQURPHARMA,Square Pharmaceuticals,Pharma,413.59,417.8,412.29,414.3,55427,4064,22963432.76
2010-01-14,SQURPHARMA,Square Pharmaceuticals,Pharma,416.08,417.57,409.54,412.01,571039,3569,235274226.83
2010-01-15,SQURPHARMA,Square Pharmaceuticals,Pharma,414.28,416.62,413.58,416.4,663749,3464,276386934.51
2010-01-18,SQURPHARMA,Square Pharmaceuticals,Pharma,414.79,416.69,412.65,413.35,827216,2305,341928554.69
2010-01-19,SQURPHARMA,Square Pharmaceuticals,Pharma,424.48,424.68,419.52,422.47,348726,3393,147326894.51
2010-01-20,SQURPHARMA,Square Pharmaceuticals,Pharma,415.68,419.07,415.13,416.72,747582,565,311532535.19
2010-01-21,SQURPHARMA,Square Pharmaceuticals,Pharma,432.66,434.06,427.46,427.92,222975,1118,95416386.84
2010-01-22,SQURPHARMA,Square Pharmaceuticals,Pharma,432.36,432.78,429.86,431.11,832294,1596,358807710.57
2010-01-25,SQURPHARMA,Square Pharmaceuticals,Pharma,439.56,440.57,433.7,434.5,150694,1353,65477234.08
2010-01-26,SQURPHARMA,Square Pharmaceuticals,Pharma,428.84,434.07,428.15,433.45,213599,2176,92584724.84
2010-01-27,SQURPHARMA,Square Pharmaceuticals,Pharma,446.2,448.72,439.81,443.5,418800,2584,185739597.42
2010-01-28,SQURPHARMA,Square Pharmaceuticals,Pharma,439.95,443.05,438.6,439.3,787775,2284,346065979.27
2010-01-29,SQURPHARMA,Square Pharmaceuticals,Pharma,438.56,440.19,432.21,438.47,831737,3284,364692366.13
2010-02-01,SQURPHARMA,Square Pharmaceuticals,Pharma,432.73,435.95,430.45,434.87,923064,501,401412326.88
2010-02-02,SQURPHARMA,Square Pharmaceuticals,Pharma,436.68,437.88,436.39,437.35,928374,420,406026393.91
2010-02-03,SQURPHARMA,Square Pharmaceuticals,Pharma,433.42,436.3,430.41,434.73,471348,3492,204909837.17
2010-02-04,SQURPHARMA,Square Pharmaceuticals,Pharma,439.18,439.91,435.49,439.09,394614,2388,173269329.7
2010-02-05,SQURPHARMA,Square Pharmaceuticals,Pharma,439.23,443.97,437.4,442.32,709917,1699,314013119.05
