date,code,name,sector,open,high,low,close,volume,trade,value
2010-01-01,SUMITPOWER,Summit Power,Power,306.02,318.41,305.23,309.81,322701,1061,99975511.63
2010-01-04,SUMITPOWER,Summit Power,Power,335.78,342.95,335.61,336.35,404700,1453,136122483.48
2010-01-05,SUMITPOWER,Summit Power,Power,344.2,345.01,337.57,338.09,84507,4040,28570635.55
2010-01-06,SUMITPOWER,Summit Power,Power,345.72,348.42,339.92,346.66,285143,1084,98846968.78
2010-01-07,SUMITPOWER,Summit Power,Power,335.31,336.28,328.3,333.63,409952,1689,136770916.16
2010-01-08,SUMITPOWER,Summit Power,Power,326.77,329.74,318.32,323.24,266838,536,86252434.13
2010-01-11,SUMITPOWER,Summit Power,Power,339.62,340.89,331.49,334.28,527691,2557,176394865.42
2010-01-12,SUMITPOWER,Summit Power,Power,318.1,322.73,313.25,319.58,550465,465,175916869.51
2010-01-13,SUMITPOWER,Summit Power,Power,326.81,347.51,321.87,335.37,994674,988,333587640.63
2010-01-14,SUMITPOWER,Summit Power,Power,327.26,327.9,326.02,326.19,984970,918,321288567.15
2010-01-15,SUMITPOWER,Summit Power,Power,325.89,328.06,321.65,322.69,918343,3436,296340663.55
2010-01-18,SUMITPOWER,Summit Power,Power,322.55,323.02,320.26,321.11,511864,4104,164364419.14
2010-01-19,SUMITPOWER,Summit Power,Power,303.43,306.12,301.75,303.73,841032,4050,255450461.5
2010-01-20,SUMITPOWER,Summit Power,Power,276.42,281.56,274.25,280.6,527887,2363,148126634.71
2010-01-21,SUMITPOWER,Summit Power,Power,270.4,273.95,269.88,273.02,171783,4120,46899620.48
2010-01-22,SUMITPOWER,Summit Power,Power,268.58,278.05,266.67,272.03,109848,4999,29882381.91
2010-01-25,SUMITPOWER,Summit Power,Power,263.92,269.88,263.24,266.84,912768,1313,243560930.88
2010-01-26,SUMITPOWER,Summit Power,Power,262.53,262.9,261.28,262.12,381505,1444,100001166.22
2010-01-27,SUMITPOWER,Summit Power,Power,259.22,261.14,258.23,259.79,542001,3634,140804778.12
2010-01-28,SUMITPOWER,Summit Power,Power,264.8,265.4,259.6,263.21,843702,326,222072918.41
2010-01-29,SUMITPOWER,Summit Power,Power,255.63,257.57,254.93,255.39,750073,311,191558239.88
2010-02-01,SUMITPOWER,Summit Power,Power,251.8,259.91,249.0,253.82,732851,4680,186012185.73
2010-02-02,SUMITPOWER,Summit Power,Power,244.84,247.59,243.14,246.79,320162,1726,79011327.22
2010-02-03,SUMITPOWER,Summit Power,Power,254.88,255.16,245.73,246.85,37241,150,9193070.4
2010-02-04,SUMITPOWER,Summit Power,Power,255.28,260.07,249.98,253.77,512893,149,130157155.24
2010-02-05,SUMITPOWER,Summit Power,Power,251.74,255.8,247.6,251.74,572702,3156,144170831.33
