date,code,name,sector,open,high,low,close,volume,trade,value
2010-01-01,TITASGAS,Titas Gas,Gas,433.73,435.49,429.17,429.7,100230,3233,43068853.89
2010-01-04,TITASGAS,Titas Gas,Gas,440.23,443.56,437.74,440.02,789919,4085,347578900.25
2010-01-05,TITASGAS,Titas Gas,Gas,451.46,454.56,449.8,451.47,145751,3730,65801850.33
2010-01-06,TITASGAS,Titas Gas,Gas,447.36,450.14,440.32,448.58,627295,1576,281394996.59
2010-01-07,TITASGAS,Titas Gas,Gas,453.77,454.53,445.71,451.8,687426,302,310577385.31
2010-01-08,TITASGAS,Titas Gas,Gas,435.63,442.0,434.52,438.66,385939,1546,169295933.66
2010-01-11,TITASGAS,Titas Gas,Gas,432.47,441.33,431.48,439.36,911880,4316,400644678.33
2010-01-12,TITASGAS,Titas Gas,Gas,445.44,447.43,439.32,442.18,90904,1731,40195898.41
2010-01-13,TITASGAS,Titas Gas,Gas,439.4,440.31,433.58,438.17,720443,4454,315675852.63
2010-01-14,TITASGAS,Titas Gas,Gas,434.25,441.9,431.06,435.03,92107,1030,40068989.42
2010-01-15,TITASGAS,Titas Gas,Gas,446.06,449.19,445.43,446.25,863471,1897,385321874.4
2010-01-18,TITASGAS,Titas Gas,Gas,445.37,445.61,437.84,442.24,308900,4725,136607606.12
2010-01-19,TITASGAS,Titas Gas,Gas,447.09,453.63,445.48,451.6,262062,3718,118346366.05
2010-01-20,TITASGAS,Titas Gas,Gas,455.12,456.45,452.93,456.1,190572,1883,86920317.14
2010-01-21,TITASGAS,Titas Gas,Gas,455.13,458.52,454.42,457.94,760566,659,348292531.15
2010-01-22,TITASGAS,Titas Gas,Gas,473.68,475.2,472.54,474.12,595226,4236,282210650.34
2010-01-25,TITASGAS,Titas Gas,Gas,471.88,471.89,467.08,470.92,319517,2484,150466455.45
2010-01-26,TITASGAS,Titas Gas,Gas,473.77,477.99,473.54,475.52,204156,2875,97080051.06
2010-01-27,TITASGAS,Titas Gas,Gas,475.09,477.96,472.38,474.99,437946,4023,208020088.41
2010-01-28,TITASGAS,Titas Gas,Gas,472.51,474.9,463.15,469.21,846106,4131,397005620.18
2010-01-29,TITASGAS,Titas Gas,Gas,471.62,476.56,470.4,475.12,901932,166,428527240.38
2010-02-01,TITASGAS,Titas Gas,Gas,479.83,482.48,473.84,478.56,125133,3075,59883570.21
2010-02-02,TITASGAS,Titas Gas,Gas,495.01,495.54,478.57,487.05,311006,1730,151476151.26
2010-02-03,TITASGAS,Titas Gas,Gas,474.47,481.49,473.27,478.29,64133,3323,30674222.29
2010-02-04,TITASGAS,Titas Gas,Gas,472.79,477.96,470.67,476.3,866488,967,412707349.6
2010-02-05,TITASGAS,Titas Gas,Gas,478.03,479.3,470.74,475.14,878132,4882,417234589.52
2010-02-08,TITASGAS,Titas Gas,Gas,478.66,483.11,478.42,479.82,273785,2614,131367368.85
