date,code,name,sector,open,high,low,close,volume,trade,value
2010-01-01,UNILEVER,Unilever Bangladesh,Consumer,396.93,397.89,388.88,391.92,407136,4808,159563365.09
2010-01-04,UNILEVER,Unilever Bangladesh,Consumer,385.93,386.68,384.71,385.97,631259,4482,243648829.49
2010-01-05,UNILEVER,Unilever Bangladesh,Consumer,385.44,387.95,382.47,382.83,519652,3656,198939738.39
2010-01-06,UNILEVER,Unilever Bangladesh,Consumer,380.96,386.59,377.34,380.79,173540,3575,66082107.62
2010-01-07,UNILEVER,Unilever Bangladesh,Consumer,389.06,394.03,385.77,391.12,779683,4122,304952366.49
2010-01-08,UNILEVER,Unilever Bangladesh,Consumer,383.96,396.67,383.76,392.26,596870,665,234126312.65
2010-01-11,UNILEVER,Unilever Bangladesh,Consumer,379.38,386.01,377.05,383.91,935238,3535,359043213.96
2010-01-12,UNILEVER,Unilever Bangladesh,Consumer,375.55,377.76,371.73,376.81,354601,334,133617309.19
2010-01-13,UNILEVER,Unilever Bangladesh,Consumer,373.82,377.14,368.51,372.79,902338,4120,336384385.98
2010-01-14,UNILEVER,Unilever Bangladesh,Consumer,364.92,365.58,356.38,362.09,772268,433,279628562.67
2010-01-15,UNILEVER,Unilever Bangladesh,Consumer,357.81,362.94,357.77,362.58,311797,2624,113052482.9
2010-01-18,UNILEVER,Unilever Bangladesh,Consumer,369.16,373.75,367.79,368.98,377082,3460,139134919.61
2010-01-19,UNILEVER,Unilever Bangladesh,Consumer,353.52,359.44,352.29,359.35,171240,3806,61534476.67
2010-01-20,UNILEVER,Unilever Bangladesh,Consumer,344.06,346.78,338.81,343.18,618829,3925,212370721.12
2010-01-21,UNILEVER,Unilever Bangladesh,Consumer,362.52,372.51,355.9,362.67,511973,2869,185678379.35
2010-01-22,UNILEVER,Unilever Bangladesh,Consumer,358.97,363.16,350.77,353.82,456654,3165,161571813.94
2010-01-25,UNILEVER,Unilever Bangladesh,Consumer,349.91,355.43,349.84,354.63,469179,620,166384151.73
2010-01-26,UNILEVER,Unilever Bangladesh,Consumer,348.86,349.53,342.05,343.38,186370,4099,63996156.56
2010-01-27,UNILEVER,Unilever Bangladesh,Consumer,339.72,343.75,335.86,337.85,807236,3154,272724945.6
2010-01-28,UNILEVER,Unilever Bangladesh,Consumer,322.53,324.1,321.52,323.22,451284,2173,145863156.14
2010-01-29,UNILEVER,Unilever Bangladesh,Consumer,319.78,321.21,318.78,318.81,766927,4994,244505228.98
2010-02-01,UNILEVER,Unilever Bangladesh,Consumer,308.48,311.55,302.18,309.07,126400,3589,39066812.95
2010-02-02,UNILEVER,Unilever Bangladesh,Consumer,305.51,312.93,305.43,309.23,804595,466,248808215.77
2010-02-03,UNILEVER,Unilever Bangladesh,Consumer,300.12,306.46,299.63,305.37,61416,1122,18754410.67
2010-02-04,UNILEVER,Unilever Bangladesh,Consumer,293.06,302.75,290.59,298.8,199491,438,59608503.14
2010-02-05,UNILEVER,Unilever Bangladesh,Consumer,296.29,299.68,291.4,295.41,862703,236,254852189.1
2010-02-08,UNILEVER,Unilever Bangladesh,Consumer,292.06,292.54,290.45,291.61,902402,889,263148856.17
2010-02-09,UNILEVER,Unilever Bangladesh,Consumer,293.03,295.48,292.52,294.44,357256,620,105189822.29
2010-02-10,UNILEVER,Unilever Bangladesh,Consumer,285.64,295.1,281.95,288.58,16217,3677,4679918.82
2010-02-11,UNILEVER,Unilever Bangladesh,Consumer,289.78,290.98,284.52,287.39,531681,1354,152797684.57
2010-02-12,UNILEVER,Unilever Bangladesh,Consumer,297.34,301.28,295.57,299.54,322082,2693,96477094.06
2010-02-15,UNILEVER,Unilever Bangladesh,Consumer,305.36,312.14,303.01,305.74,499554,635,152733688.67
2010-02-16,UNILEVER,Unilever Bangladesh,Consumer,310.22,310.6,304.43,307.42,290579,3551,89329136.94
2010-02-17,UNILEVER,Unilever Bangladesh,Consumer,298.6,306.21,296.43,303.53,712250,2179,216191965.58
2010-02-18,UNILEVER,Unilever Bangladesh,Consumer,312.14,316.2,310.5,314.12,205213,3002,64461061.83
2010-02-19,UNILEVER,Unilever Bangladesh,Consumer,313.08,314.47,309.45,311.58,730961,4986,227749495.72
2010-02-22,UNILEVER,Unilever Bangladesh,Consumer,309.44,311.14,309.11,310.39,137766,2532,42760877.02
2010-02-23,UNILEVER,Unilever Bangladesh,Consumer,320.14,324.56,319.25,320.92,198546,3014,63716504.28
2010-02-24,UNILEVER,Unilever Bangladesh,Consumer,316.87,325.14,315.44,324.85,244864,2023,79543297.5
2010-02-25,UNILEVER,Unilever Bangladesh,Consumer,325.91,326.95,316.0,320.94,134555,3981,43184058.91
