date,code,name,sector,open,high,low,close,volume,trade,value
2010-01-01,WALTONHIL,Walton Hi-Tech Industries,Electronics,212.79,217.0,212.04,214.43,966723,3945,207296074.03
2010-01-04,WALTONHIL,Walton Hi-Tech Industries,Electronics,212.84,218.68,211.11,214.56,478889,2240,102751058.49
2010-01-05,WALTONHIL,Walton Hi-Tech Industries,Electronics,210.66,210.86,207.06,208.93,140747,2071,29405976.58
2010-01-06,WALTONHIL,Walton Hi-Tech Industries,Electronics,213.12,216.18,212.32,212.63,691599,1161,147055986.61
2010-01-07,WALTONHIL,Walton Hi-Tech Industries,Electronics,209.34,210.56,206.85,210.55,795238,1766,167440774.68
2010-01-08,WALTONHIL,Walton Hi-Tech Industries,Electronics,208.48,213.11,204.85,209.08,812824,2093,169947003.1
2010-01-11,WALTONHIL,Walton Hi-Tech Industries,Electronics,209.13,210.87,208.45,210.31,331256,998,69666354.63
2010-01-12,WALTONHIL,Walton Hi-Tech Industries,Electronics,210.41,211.26,208.14,209.64,564114,4437,118259783.66
2010-01-13,WALTONHIL,Walton Hi-Tech Industries,Electronics,206.88,207.87,206.24,206.73,344014,2644,71119602.83
2010-01-14,WALTONHIL,Walton Hi-Tech Industries,Electronics,206.61,210.24,205.65,207.32,656421,2319,136088775.66
2010-01-15,WALTONHIL,Walton Hi-Tech Industries,Electronics,203.22,207.28,202.45,203.12,915799,3093,186013979.96
2010-01-18,WALTONHIL,Walton Hi-Tech Industries,Electronics,203.67,204.03,198.41,201.76,19682,2235,3971045.4
2010-01-19,WALTONHIL,Walton Hi-Tech Industries,Electronics,195.19,196.86,192.88,196.49,577716,3503,113512986.22
2010-01-20,WALTONHIL,Walton Hi-Tech Industries,Electronics,199.3,203.24,196.55,198.87,306880,1877,61029501.04
2010-01-21,WALTONHIL,Walton Hi-Tech Industries,Electronics,199.11,200.4,198.8,200.19,923968,2192,184972584.85
2010-01-22,WALTONHIL,Walton Hi-Tech Industries,Electronics,200.88,204.17,200.16,202.1,286660,730,57932651.39
2010-01-25,WALTONHIL,Walton Hi-Tech Industries,Electronics,198.64,200.07,195.99,198.05,219721,488,43515586.66
2010-01-26,WALTONHIL,Walton Hi-Tech Industries,Electronics,195.94,200.68,195.11,196.99,284266,494,55997556.28
2010-01-27,WALTONHIL,Walton Hi-Tech Industries,Electronics,197.18,197.97,196.36,197.64,669793,3896,132376678.65
2010-01-28,WALTONHIL,Walton Hi-Tech Industries,Electronics,193.27,195.82,192.75,194.33,975599,3481,189584292.37
2010-01-29,WALTONHIL,Walton Hi-Tech Industries,Electronics,195.36,197.68,195.27,196.84,887507,1906,174695948.84
2010-02-01,WALTONHIL,Walton Hi-Tech Industries,Electronics,193.78,195.2,192.53,194.2,132857,3771,25801326.34
2010-02-02,WALTONHIL,Walton Hi-Tech Industries,Electronics,193.76,194.96,192.83,193.87,36687,987,7112613.82
2010-02-03,WALTONHIL,Walton Hi-Tech Industries,Electronics,192.51,195.7,189.77,193.06,254476,1539,49128312.75
2010-02-04,WALTONHIL,Walton Hi-Tech Industries,Electronics,190.74,192.35,190.43,191.33,487992,1872,93365485.36
2010-02-05,WALTONHIL,Walton Hi-Tech Industries,Electronics,188.06,188.55,185.48,187.54,52864,4802,9913945.17
2010-02-08,WALTONHIL,Walton Hi-Tech Industries,Electronics,186.05,186.37,183.01,184.98,11738,4229,2171309.3
2010-02-09,WALTONHIL,Walton Hi-Tech Industries,Electronics,190.44,191.09,184.14,187.06,924231,718,172885882.26
2010-02-10,WALTONHIL,Walton Hi-Tech Industries,Electronics,192.16,195.47,188.42,192.07,429522,1512,82500436.55
2010-02-11,WALTONHIL,Walton Hi-Tech Industries,Electronics,192.23,194.48,191.77,193.26,531711,3602,102756994.84
2010-02-12,WALTONHIL,Walton Hi-Tech Industries,Electronics,190.45,192.68,190.42,192.48,983838,4259,189369813.94
2010-02-15,WALTONHIL,Walton Hi-Tech Industries,Electronics,193.57,194.07,190.38,191.82,494671,4891,94889483.15
2010-02-16,WALTONHIL,Walton Hi-Tech Industries,Electronics,192.32,193.84,191.87,192.81,398028,1326,76742237.07
2010-02-17,WALTONHIL,Walton Hi-Tech Industries,Electronics,193.75,194.5,192.87,193.45,658202,3186,127329478.99
2010-02-18,WALTONHIL,Walton Hi-Tech Industries,Electronics,196.27,196.4,193.02,194.45,42956,4650,8352680.59
2010-02-19,WALTONHIL,Walton Hi-Tech Industries,Electronics,193.91,195.9,191.79,193.16,71082,3039,13730245.11
2010-02-22,WALTONHIL,Walton Hi-Tech Industries,Electronics,188.31,188.71,187.92,188.14,374428,4506,70446009.16
2010-02-23,WALTONHIL,Walton Hi-Tech Industries,Electronics,184.24,187.98,183.62,186.14,237400,4842,44189559.27
2010-02-24,WALTONHIL,Walton Hi-Tech Industries,Electronics,178.24,180.51,177.59,179.9,670459,3116,120614876.1
2010-02-25,WALTONHIL,Walton Hi-Tech Industries,Electronics,183.44,184.62,177.64,181.48,778978,226,141368456.3
2010-02-26,WALTONHIL,Walton Hi-Tech Industries,Electronics,185.68,187.09,184.11,185.68,739489,4740,137306845.53
2010-03-01,WALTONHIL,Walton Hi-Tech Industries,Electronics,178.91,180.53,177.76,178.72,134079,2642,23962156.69
2010-03-02,WALTONHIL,Walton Hi-Tech Industries,Electronics,176.73,178.03,175.55,176.15,16952,1981,2986105.72
2010-03-03,WALTONHIL,Walton Hi-Tech Industries,Electronics,175.61,176.71,175.33,176.33,312107,3082,55033981.5
2010-03-04,WALTONHIL,Walton Hi-Tech Industries,Electronics,176.12,177.86,175.65,177.01,269685,711,47737654.17
2010-03-05,WALTONHIL,Walton Hi-Tech Industries,Electronics,176.28,176.3,175.37,176.06,359299,1947,63257671.53
2010-03-08,WALTONHIL,Walton Hi-Tech Industries,Electronics,175.76,175.82,172.87,173.23,391211,2189,67769932.72
2010-03-09,WALTONHIL,Walton Hi-Tech Industries,Electronics,176.36,176.87,176.01,176.31,494879,1901,87250177.44
2010-03-10,WALTONHIL,Walton Hi-Tech Industries,Electronics,176.13,179.74,174.44,177.7,187563,2715,33329112.45
2010-03-11,WALTONHIL,Walton Hi-Tech Industries,Electronics,177.56,179.51,175.51,177.2,474073,4482,84007305.42
2010-03-12,WALTONHIL,Walton Hi-Tech Industries,Electronics,173.43,173.53,172.41,172.99,845160,4460,146204089.58
2010-03-15,WALTONHIL,Walton Hi-Tech Industries,Electronics,172.17,175.01,170.78,173.97,249922,4552,43479805.01
2010-03-16,WALTONHIL,Walton Hi-Tech Industries,Electronics,172.41,172.73,171.81,172.24,367287,3558,63260441.54
