code,name,sector,records,date_from,date_to,avg_close,last_close,file_size_kb
GP,Grameenphone Ltd,Telecom,4335,2010-01-01,2026-08-13,270.68,198.22,384.71
BATBC,British American Tobacco Bangladesh,Tobacco,4335,2010-01-01,2026-08-13,315.42,387.53,478.08
SQURPHARMA,Square Pharmaceuticals,Pharma,4335,2010-01-01,2026-08-13,1281.72,2193.85,453.07
BRACBANK,BRAC Bank Ltd,Bank,4335,2010-01-01,2026-08-13,102.46,138.94,372.39
WALTONHIL,Walton Hi-Tech Industries,Electronics,4335,2010-01-01,2026-08-13,188.89,419.53,467.79
RENATA,Renata Ltd,Pharma,4335,2010-01-01,2026-08-13,209.43,186.23,370.77
BEXIMCO,Beximco Ltd,Conglomerate,4335,2010-01-01,2026-08-13,39.13,66.89,385.14
ISLAMI BANK,Islami Bank Bangladesh,Bank,4335,2010-01-01,2026-08-13,15.63,5.92,401.44
DBBL,Dutch-Bangla Bank,Bank,4335,2010-01-01,2026-08-13,455.72,217.08,385.48
DSEX,DSE Broad Index,Index,4335,2010-01-01,2026-08-13,303.83,330.68,380.7
POWERGRID,Power Grid Company,Power,4335,2010-01-01,2026-08-13,190.12,87.09,408.14
TITASGAS,Titas Gas,Gas,4335,2010-01-01,2026-08-13,306.23,215.19,363.01
SUMITPOWER,Summit Power,Power,4335,2010-01-01,2026-08-13,98.79,147.91,380.72
JAMUNAOIL,Jamuna Oil Company,Fuel,4335,2010-01-01,2026-08-13,348.75,394.56,410.43
BANKASIA,Bank Asia Ltd,Bank,4335,2010-01-01,2026-08-13,158.5,140.37,377.19
EBL,Eastern Bank Ltd,Bank,4335,2010-01-01,2026-08-13,197.62,20.99,368.52
DUTCHBANGL,Dutch-Bangla Bank,Bank,4335,2010-01-01,2026-08-13,561.61,954.82,412.68
BSCCL,Bangladesh Submarine Cable,Telecom,4335,2010-01-01,2026-08-13,143.33,86.03,434.7
ROBI,Robi Axiata,Telecom,4335,2010-01-01,2026-08-13,92.11,30.74,359.12
ACI,Advanced Chemical Industries,Pharma,4335,2010-01-01,2026-08-13,503.75,806.24,436.35
BEXPHARMA,Beximco Pharmaceuticals,Pharma,4335,2010-01-01,2026-08-13,159.44,173.74,436.19
MARICO,Marico Bangladesh,Consumer,4335,2010-01-01,2026-08-13,725.47,1752.18,415.52
UNILEVER,Unilever Bangladesh,Consumer,4335,2010-01-01,2026-08-13,180.56,80.56,419.07
HEIDELBCEM,Heidelberg Cement,Cement,4335,2010-01-01,2026-08-13,243.89,137.61,417.38
LAFARGECEM,LafargeHolcim Bangladesh,Cement,4335,2010-01-01,2026-08-13,273.59,533.32,448.12
CUSTOMERS,Customer Care Bangladesh,Services,4335,2010-01-01,2026-08-13,273.35,169.0,452.3
MUTUALTRUST,Mutual Trust Bank,Bank,4335,2010-01-01,2026-08-13,1180.83,1183.8,425.38
NCCBANK,NCC Bank,Bank,4335,2010-01-01,2026-08-13,246.09,282.14,357.36
PRIMEBANK,Prime Bank,Bank,4335,2010-01-01,2026-08-13,581.53,840.86,377.76
SIBL,Social Islami Bank,Bank,4335,2010-01-01,2026-08-13,325.32,281.09,389.13
