stock,name,LinearRegression,RandomForest,XGBoost,best_model,best_rmse
ACI,Advanced Chemical Industries,"{'RMSE': np.float64(21.60767125546331), 'MAE': 16.940188860719523, 'MAPE': np.float64(2.4706139748307856), 'R²': 0.9612824408924686}","{'RMSE': np.float64(58.99542567499244), 'MAE': 36.64303732294812, 'MAPE': np.float64(4.697775600678097), 'R²': 0.7113784726013943}","{'RMSE': np.float64(64.81322437260724), 'MAE': 41.74071305003967, 'MAPE': np.float64(5.3698852784427755), 'R²': 0.6516472064381164}",LinearRegression,21.60767125546331
BANKASIA,Bank Asia Ltd,"{'RMSE': np.float64(6.24375094207191), 'MAE': 4.913756272059549, 'MAPE': np.float64(2.8860540508224743), 'R²': 0.955752744235681}","{'RMSE': np.float64(5.045443840565932), 'MAE': 3.742915241590396, 'MAPE': np.float64(2.1125742914462977), 'R²': 0.9711069125815395}","{'RMSE': np.float64(6.561506568546843), 'MAE': 4.77585610220193, 'MAPE': np.float64(2.7081163082514657), 'R²': 0.9511345014095074}",RandomForest,5.045443840565932
BATBC,British American Tobacco Bangladesh,"{'RMSE': np.float64(15.802995995271527), 'MAE': 12.621535652386653, 'MAPE': np.float64(3.3244884206890903), 'R²': 0.9267602440927668}","{'RMSE': np.float64(6.847501012692334), 'MAE': 5.324207147613248, 'MAPE': np.float64(1.4253668993018138), 'R²': 0.9862490647072029}","{'RMSE': np.float64(7.293569381954234), 'MAE': 5.658763634383029, 'MAPE': np.float64(1.5045075347060235), 'R²': 0.9843991498480276}",RandomForest,6.847501012692334
BEXIMCO,Beximco Ltd,"{'RMSE': np.float64(2.350335844144102), 'MAE': 1.8475539611974208, 'MAPE': np.float64(2.9833599833597813), 'R²': 0.9507349368577334}","{'RMSE': np.float64(3.4712202719220184), 'MAE': 2.296823175156427, 'MAPE': np.float64(3.3949582126194513), 'R²': 0.8925408149197085}","{'RMSE': np.float64(4.546338786872078), 'MAE': 3.138344121930677, 'MAPE': np.float64(4.61018912888453), 'R²': 0.8156671290557588}",LinearRegression,2.350335844144102
BEXPHARMA,Beximco Pharmaceuticals,"{'RMSE': np.float64(7.829534464428497), 'MAE': 6.157637615878077, 'MAPE': np.float64(5.013218482311385), 'R²': 0.9229479954365052}","{'RMSE': np.float64(3.068828449747312), 'MAE': 2.458788944317744, 'MAPE': np.float64(2.1541372677509956), 'R²': 0.9881625737923474}","{'RMSE': np.float64(3.314091675360207), 'MAE': 2.6185863176597217, 'MAPE': np.float64(2.3169038305520075), 'R²': 0.9861948510422675}",RandomForest,3.068828449747312
BRACBANK,BRAC Bank Ltd,"{'RMSE': np.float64(6.622291706896269), 'MAE': 5.269764566247906, 'MAPE': np.float64(4.266962328556434), 'R²': 0.9466413346522689}","{'RMSE': np.float64(2.8152727729577607), 'MAE': 2.128700156489038, 'MAPE': np.float64(1.6952455611652224), 'R²': 0.9903566194769432}","{'RMSE': np.float64(3.24683000607905), 'MAE': 2.3846962379169585, 'MAPE': np.float64(1.8622740848037798), 'R²': 0.9871735212621223}",RandomForest,2.8152727729577607
BSCCL,Bangladesh Submarine Cable,"{'RMSE': np.float64(4.622734121527807), 'MAE': 3.7675777485979354, 'MAPE': np.float64(3.6028970329228716), 'R²': 0.9663471599071053}","{'RMSE': np.float64(3.3153150459767544), 'MAE': 2.284264705183876, 'MAPE': np.float64(2.383266907798015), 'R²': 0.9826909393352327}","{'RMSE': np.float64(4.321966436153174), 'MAE': 2.83469147429645, 'MAPE': np.float64(3.059629090667401), 'R²': 0.970583793160678}",RandomForest,3.3153150459767544
CUSTOMERS,Customer Care Bangladesh,"{'RMSE': np.float64(14.848741793569184), 'MAE': 11.990607237397038, 'MAPE': np.float64(4.39852625337588), 'R²': 0.9073142813342016}","{'RMSE': np.float64(6.242572223217273), 'MAE': 4.819911260912579, 'MAPE': np.float64(1.7346034479357775), 'R²': 0.9836182361053565}","{'RMSE': np.float64(6.880509541937065), 'MAE': 5.308659962443085, 'MAPE': np.float64(1.9042322580401168), 'R²': 0.9800990085089843}",RandomForest,6.242572223217273
DBBL,Dutch-Bangla Bank,"{'RMSE': np.float64(18.198758261765636), 'MAE': 15.128356243757125, 'MAPE': np.float64(4.476502971959687), 'R²': 0.971577042497077}","{'RMSE': np.float64(16.20627047938372), 'MAE': 11.578646829642926, 'MAPE': np.float64(3.9292452302041028), 'R²': 0.9774601034137785}","{'RMSE': np.float64(12.950976645836498), 'MAE': 8.234455398135204, 'MAPE': np.float64(2.7444912774686605), 'R²': 0.9856056919148743}",XGBoost,12.950976645836498
DSEX,DSE Broad Index,"{'RMSE': np.float64(6.774663143299244), 'MAE': 5.365745554202693, 'MAPE': np.float64(2.040579259337935), 'R²': 0.9669286469870713}","{'RMSE': np.float64(3.6084653131384132), 'MAE': 2.821484434818908, 'MAPE': np.float64(1.1306856029951637), 'R²': 0.9906174341379016}","{'RMSE': np.float64(3.873069819454113), 'MAE': 2.9951816441675496, 'MAPE': np.float64(1.212528371367334), 'R²': 0.9891909580117365}",RandomForest,3.6084653131384132
DUTCHBANGL,Dutch-Bangla Bank,"{'RMSE': np.float64(27.589567097203236), 'MAE': 21.209673204336394, 'MAPE': np.float64(2.176327660818884), 'R²': 0.9427620715455529}","{'RMSE': np.float64(139.56627966628795), 'MAE': 111.05964994114217, 'MAPE': np.float64(10.399699359741273), 'R²': -0.4647217788968465}","{'RMSE': np.float64(143.16963971162534), 'MAE': 114.05997031344468, 'MAPE': np.float64(10.683795751370177), 'R²': -0.5413313056718725}",LinearRegression,27.589567097203236
