stock,name,best_model,best_rmse,LinearRegression_RMSE,LinearRegression_MAE,LinearRegression_MAPE,LinearRegression_R²,LinearRegression_Dir_Acc,RandomForest_RMSE,RandomForest_MAE,RandomForest_MAPE,RandomForest_R²,RandomForest_Dir_Acc,XGBoost_RMSE,XGBoost_MAE,XGBoost_MAPE,XGBoost_R²,XGBoost_Dir_Acc,LightGBM_RMSE,LightGBM_MAE,LightGBM_MAPE,LightGBM_R²,LightGBM_Dir_Acc
ACI,Advanced Chemical Industries,XGBoost,0.013520569883633298,0.013743137452360586,0.010613969774634567,175.05399506051216,-0.054803589468316094,49.21402660217654,0.013738472946743298,0.010635760482836631,183.91431753377663,-0.05408769728972218,50.42321644498187,0.013520569883633298,0.010473617931961318,172.50850207471314,-0.020915536939288826,52.84159613059251,0.01366849287355758,0.010555629640054088,184.90063436056113,-0.043376570275316384,52.72067714631197
BANKASIA,Bank Asia Ltd,LinearRegression,0.016493884297866964,0.016493884297866964,0.01276936051592685,117.55050305104515,-0.012145872621249776,51.027811366384526,0.01661533288894298,0.012849717291431358,143.25175505474468,-0.027106114476575183,50.90689238210398,0.016921348144008037,0.01316831461907396,187.62617291029682,-0.06528826436855195,51.63240628778718,0.016859300105748192,0.013147261037016491,181.54105611202837,-0.05749008436627179,51.995163240628784
BATBC,British American Tobacco Bangladesh,LinearRegression,0.017299576715220456,0.017299576715220456,0.01353391178110169,122.58205360001178,-0.006493474349179795,51.39056831922611,0.01753343668707087,0.013794345280073252,178.2682904738243,-0.033889461223620465,50.78597339782346,0.01773461833797889,0.01393804439696487,173.79833609154844,-0.05775162855840388,50.06045949214026,0.017881880039734406,0.01402065505323543,183.8575176824501,-0.07539091627523864,50.66505441354293
BEXIMCO,Beximco Ltd,LinearRegression,0.025442778438025112,0.025442778438025112,0.020542617582888677,128.30067949674168,-0.03214265053062704,46.07013301088271,0.030742858673891576,0.024757373336464713,298.71204338824003,-0.5069510647506403,48.73035066505441,0.027212170466230368,0.021902956843843423,189.20150172303337,-0.18069308092447534,48.00483675937122,0.02874037000095712,0.02306199947321829,239.7670259869542,-0.3170290739044419,48.73035066505441
BEXPHARMA,Beximco Pharmaceuticals,LinearRegression,0.020709076923476143,0.020709076923476143,0.016663471102339063,117.34560343065009,0.004949437274041069,55.259975816203145,0.021003782319757764,0.016946395316395763,131.5026175723867,-0.0235726769769824,52.11608222490931,0.021071700010323824,0.01702671777536262,154.0802681673475,-0.03020301515864321,51.87424425634825,0.021365250219119846,0.017303287380218718,162.21391273598354,-0.05910650120067107,49.57678355501814
BRACBANK,BRAC Bank Ltd,LinearRegression,0.01974281692582308,0.01974281692582308,0.015696617165487148,126.519491612405,-0.016117591510352858,49.57678355501814,0.02016438547815377,0.016036080609051272,157.77561021180696,-0.05997522799633348,50.42321644498187,0.0205678275575959,0.016464577988627004,183.72874867612504,-0.10281478128875965,48.851269649334945,0.02080734888317231,0.016604842410433716,206.64563276560486,-0.1286498593882044,48.36759371221282
BSCCL,Bangladesh Submarine Cable,LinearRegression,0.018252334050829017,0.018252334050829017,0.014220874656526767,110.14428994575987,-0.014035225514099858,51.995163240628784,0.01832877896523093,0.014338095210473127,138.07375438531423,-0.02254703194250207,50.90689238210398,0.018389522960012505,0.014318196031152102,153.63005691727068,-0.029335974950019272,49.93954050785974,0.018473027989658372,0.014431142822604543,166.2861847188729,-0.038705428123450014,51.75332527206772
CUSTOMERS,Customer Care Bangladesh,LinearRegression,0.021633217453547134,0.021633217453547134,0.016602399282982978,126.68954026345706,-0.0230521486586166,52.72067714631197,0.02170798150429447,0.016770106505982197,171.35215550699772,-0.030135671278104015,52.962515114873035,0.02176545346527186,0.01685770858464328,185.28151262608088,-0.03559746774993777,54.89721886336155,0.022172070726569626,0.01716871262909598,207.9239475907193,-0.07465249388048334,52.59975816203144
DBBL,Dutch-Bangla Bank,LinearRegression,0.013750186979966226,0.013750186979966226,0.010614052808773193,134.32923457455888,-0.03939190097638812,48.972188633615474,0.014018726017973732,0.010890310670713785,162.51764373955334,-0.08038666862639543,49.8186215235792,0.014123882917799735,0.01098069660674913,189.40662094071368,-0.09665579566950178,49.09310761789601,0.014287827082088244,0.011103046435497173,200.29929967313302,-0.12226260431249814,50.42321644498187
DSEX,DSE Broad Index,LinearRegression,0.010687263065597547,0.010687263065597547,0.008594335403336406,124.97096449749523,-0.013617480063026877,47.64207980652962,0.010691020737305748,0.008537138009936288,147.16561611147236,-0.014330386876326706,53.08343409915357,0.010728734272953696,0.008617237323422514,167.64643445356236,-0.021499292134258496,51.63240628778718,0.010799288970592133,0.008689392132291808,189.47527584655555,-0.034978711369374915,51.027811366384526
DUTCHBANGL,Dutch-Bangla Bank,LinearRegression,0.012220250487302388,0.012220250487302388,0.009478565575173662,119.1274291208658,-0.032295714455672364,49.57678355501814,0.012314850342867625,0.00960299500273165,154.92765231391684,-0.04834006820106085,49.334945586457074,0.01222802311591764,0.009542982172556532,142.07069960902103,-0.03360930502721393,51.87424425634825,0.012348597282775636,0.0096502908865908,143.38529019583822,-0.0540935678591159,47.88391777509069
EBL,Eastern Bank Ltd,LinearRegression,0.024343261641421924,0.024343261641421924,0.019245670851147506,105.15417265623172,-0.008677899588922067,43.409915356711004,0.024878309183284153,0.019624001526771635,120.23522592673616,-0.05350522359014098,45.82829504232164,0.025089009156894042,0.01976950463057708,131.72079710742858,-0.07142553263616169,46.7956469165659,0.02552443410599938,0.02013362332424691,137.87715132004982,-0.108937873407005,46.31197097944377
GP,Grameenphone Ltd,LinearRegression,0.021159821612877362,0.021159821612877362,0.016754531271104763,129.68584485090759,-0.006354846061033204,48.73035066505441,0.021460248870718342,0.016969600430243818,157.27359076054347,-0.03513417317178513,46.43288996372431,0.021934402561381242,0.01737490835734179,222.74705935581824,-0.08138105731018808,48.73035066505441,0.022303571945409748,0.01768646862071991,250.3591023048862,-0.1180879860788906,49.334945586457074
HEIDELBCEM,Heidelberg Cement,LinearRegression,0.019122438764555508,0.019122438764555508,0.01518834172124684,111.07652035536366,0.00017887454144338566,51.14873035066505,0.019283708489803483,0.015308263623555052,127.46216204187502,-0.01675628685257391,51.027811366384526,0.019589440142197097,0.015609893926024975,160.28985397466292,-0.049251985120172925,49.57678355501814,0.020162411111090562,0.01606791005513901,166.14173955004986,-0.11152870463052666,46.916565900846436
ISLAMI BANK,Islami Bank Bangladesh,LinearRegression,0.02908466243741748,0.02908466243741748,0.023688648225663304,101.77846454271085,-0.0005652277922392202,48.972188633615474,0.029407779478039537,0.02389426621478354,105.29806314019199,-0.022920345744162907,48.24667472793229,0.03010888802117391,0.0245422968556229,117.48537443913172,-0.07227648894860583,48.12575574365175,0.030718456213999466,0.02513337286904421,126.66835408110859,-0.11613344679907822,47.40024183796856
JAMUNAOIL,Jamuna Oil Company,LinearRegression,0.01460281990277044,0.01460281990277044,0.011389108501486792,148.57500667434104,-0.01637942693096095,51.39056831922611,0.015584279102295123,0.01231576525933637,345.49997384660014,-0.15759286827093955,51.63240628778718,0.01493985101556827,0.011668024769718082,242.7468472858366,-0.0638366321371111,52.11608222490931,0.015270382832008832,0.012028208954242664,313.25830250489236,-0.11143036458580524,51.027811366384526
LAFARGECEM,LafargeHolcim Bangladesh,LinearRegression,0.01850305500583753,0.01850305500583753,0.014611373833379402,136.59022516335423,-0.03714149628722496,51.027811366384526,0.018647767173971614,0.014805582188293712,164.88406254217455,-0.053427878057321854,47.76299879081016,0.01888704245254373,0.015006321789997844,177.71997513072424,-0.08063503608036404,49.334945586457074,0.019039176630224985,0.015044703263029414,181.20619864077386,-0.09811407187997578,48.60943168077388
MARICO,Marico Bangladesh,LinearRegression,0.02661015245765308,0.02661015245765308,0.02094186598964588,150.21357040612483,-0.010760015014759983,48.60943168077388,0.026767693167914327,0.02110541502278453,169.27134664865008,-0.02276349487423235,53.2043530834341,0.027135244192267528,0.021198398520865525,194.01094190018645,-0.05104375482633894,51.39056831922611,0.02741375094091809,0.021386562044612614,192.1143272173254,-0.07272957267807278,53.08343409915357
MUTUALTRUST,Mutual Trust Bank,LinearRegression,0.017162856199368907,0.017162856199368907,0.013455082502351603,105.58536024689829,0.002757908135703646,51.63240628778718,0.017176945042259972,0.013435497333958967,109.84385089540606,0.0011199810038883262,51.87424425634825,0.017632479203526782,0.013789505487692711,126.43657473944907,-0.05256332639451666,49.21402660217654,0.01777889004455855,0.013909644887638696,137.98975878735567,-0.07011576363492789,48.972188633615474
NCCBANK,NCC Bank,LinearRegression,0.018433195421786595,0.018433195421786595,0.014293070935994936,119.38470715496237,-0.0017663937794929474,50.302297460701325,0.01871584566951637,0.014492520326776377,161.95238182984696,-0.03272363007361867,51.027811366384526,0.018706192807455394,0.014602364928679794,150.1794204488404,-0.03165863218981024,49.93954050785974,0.01874132152343123,0.014593828731566814,154.1893439089137,-0.035537013229987036,51.87424425634825
POWERGRID,Power Grid Company,LinearRegression,0.027975877938721375,0.027975877938721375,0.021837828825476965,124.0378852130515,-0.010308968122412887,47.64207980652962,0.028729339067290874,0.022577115979050728,170.87156034600415,-0.06546215699523583,46.553808948004836,0.029071433817223404,0.022784982548145864,183.10203322126588,-0.09098721948727784,48.12575574365175,0.029562619705532516,0.02341097315103199,221.96832173616622,-0.12816492297910265,45.82829504232164
PRIMEBANK,Prime Bank,LinearRegression,0.012451185595537487,0.012451185595537487,0.009433850267903422,122.38270921684685,0.0027730144618947072,53.5671100362757,0.012633500612551049,0.009663435259904679,137.7317642559925,-0.02664434747244182,49.57678355501814,0.012640173356683288,0.00967188546550328,137.17132109353884,-0.027729136939510735,49.334945586457074,0.012677251397975629,0.009705556488214149,149.21616806681683,-0.03376735677550591,50.42321644498187
RENATA,Renata Ltd,LinearRegression,0.017749524328478976,0.017749524328478976,0.014077329859167589,116.76613004254722,-0.012728767451624323,49.93954050785974,0.018008151216217853,0.01423232214369699,139.56943295356425,-0.042456560025074586,50.302297460701325,0.018203116537044768,0.014424380040908263,161.28816730473335,-0.06515106987586639,50.302297460701325,0.0183055794627969,0.014614203075782381,180.80454106199656,-0.07717600613472353,51.26964933494559
ROBI,Robi Axiata,LinearRegression,0.02854291986612938,0.02854291986612938,0.022602195348777655,111.22315095711184,-0.007527361251453479,50.06045949214026,0.028696331800627646,0.022363235390822876,126.81208065570426,-0.01838694418070297,53.68802902055623,0.02929132423618601,0.023015998692454114,147.79968424448828,-0.061055412293917755,52.4788391777509,0.02954109116541273,0.023197851664742253,157.8260790289319,-0.07922778627883997,53.446191051995164
SIBL,Social Islami Bank,LinearRegression,0.022753136243312887,0.022753136243312887,0.018054887727372255,154.7233692896033,-0.0046959704802838065,52.84159613059251,0.02356534614734056,0.018842494507471455,231.63444724396777,-0.07770468943217401,49.93954050785974,0.02361621010559815,0.018772653328163698,224.265065662868,-0.0823619929466397,50.90689238210398,0.024233408029225974,0.019212014738742497,268.798521807634,-0.1396752458664372,51.511487303506655
SQURPHARMA,Square Pharmaceuticals,LinearRegression,0.015556880675693838,0.015556880675693838,0.012387017662787214,124.73823773808519,-0.009547726306872839,50.42321644498187,0.015624330642324252,0.01248089375043743,144.17737950613193,-0.018320896116935215,52.962515114873035,0.015770300462127178,0.012612092858186458,193.96391762738756,-0.03743703909088181,53.446191051995164,0.015767517446689507,0.012594641446114213,219.42377680364257,-0.03707091435569887,52.35792019347038
SUMITPOWER,Summit Power,RandomForest,0.02984417170482369,0.030176103890125167,0.02393443565930826,125.39902990519727,-0.03341151035235246,48.12575574365175,0.02984417170482369,0.02353565276176916,122.27805294291036,-0.010801835730960718,50.90689238210398,0.030647478719728928,0.02416121936048551,152.44474686625006,-0.06594909774982138,49.8186215235792,0.03079845303106013,0.024114539606917694,147.09493377918412,-0.07647703174331166,49.93954050785974
TITASGAS,Titas Gas,LinearRegression,0.016452127068806822,0.016452127068806822,0.01318791577811566,106.70088005783597,-0.00032841040707709546,50.181378476420804,0.016552610393187544,0.013300251972831119,128.33404482443305,-0.012584975340675708,48.36759371221282,0.016989916907955066,0.013601323589619053,169.46912302195773,-0.06679507707943122,49.21402660217654,0.017144070710646418,0.013727381132971651,193.65617262030133,-0.0862415015956739,48.73035066505441
UNILEVER,Unilever Bangladesh,RandomForest,0.023455452441894502,0.023520247701971,0.018364133170636558,113.19245142484804,-0.011438925406120015,48.48851269649335,0.023455452441894502,0.01836581086150792,122.9799484319455,-0.00587383299674249,49.8186215235792,0.023791126097290106,0.018762135982196997,149.9315096949278,-0.03487019431311045,50.66505441354293,0.024080900751160785,0.018938733990167676,159.2727433820779,-0.06023304659750783,53.325272067714636
WALTONHIL,Walton Hi-Tech Industries,LightGBM,0.018774612209158593,0.018844808076015854,0.015209152484437374,243.59247207919444,-0.06962719001894913,49.57678355501814,0.018846465969505972,0.015145801203781267,212.92122005712503,-0.06981540164236377,48.36759371221282,0.018776924045561253,0.01513342334631091,192.82414743691209,-0.06193490437115656,47.037484885126965,0.018774612209158593,0.015104501144127676,182.27550179495492,-0.061673427184498975,49.57678355501814
