stock,name,arch,test_rmse,test_mae,test_mape,test_r2,test_dir_acc,best_val_loss,epochs_trained,n_features,n_train_windows,n_test_windows
ACI,Advanced Chemical Industries,LSTM,0.0137602100578599,0.0107460155549206,210.30372694577045,-0.0793657098953004,48.76140808344198,0.0001491878137234,22,27,0,767
BANKASIA,Bank Asia Ltd,LSTM,0.0165947872361488,0.0128078269935252,125.10286959094029,-0.0111222367416767,50.0651890482399,0.0002135085503654,22,27,0,767
BATBC,British American Tobacco Bangladesh,LSTM,0.0173328529853194,0.0135848324778118,104.44104691240908,-4.2888239313310095e-05,49.80443285528031,0.00038541600536,33,27,0,767
BEXIMCO,Beximco Ltd,LSTM,0.0251104402597882,0.0201273650206093,104.76144171702768,0.0004074649278175,53.71577574967405,0.000531456606893,49,27,0,767
BEXPHARMA,Beximco Pharmaceuticals,LSTM,0.0208380816427651,0.0167813779496575,112.28186292855244,-0.0146643210877834,47.06649282920469,0.0003747045234527,24,27,0,767
BRACBANK,BRAC Bank Ltd,LSTM,0.019706501549787,0.0155888218140488,113.90910487910864,-0.0061975310440789,49.80443285528031,0.000375007838741,22,27,0,767
BSCCL,Bangladesh Submarine Cable,LSTM,0.0184613805488242,0.014361632990124,105.89908416293125,-0.0006214482690169,52.672750977835726,0.0002881578503544,36,27,0,767
CUSTOMERS,Customer Care Bangladesh,LSTM,0.0221988441250197,0.0172098484278946,154.86251685850422,-0.0357078395309702,50.0651890482399,0.000390715307489,41,27,0,767
DBBL,Dutch-Bangla Bank,LSTM,0.0138735146201799,0.0107496582973147,134.25519113931114,-0.0418010716286507,46.544980443285525,0.0001652697865882,27,27,0,767
DSEX,DSE Broad Index,LSTM,0.0105681371809615,0.0085109980935222,122.2920833737585,-0.0190775795115218,45.241199478487616,0.000120632871253,47,27,0,767
DUTCHBANGL,Dutch-Bangla Bank,LSTM,0.0122875656474619,0.0095799118664888,106.71520147930518,-0.0069788424930936,49.67405475880052,0.0001172763180022,26,27,0,767
EBL,Eastern Bank Ltd,LSTM,0.0241102883101884,0.018985757387727,100.13010442337608,-0.001491300438478,50.32594524119948,0.0006363207961491,23,27,0,767
GP,Grameenphone Ltd,LSTM,0.0212043836799672,0.0167839117928895,104.69607343976485,0.0013331341914789,50.19556714471969,0.0006072785362955,23,27,0,767
HEIDELBCEM,Heidelberg Cement,LSTM,0.0192594724254506,0.0152876863980258,115.21663800638846,-0.0090777745190506,48.37027379400261,0.0003378453209774,27,27,0,767
ISLAMI BANK,Islami Bank Bangladesh,LSTM,0.02903801611505129,0.02361127246378264,99.33053507970855,4.2217461344140617e-05,50.0651890482399,0.0007382597958126081,26,27,2916,767
JAMUNAOIL,Jamuna Oil Company,LSTM,0.014574419101289508,0.011357300919028791,115.05526693992437,-0.001911565420085859,51.62972620599739,0.00019600545190407025,38,27,2916,767
LAFARGECEM,LafargeHolcim Bangladesh,LSTM,0.018334460806731834,0.014542025083821235,110.01426576972135,0.0009595399966952911,51.89048239895697,0.00036155581643987047,23,27,2916,767
MARICO,Marico Bangladesh,LSTM,0.026595110835615776,0.02081223254563239,114.91529755092927,-0.011478863262537331,49.54367666232073,0.00084606807947853,62,27,2916,767
MUTUALTRUST,Mutual Trust Bank,LSTM,0.01743698503863168,0.013617010769541886,100.149909121077,-1.6818008442331944e-05,51.10821382007823,0.0002522612112141266,30,27,2916,767
NCCBANK,NCC Bank,LSTM,0.018684072344829043,0.014438993586150839,101.68886831516224,0.001363130565961157,52.411994784876136,0.0002393744557509989,27,27,2916,767
POWERGRID,Power Grid Company,LSTM,0.028068977661275696,0.02168650697217078,121.09834492245275,-0.017352374690429606,48.63102998696219,0.0009368761282369522,58,27,2916,767
PRIMEBANK,Prime Bank,LSTM,0.012800813392812211,0.009692359386466625,149.29000149166635,-0.03474757242220816,48.5006518904824,0.00010639770235479689,22,27,2916,767
RENATA,Renata Ltd,LSTM,0.017739045003226546,0.014182218493242948,115.88344028379211,-0.006630602486718429,46.28422425032595,0.0002789463519464106,42,27,2916,767
ROBI,Robi Axiata,LSTM,0.028447572415811043,0.02251168476716516,107.55267818944705,-0.0030708265841756788,49.152542372881356,0.0009330390193035682,54,27,2916,767
SIBL,Social Islami Bank,LSTM,0.022731127813375922,0.017929961595223563,125.93428079435938,-0.007977194195782467,51.499348109517605,0.0005951488349325543,26,27,2916,767
SQURPHARMA,Square Pharmaceuticals,LSTM,0.01547154478783489,0.012319528537519537,121.28260231676916,-0.0015013813843229862,50.717079530638856,0.00018717186292203838,24,27,2916,767
SUMITPOWER,Summit Power,LSTM,0.029845461272919507,0.023471756121480652,107.97382022954427,-0.010893725537613586,49.934810951760106,0.0010064026910890705,32,27,2916,767
TITASGAS,Titas Gas,LSTM,0.01648435007122051,0.01322234859484503,107.36467469921325,-0.004108201170491155,46.9361147327249,0.00024936705768860987,44,27,2916,767
UNILEVER,Unilever Bangladesh,LSTM,0.023185097288282348,0.017992122606137927,106.84019301199325,-0.002716160491597286,50.19556714471969,0.0007023852766573952,25,27,2916,767
WALTONHIL,Walton Hi-Tech Industries,LSTM,0.018380854427131044,0.014806550273499116,123.67261484159422,-0.0002163826051055917,52.02086049543677,0.00029528833005570455,24,27,2916,767
