stock,name,test_rmse,test_dir_acc,epochs_trained,best_model,baseline_rmse,baseline_dir_acc,lstm_better_dir,lstm_better_rmse
ACI,Advanced Chemical Industries,0.0137602100578599,48.76140808344198,22,XGBoost,0.0135205698836332,52.84159613059251,False,False
BANKASIA,Bank Asia Ltd,0.0165947872361488,50.0651890482399,22,LinearRegression,0.0164938842978669,51.995163240628784,False,False
BATBC,British American Tobacco Bangladesh,0.0173328529853194,49.80443285528031,33,LinearRegression,0.0172995767152204,51.39056831922611,False,False
BEXIMCO,Beximco Ltd,0.0251104402597882,53.71577574967405,49,LinearRegression,0.0254427784380251,48.73035066505441,True,True
BEXPHARMA,Beximco Pharmaceuticals,0.0208380816427651,47.06649282920469,24,LinearRegression,0.0207090769234761,55.259975816203145,False,False
BRACBANK,BRAC Bank Ltd,0.019706501549787,49.80443285528031,22,LinearRegression,0.019742816925823,50.42321644498187,False,True
BSCCL,Bangladesh Submarine Cable,0.0184613805488242,52.672750977835726,36,LinearRegression,0.018252334050829,51.995163240628784,True,False
CUSTOMERS,Customer Care Bangladesh,0.0221988441250197,50.0651890482399,41,LinearRegression,0.0216332174535471,54.89721886336155,False,False
DBBL,Dutch-Bangla Bank,0.0138735146201799,46.544980443285525,27,LinearRegression,0.0137501869799662,50.42321644498187,False,False
DSEX,DSE Broad Index,0.0105681371809615,45.241199478487616,47,LinearRegression,0.0106872630655975,53.08343409915357,False,True
DUTCHBANGL,Dutch-Bangla Bank,0.0122875656474619,49.67405475880052,26,LinearRegression,0.0122202504873023,51.87424425634825,False,False
EBL,Eastern Bank Ltd,0.0241102883101884,50.32594524119948,23,LinearRegression,0.0243432616414219,46.7956469165659,True,True
GP,Grameenphone Ltd,0.0212043836799672,50.19556714471969,23,LinearRegression,0.0211598216128773,49.334945586457074,True,False
HEIDELBCEM,Heidelberg Cement,0.0192594724254506,48.37027379400261,27,LinearRegression,0.0191224387645555,51.14873035066505,False,False
ISLAMI BANK,Islami Bank Bangladesh,0.0290380161150512,50.0651890482399,26,LinearRegression,0.0290846624374174,48.972188633615474,True,True
JAMUNAOIL,Jamuna Oil Company,0.0145744191012895,51.62972620599739,38,LinearRegression,0.0146028199027704,52.11608222490931,False,True
LAFARGECEM,LafargeHolcim Bangladesh,0.0183344608067318,51.89048239895697,23,LinearRegression,0.0185030550058375,51.027811366384526,True,True
MARICO,Marico Bangladesh,0.0265951108356157,49.54367666232073,62,LinearRegression,0.026610152457653,53.2043530834341,False,True
MUTUALTRUST,Mutual Trust Bank,0.0174369850386316,51.10821382007823,30,LinearRegression,0.0171628561993689,51.87424425634825,False,False
NCCBANK,NCC Bank,0.018684072344829,52.411994784876136,27,LinearRegression,0.0184331954217865,51.87424425634825,True,False
POWERGRID,Power Grid Company,0.0280689776612756,48.63102998696219,58,LinearRegression,0.0279758779387213,48.12575574365175,True,False
PRIMEBANK,Prime Bank,0.0128008133928122,48.5006518904824,22,LinearRegression,0.0124511855955374,53.5671100362757,False,False
RENATA,Renata Ltd,0.0177390450032265,46.28422425032595,42,LinearRegression,0.0177495243284789,51.26964933494559,False,True
ROBI,Robi Axiata,0.028447572415811,49.15254237288136,54,LinearRegression,0.0285429198661293,53.68802902055623,False,True
SIBL,Social Islami Bank,0.0227311278133759,51.499348109517605,26,LinearRegression,0.0227531362433128,52.84159613059251,False,True
SQURPHARMA,Square Pharmaceuticals,0.0154715447878348,50.717079530638856,24,LinearRegression,0.0155568806756938,53.44619105199517,False,True
SUMITPOWER,Summit Power,0.0298454612729195,49.934810951760106,32,RandomForest,0.0298441717048236,50.90689238210398,False,False
TITASGAS,Titas Gas,0.0164843500712205,46.9361147327249,44,LinearRegression,0.0164521270688068,50.1813784764208,False,False
UNILEVER,Unilever Bangladesh,0.0231850972882823,50.19556714471969,25,RandomForest,0.0234554524418945,53.32527206771464,False,True
WALTONHIL,Walton Hi-Tech Industries,0.018380854427131,52.02086049543677,24,LightGBM,0.0187746122091585,49.57678355501814,True,True
