stock,variant,dir_acc,best_val_loss,n_test
ACI,bilingual,49.4765470202713,0.00016067306569311768,648
BANKASIA,bilingual,50.45962886755068,0.0002154939284082502,648
BATBC,bilingual,49.69421582075903,0.0003527236694935709,648
BEXIMCO,bilingual,51.48319615912208,0.0005439139786176383,648
BEXPHARMA,bilingual,47.53014974851394,0.00044803699711337686,648
BRACBANK,bilingual,48.74256973022405,0.0003761067346204072,648
BSCCL,bilingual,51.697530864197525,0.0002607186615932733,648
CUSTOMERS,bilingual,50.0314357567444,0.0003921222814824432,648
DBBL,bilingual,52.38864121322969,0.00016024040814954787,648
DUTCHBANGL,bilingual,49.69993141289438,0.00011668220395222306,648
EBL,bilingual,47.22222222222222,0.0005884205456823111,648
GP,bilingual,51.210276634659344,0.0005736930761486292,648
HEIDELBCEM,bilingual,49.72279378143576,0.00033116911072283983,648
ISLAMI BANK,bilingual,50.66443758573388,0.0008334779995493591,648
JAMUNAOIL,bilingual,49.69659731748209,0.00018826684390660375,648
LAFARGECEM,bilingual,50.9525986892242,0.0003220358630642295,648
MARICO,bilingual,47.23079561042524,0.0008392070885747671,648
MUTUALTRUST,bilingual,50.38103947568968,0.00022942718351259828,648
NCCBANK,bilingual,47.81378600823045,0.00025039579486474395,648
POWERGRID,bilingual,51.53749428440787,0.0008958291145972908,648
PRIMEBANK,bilingual,49.77994970278921,0.00010626645962474868,648
RENATA,bilingual,46.95073159579333,0.00028298652614466846,648
ROBI,bilingual,49.15980795610425,0.0008724228828214109,648
SIBL,bilingual,50.77160493827161,0.0005252202390693128,648
SQURPHARMA,bilingual,48.88545953360769,0.00021010950149502605,648
SUMITPOWER,bilingual,51.47462277091906,0.0011246660724282265,648
TITASGAS,bilingual,52.31481481481482,0.00025684727006591856,648
UNILEVER,bilingual,49.85234720317025,0.0006697061471641064,648
WALTONHIL,bilingual,51.198131001371735,0.00029625260503962636,648
ACI,en_only,50.75789280282539,0.00015826013986952603,626
BANKASIA,en_only,50.14290234666068,0.00021383166313171387,626
BATBC,en_only,49.52076677316294,0.00035634651430882514,626
BEXIMCO,en_only,48.53525094672805,0.0005557871772907674,626
BEXPHARMA,en_only,47.94501321846706,0.0004394787538331002,626
BRACBANK,en_only,51.02889689595689,0.0003784885921049863,626
BSCCL,en_only,51.91693290734825,0.00026199957937933505,626
CUSTOMERS,en_only,50.24650654798967,0.0003960572648793459,626
DBBL,en_only,50.92069940491379,0.0001608371821930632,626
DUTCHBANGL,en_only,50.0,0.00011686401558108628,626
EBL,en_only,47.44408945686901,0.0005734347505494952,626
GP,en_only,51.11923159366738,0.0005699339089915156,626
HEIDELBCEM,en_only,50.09799018056732,0.00032897593337111175,626
ISLAMI BANK,en_only,50.95846645367412,0.00082051643403247,626
JAMUNAOIL,en_only,51.118210862619804,0.0001877633621916175,626
LAFARGECEM,en_only,51.91693290734825,0.00032229776843450963,626
MARICO,en_only,48.506670477395915,0.000853555160574615,626
MUTUALTRUST,en_only,49.64070267125315,0.00023141948622651398,626
NCCBANK,en_only,47.963641560085335,0.00024880419368855655,626
POWERGRID,en_only,51.36471741060949,0.000899060454685241,626
PRIMEBANK,en_only,49.83770376343537,0.00010684388689696789,626
RENATA,en_only,51.62908675193173,0.0002855690545402467,626
ROBI,en_only,49.41154855107228,0.0008887317380867898,626
SIBL,en_only,50.798722044728436,0.0005186235648579895,626
SQURPHARMA,en_only,50.325102838653045,0.00020040238450746983,626
SUMITPOWER,en_only,48.17084996274332,0.0011125259334221482,626
TITASGAS,en_only,51.43769968051119,0.00025650663883425295,626
UNILEVER,en_only,49.84025559105431,0.0006713335169479251,626
WALTONHIL,en_only,51.89779420020619,0.00029279047157615423,626
ACI,bn_only,50.455588022747975,0.0001601218245923519,618
BANKASIA,bn_only,49.765922015898454,0.00021656142780557275,618
BATBC,bn_only,50.01859008598569,0.00035590550396591425,618
BEXIMCO,bn_only,51.61812297734628,0.0005538536934182048,618
BEXPHARMA,bn_only,46.86560676993329,0.0004372866824269295,618
BRACBANK,bn_only,52.3591080948042,0.00038022149237804115,618
BSCCL,bn_only,50.46658497502121,0.00026295118732377887,618
CUSTOMERS,bn_only,49.497805846189294,0.00039204960921779275,618
DBBL,bn_only,53.47922623349148,0.00015886239998508245,618
DUTCHBANGL,bn_only,50.0,0.00011620753502938896,618
EBL,bn_only,47.92393251013291,0.0005842595710419118,618
GP,bn_only,47.73462783171521,0.0005749763222411275,618
HEIDELBCEM,bn_only,49.63867156816539,0.0003326982259750366,618
ISLAMI BANK,bn_only,50.88761114776762,0.0008259316673502326,618
JAMUNAOIL,bn_only,48.570396204480474,0.00018824462313205004,618
LAFARGECEM,bn_only,48.42743582492852,0.00032555244979448617,618
MARICO,bn_only,47.0873786407767,0.000849110190756619,618
MUTUALTRUST,bn_only,50.27492380683067,0.00023590151977259666,618
NCCBANK,bn_only,47.8870141703585,0.0002490899641998112,618
POWERGRID,bn_only,48.00588598778815,0.0009064754704013467,618
PRIMEBANK,bn_only,49.66694944543941,0.0001095324259949848,618
RENATA,bn_only,48.378735036289946,0.0002838233776856214,618
ROBI,bn_only,50.810108817461064,0.0008936988306231797,618
SIBL,bn_only,50.48543689320388,0.0005249269306659698,618
SQURPHARMA,bn_only,49.952870204543316,0.00019615006749518216,618
SUMITPOWER,bn_only,48.095956263549816,0.0010840243194252253,618
TITASGAS,bn_only,49.50016233596213,0.0002530712226871401,618
UNILEVER,bn_only,49.53865166891842,0.0006737434305250645,618
WALTONHIL,bn_only,50.1437458761429,0.0002976674004457891,618
