stock,lag,n,pearson_r,p_value,target
ACI,0,44,-0.22169393857798012,0.1480977152285885,return_t
ACI,1,44,-0.1933599540157486,0.20854047071213452,return_t+1
ACI,2,44,-0.17208163444906355,0.2640128182822464,return_t+2
ACI,5,44,0.0083749014509412,0.9569714679111412,return_t+5
ACI,10,44,-0.11236610137422645,0.46771640396246106,return_t+10
BANKASIA,0,46,0.13946203345539998,0.3552912283207005,return_t
BANKASIA,1,46,0.11356659671047176,0.45236096973528833,return_t+1
BANKASIA,2,46,0.10968709277898517,0.46805061031819895,return_t+2
BANKASIA,5,46,0.09772540833827151,0.518205180880668,return_t+5
BANKASIA,10,46,0.2788461307356426,0.0605741995002435,return_t+10
BATBC,0,47,-0.16762385744125774,0.2600733965880537,return_t
BATBC,1,47,0.08241219634777751,0.581829774313972,return_t+1
BATBC,2,47,0.14071559705905495,0.34546307829519984,return_t+2
BATBC,5,47,-0.05052658025519385,0.7359052375608994,return_t+5
BATBC,10,47,-0.13636112854815827,0.3607427344631836,return_t+10
BEXIMCO,0,44,-0.021441919339522917,0.8901212169341637,return_t
BEXIMCO,1,44,-0.07493892379983853,0.6287698671002979,return_t+1
BEXIMCO,2,44,-0.0914834261808885,0.5547862098577154,return_t+2
BEXIMCO,5,44,0.0674809063643514,0.6633967755585267,return_t+5
BEXIMCO,10,44,0.0010400220066813066,0.9946541193102331,return_t+10
BEXPHARMA,0,42,0.02229508713802395,0.8885450192049008,return_t
BEXPHARMA,1,42,0.32817426891134444,0.0338558883349329,return_t+1
BEXPHARMA,2,42,-0.004639411014873741,0.9767373252569432,return_t+2
BEXPHARMA,5,42,0.18725232855042356,0.23505039688185486,return_t+5
BEXPHARMA,10,42,0.043621827097194255,0.7838535103441663,return_t+10
BRACBANK,0,45,-0.15844902922750992,0.2985335405871178,return_t
BRACBANK,1,45,-0.025345637358747775,0.8687348909538726,return_t+1
BRACBANK,2,45,-0.053900497404937665,0.7250958582945646,return_t+2
BRACBANK,5,45,0.09398237684574323,0.5391667693478926,return_t+5
BRACBANK,10,45,0.04366328376748621,0.7758006575380391,return_t+10
BSCCL,0,48,-0.24382073030207277,0.09491516430071666,return_t
BSCCL,1,48,0.16489375389299848,0.2627175203162777,return_t+1
BSCCL,2,48,0.01767450277453035,0.905089996685688,return_t+2
BSCCL,5,48,-0.17481690737767777,0.2346683975424258,return_t+5
BSCCL,10,48,-0.05489944145403096,0.7109294026257028,return_t+10
CUSTOMERS,0,45,0.14479072984842858,0.34263744528665296,return_t
CUSTOMERS,1,45,0.03948632180123675,0.7967705442001551,return_t+1
CUSTOMERS,2,45,0.15436204074293144,0.3113288941287099,return_t+2
CUSTOMERS,5,45,0.4286569738903165,0.0033046889331238834,return_t+5
CUSTOMERS,10,45,0.251758651254359,0.09525290648391335,return_t+10
DBBL,0,48,-0.0864297326755363,0.559144121338966,return_t
DBBL,1,48,-0.09586792694104147,0.5168684815139224,return_t+1
DBBL,2,48,-0.03103792241417098,0.8341210881224118,return_t+2
DBBL,5,47,0.017179213809792693,0.9087528751207073,return_t+5
DBBL,10,47,-0.012137166537360976,0.9354653799478289,return_t+10
DSEX,0,98,0.028973105128169547,0.7770246742073225,return_t
DSEX,1,98,-0.11518878168453013,0.25871053428030166,return_t+1
DSEX,2,98,-0.04306267606252743,0.673737207378612,return_t+2
DSEX,5,98,0.016728706878476975,0.8701307925881258,return_t+5
DSEX,10,98,0.0388176456367437,0.7043257401725489,return_t+10
DUTCHBANGL,0,42,0.010554625879278261,0.9471076930432606,return_t
DUTCHBANGL,1,42,0.027501318363843362,0.8627435581364806,return_t+1
DUTCHBANGL,2,42,-0.2208836737296255,0.1598069031936141,return_t+2
DUTCHBANGL,5,42,0.17917261847808783,0.2562305107139186,return_t+5
DUTCHBANGL,10,42,-0.045006328259820094,0.7771650185419812,return_t+10
EBL,0,47,0.007299246108162433,0.9611629734909203,return_t
EBL,1,47,-0.022150871872402052,0.8825104170500472,return_t+1
EBL,2,47,0.06282975972123372,0.6748103423123278,return_t+2
EBL,5,47,-0.18672598305788282,0.2088456968789901,return_t+5
EBL,10,47,0.12385099239882377,0.40686894987218813,return_t+10
GP,0,47,-0.10970583858214186,0.46290426387793704,return_t
GP,1,47,0.06790059762166518,0.6501943853074444,return_t+1
GP,2,47,-0.05184651910797063,0.729264904405429,return_t+2
GP,5,47,0.20834811345123874,0.1599091453103473,return_t+5
GP,10,47,-0.3307468743262542,0.02316186770733638,return_t+10
HEIDELBCEM,0,48,0.0719191809007563,0.6271328834982856,return_t
HEIDELBCEM,1,48,-0.16011676545482803,0.2769870605083589,return_t+1
HEIDELBCEM,2,48,-0.047764385054940364,0.7471629788075776,return_t+2
HEIDELBCEM,5,48,0.13900920193014138,0.3460477716333304,return_t+5
HEIDELBCEM,10,48,0.01699205836171118,0.9087388363438812,return_t+10
ISLAMI BANK,0,46,0.15607787905019185,0.3002935927042654,return_t
ISLAMI BANK,1,46,0.023257315998137167,0.8780683449452227,return_t+1
ISLAMI BANK,2,46,0.23148811483727444,0.12163902031607363,return_t+2
ISLAMI BANK,5,46,-0.049996507755385236,0.7414247078427686,return_t+5
ISLAMI BANK,10,46,0.22049263436892283,0.14088884084713094,return_t+10
JAMUNAOIL,0,46,-0.07932447473475748,0.6002607633429363,return_t
JAMUNAOIL,1,46,0.007561832360371076,0.9602211461991453,return_t+1
JAMUNAOIL,2,46,-0.21562552033545596,0.15009710120246328,return_t+2
JAMUNAOIL,5,46,-0.15299778660016725,0.31005049413957153,return_t+5
JAMUNAOIL,10,46,0.09296220336911831,0.5388971422049975,return_t+10
LAFARGECEM,0,44,0.09251685158663356,0.5503046625441386,return_t
LAFARGECEM,1,44,0.01704228863206427,0.9125685964870714,return_t+1
LAFARGECEM,2,44,0.07254249083577079,0.6398152751500334,return_t+2
LAFARGECEM,5,44,-0.14135279554438043,0.36006425743723336,return_t+5
LAFARGECEM,10,44,-0.07177345763452551,0.6433763491808425,return_t+10
MARICO,0,44,0.004404263903272287,0.9773641379007655,return_t
MARICO,1,44,-0.10009408570651081,0.5179804287147616,return_t+1
