news_id,date,stock,name,sector,language,event_type,true_label,pred_label,score,confidence,prob_pos,prob_neg,prob_neu
N000853,2025-09-24,POWERGRID,Power Grid Company of Bangladesh,Power,en,regulatory,positive,positive,0.8018496166914701,0.8106934428215027,0.8106934428215027,0.00884382613003254,0.18046271800994873
N000089,2022-03-04,BRACBANK,BRAC Bank Limited,Bank,bn,scandal,negative,negative,-1.0,1.0,0.0,1.0,0.0
N000228,2019-05-15,EBL,Eastern Bank PLC,Bank,bn,expansion,positive,positive,1.0,1.0,1.0,0.0,0.0
N000731,2011-07-26,GP,Grameenphone Limited,Telecom,en,dividend,negative,negative,-0.962813725695014,0.9724440574645996,0.00963033176958561,0.9724440574645996,0.017925666645169258
N000487,2025-08-22,SIBL,Social Islami Bank Limited,Bank,bn,expansion,positive,positive,1.0,1.0,1.0,0.0,0.0
N000930,2011-03-23,SUMITPOWER,Summit Power International,Power,bn,macro,neutral,neutral,0.0,0.0,0.0,0.0,1.0
N000956,2012-08-24,HEIDELBCEM,Heidelberg Cement Bangladesh,Cement,en,macro,positive,positive,0.9318697955459356,0.9540707468986511,0.9540707468986511,0.022200951352715492,0.023728322237730026
N000758,2023-01-26,BSCCL,Bangladesh Submarine Cable Company,Telecom,bn,dividend,neutral,positive,1.0,1.0,1.0,0.0,0.0
N000659,2013-10-28,BEXPHARMA,BEXIMCO Pharmaceuticals,Pharma,bn,expansion,negative,negative,-1.0,1.0,0.0,1.0,0.0
N000918,2024-04-14,SUMITPOWER,Summit Power International,Power,en,expansion,positive,positive,0.6738778427243233,0.6846673488616943,0.6846673488616943,0.010789506137371063,0.304543137550354
N001149,2023-06-07,UNILEVER,Unilever Consumer Care,Consumer,bn,dividend,neutral,positive,1.0,1.0,1.0,0.0,0.0
N000214,2022-11-17,EBL,Eastern Bank PLC,Bank,en,dividend,negative,negative,-0.9654025807976723,0.9735410809516907,0.008138500154018402,0.9735410809516907,0.018320446833968163
N000933,2010-07-23,SUMITPOWER,Summit Power International,Power,en,regulatory,neutral,neutral,0.051852378994226456,0.9040637016296387,0.07389433681964874,0.022041957825422287,0.9040637016296387
N000229,2013-11-08,EBL,Eastern Bank PLC,Bank,en,regulatory,negative,negative,-0.9145162850618362,0.9244892001152039,0.009972915053367615,0.9244892001152039,0.06553783267736435
N001224,2023-08-03,WALTONHIL,Walton Hi-Tech Industries,Electronics,en,earnings,neutral,neutral,0.004166202619671822,0.9505027532577515,0.02683172933757305,0.02266552671790123,0.9505027532577515
N000475,2019-11-25,SIBL,Social Islami Bank Limited,Bank,bn,regulatory,positive,negative,-1.0,1.0,0.0,1.0,0.0
N001271,2026-07-04,BEXIMCO,BEXIMCO Limited,Conglomerate,bn,expansion,neutral,neutral,0.0,0.0,0.0,0.0,1.0
N000125,2024-02-13,DBBL,Dutch-Bangla Bank PLC,Bank,bn,macro,positive,positive,1.0,1.0,1.0,0.0,0.0
N000433,2019-10-01,PRIMEBANK,Prime Bank Limited,Bank,bn,expansion,negative,negative,-1.0,1.0,0.0,1.0,0.0
N001294,2018-10-15,BEXIMCO,BEXIMCO Limited,Conglomerate,bn,earnings,negative,negative,-1.0,1.0,0.0,1.0,0.0
N000594,2024-01-26,RENATA,Renata Limited,Pharma,bn,dividend,neutral,positive,1.0,1.0,1.0,0.0,0.0
N000903,2010-03-10,SUMITPOWER,Summit Power International,Power,bn,earnings,negative,positive,1.0,1.0,1.0,0.0,0.0
N001061,2010-10-29,MARICO,Marico Bangladesh Limited,Consumer,en,scandal,negative,negative,-0.929290653206408,0.9392140507698059,0.009923397563397884,0.9392140507698059,0.05086256563663483
N000958,2015-09-16,HEIDELBCEM,Heidelberg Cement Bangladesh,Cement,bn,earnings,negative,positive,1.0,1.0,1.0,0.0,0.0
N001146,2013-04-12,UNILEVER,Unilever Consumer Care,Consumer,en,expansion,negative,negative,-0.9270701734349132,0.9409956336021423,0.013925460167229176,0.9409956336021423,0.04507889226078987
N000519,2018-01-29,SQURPHARMA,Square Pharmaceuticals PLC,Pharma,en,earnings,negative,negative,-0.9660618705675006,0.97529137134552,0.009229500778019428,0.97529137134552,0.015479112043976784
N000591,2026-01-08,RENATA,Renata Limited,Pharma,bn,earnings,neutral,neutral,0.0,0.0,0.0,0.0,1.0
N000310,2019-05-06,MUTUALTRUST,Mutual Trust Bank Limited,Bank,bn,regulatory,neutral,neutral,0.0,0.0,0.0,0.0,1.0
N001408,2021-05-17,CUSTOMERS,Customer's Care PLC,Services,en,regulatory,positive,positive,0.8031446132808924,0.8226442337036133,0.8226442337036133,0.01949962042272091,0.15785616636276245
N001038,2012-09-07,LAFARGECEM,LafargeHolcim Bangladesh,Cement,bn,regulatory,positive,negative,-1.0,1.0,0.0,1.0,0.0
N000898,2015-06-15,POWERGRID,Power Grid Company of Bangladesh,Power,en,regulatory,positive,positive,0.7564348690211773,0.7793841361999512,0.7793841361999512,0.02294926717877388,0.19766663014888763
N000953,2022-11-25,HEIDELBCEM,Heidelberg Cement Bangladesh,Cement,en,regulatory,negative,negative,-0.9214304117485881,0.9307156205177307,0.009285208769142628,0.9307156205177307,0.059999167919158936
N000317,2018-08-13,MUTUALTRUST,Mutual Trust Bank Limited,Bank,bn,regulatory,negative,negative,-1.0,1.0,0.0,1.0,0.0
N001181,2018-08-01,BATBC,British American Tobacco Bangladesh,Tobacco,en,regulatory,neutral,neutral,0.09603576362133026,0.8688273429870605,0.11360418796539307,0.017568424344062805,0.8688273429870605
N000157,2014-03-26,DUTCHBANGL,Dutch-Bangla Bank PLC,Bank,bn,macro,positive,neutral,0.0,0.0,0.0,0.0,1.0
N000536,2011-09-04,SQURPHARMA,Square Pharmaceuticals PLC,Pharma,en,dividend,neutral,neutral,0.06920608598738909,0.9066499471664429,0.08127808570861816,0.012071999721229076,0.9066499471664429
N000355,2024-05-20,NCCBANK,National Credit & Commerce Bank,Bank,bn,regulatory,neutral,neutral,0.0,0.0,0.0,0.0,1.0
N000549,2019-07-26,SQURPHARMA,Square Pharmaceuticals PLC,Pharma,en,dividend,positive,positive,0.8817634899169207,0.8997410535812378,0.8997410535812378,0.01797756366431713,0.08228138834238052
N000213,2020-10-23,EBL,Eastern Bank PLC,Bank,bn,earnings,negative,positive,1.0,1.0,1.0,0.0,0.0
N000428,2016-01-19,PRIMEBANK,Prime Bank Limited,Bank,en,earnings,positive,positive,0.938143776729703,0.9588173031806946,0.9588173031806946,0.02067352645099163,0.020509148016572
N000417,2025-07-12,PRIMEBANK,Prime Bank Limited,Bank,bn,scandal,negative,negative,-1.0,1.0,0.0,1.0,0.0
N000710,2025-04-23,GP,Grameenphone Limited,Telecom,en,expansion,negative,negative,-0.9169635493308306,0.9303557276725769,0.01339217834174633,0.9303557276725769,0.05625211074948311
N000431,2019-04-12,PRIMEBANK,Prime Bank Limited,Bank,bn,earnings,neutral,neutral,0.0,0.0,0.0,0.0,1.0
N000416,2012-02-21,PRIMEBANK,Prime Bank Limited,Bank,bn,regulatory,positive,positive,1.0,1.0,1.0,0.0,0.0
N001442,2020-05-07,CUSTOMERS,Customer's Care PLC,Services,en,expansion,positive,positive,0.7937077432870865,0.8028518557548523,0.8028518557548523,0.009144112467765808,0.18800406157970428
N000481,2015-12-31,SIBL,Social Islami Bank Limited,Bank,bn,regulatory,neutral,neutral,0.0,0.0,0.0,0.0,1.0
N001517,2018-08-15,DSEX,DSE Broad Index,Index,bn,scandal,negative,negative,-1.0,1.0,0.0,1.0,0.0
N000066,2012-08-02,BRACBANK,BRAC Bank Limited,Bank,en,expansion,positive,positive,0.8151036947965622,0.8245938420295715,0.8245938420295715,0.009490147233009338,0.1659161001443863
N000817,2017-09-15,ROBI,Robi Axiata Limited,Telecom,bn,dividend,negative,neutral,0.0,0.0,0.0,0.0,1.0
N000267,2010-02-13,ISLAMI BANK,Islami Bank Bangladesh PLC,Bank,en,earnings,negative,negative,-0.9655565582215786,0.9752652049064636,0.009708646684885025,0.9752652049064636,0.015026142820715904
N001047,2010-06-03,LAFARGECEM,LafargeHolcim Bangladesh,Cement,bn,scandal,negative,negative,-1.0,1.0,0.0,1.0,0.0
N000057,2025-07-01,BRACBANK,BRAC Bank Limited,Bank,en,dividend,neutral,neutral,0.05179035943001509,0.921055793762207,0.06536726653575897,0.013576907105743885,0.921055793762207
