stock,date,n_articles,mean_score,weighted_score,mean_confidence,pos_count,neg_count,neu_count,pos_ratio,neg_ratio
ACI,2010-04-26,1,0.0,0.0,0.0,0,0,1,0.0,0.0
ACI,2011-01-28,1,0.0,0.0,0.0,0,0,1,0.0,0.0
ACI,2011-02-11,1,1.0,1.0,1.0,1,0,0,1.0,0.0
ACI,2012-04-06,1,0.0,0.0,0.0,0,0,1,0.0,0.0
ACI,2012-11-14,1,-1.0,-1.0,1.0,0,1,0,0.0,1.0
ACI,2013-05-20,1,1.0,1.0,1.0,1,0,0,1.0,0.0
ACI,2013-09-12,1,-1.0,-1.0,1.0,0,1,0,0.0,1.0
ACI,2014-09-12,1,1.0,1.0,1.0,1,0,0,1.0,0.0
ACI,2014-09-28,1,-1.0,-1.0,1.0,0,1,0,0.0,1.0
ACI,2014-12-26,1,0.0,0.0,0.0,0,0,1,0.0,0.0
ACI,2015-05-23,1,-1.0,-1.0,1.0,0,1,0,0.0,1.0
ACI,2017-06-07,1,-1.0,-1.0,1.0,0,1,0,0.0,1.0
ACI,2017-06-08,1,0.0,0.0,0.0,0,0,1,0.0,0.0
ACI,2018-01-31,1,1.0,1.0,1.0,1,0,0,1.0,0.0
ACI,2020-07-21,1,0.0,0.0,0.0,0,0,1,0.0,0.0
ACI,2020-09-15,1,-1.0,-1.0,1.0,0,1,0,0.0,1.0
ACI,2021-10-04,1,1.0,1.0,1.0,1,0,0,1.0,0.0
ACI,2022-10-31,1,-1.0,-1.0,1.0,0,1,0,0.0,1.0
ACI,2023-08-24,1,0.0,0.0,0.0,0,0,1,0.0,0.0
ACI,2025-03-14,1,0.0,0.0,0.0,0,0,1,0.0,0.0
ACI,2025-05-28,1,0.0,0.0,0.0,0,0,1,0.0,0.0
BANKASIA,2010-09-15,1,1.0,1.0,1.0,1,0,0,1.0,0.0
BANKASIA,2011-07-15,1,0.0,0.0,0.0,0,0,1,0.0,0.0
BANKASIA,2011-09-09,1,1.0,1.0,1.0,1,0,0,1.0,0.0
BANKASIA,2014-09-25,1,0.0,0.0,0.0,0,0,1,0.0,0.0
BANKASIA,2014-10-22,1,-1.0,-1.0,1.0,0,1,0,0.0,1.0
BANKASIA,2015-03-23,1,1.0,1.0,1.0,1,0,0,1.0,0.0
BANKASIA,2018-03-08,1,0.0,0.0,0.0,0,0,1,0.0,0.0
BANKASIA,2018-04-16,1,1.0,1.0,1.0,1,0,0,1.0,0.0
BANKASIA,2018-07-06,1,0.0,0.0,0.0,0,0,1,0.0,0.0
BANKASIA,2018-12-13,1,0.0,0.0,0.0,0,0,1,0.0,0.0
BANKASIA,2018-12-14,1,1.0,1.0,1.0,1,0,0,1.0,0.0
BANKASIA,2019-10-02,1,-1.0,-1.0,1.0,0,1,0,0.0,1.0
BANKASIA,2021-05-07,1,0.0,0.0,0.0,0,0,1,0.0,0.0
BANKASIA,2022-08-04,1,-1.0,-1.0,1.0,0,1,0,0.0,1.0
BANKASIA,2022-09-22,1,1.0,1.0,1.0,1,0,0,1.0,0.0
BANKASIA,2023-02-07,1,-1.0,-1.0,1.0,0,1,0,0.0,1.0
BANKASIA,2023-05-14,1,-1.0,-1.0,1.0,0,1,0,0.0,1.0
BANKASIA,2023-08-10,1,-1.0,-1.0,1.0,0,1,0,0.0,1.0
BANKASIA,2025-10-20,1,1.0,1.0,1.0,1,0,0,1.0,0.0
BATBC,2010-06-11,1,-1.0,-1.0,1.0,0,1,0,0.0,1.0
BATBC,2012-08-29,1,1.0,1.0,1.0,1,0,0,1.0,0.0
BATBC,2012-10-11,1,1.0,1.0,1.0,1,0,0,1.0,0.0
BATBC,2013-01-04,1,-1.0,-1.0,1.0,0,1,0,0.0,1.0
BATBC,2013-11-08,1,1.0,1.0,1.0,1,0,0,1.0,0.0
BATBC,2015-09-04,1,1.0,1.0,1.0,1,0,0,1.0,0.0
BATBC,2017-02-03,1,-1.0,-1.0,1.0,0,1,0,0.0,1.0
BATBC,2019-02-19,1,0.0,0.0,0.0,0,0,1,0.0,0.0
BATBC,2019-07-12,1,-1.0,-1.0,1.0,0,1,0,0.0,1.0
BATBC,2020-09-01,1,-1.0,-1.0,1.0,0,1,0,0.0,1.0
BATBC,2022-02-15,1,1.0,1.0,1.0,1,0,0,1.0,0.0
BATBC,2022-12-20,1,0.0,0.0,0.0,0,0,1,0.0,0.0
BATBC,2024-06-10,1,-1.0,-1.0,1.0,0,1,0,0.0,1.0
BATBC,2024-12-20,1,0.0,0.0,0.0,0,0,1,0.0,0.0
BATBC,2025-11-14,1,0.0,0.0,0.0,0,0,1,0.0,0.0
BATBC,2026-07-20,1,1.0,1.0,1.0,1,0,0,1.0,0.0
BEXIMCO,2010-02-03,1,0.0,0.0,0.0,0,0,1,0.0,0.0
BEXIMCO,2011-10-11,1,-1.0,-1.0,1.0,0,1,0,0.0,1.0
BEXIMCO,2013-11-07,1,-1.0,-1.0,1.0,0,1,0,0.0,1.0
