feature,mean_abs_shap,mean_shap,n_stocks
Volume_SMA_20,0.0004910735267465205,8.419659043000428e-06,30
Returns_20d,0.0004626802914328476,-1.4989524311647187e-05,30
BB_Position,0.0003425071908133042,-5.1880820456442367e-05,30
Volatility_60d,0.0003422230294665105,-5.1293988638817654e-05,30
Volume_Ratio,0.0003275447465191605,-1.6744386105756343e-05,30
BB_Width,0.00032343433462969407,5.269065851942558e-05,30
SMA_200,0.00029730327126820604,3.3706375785092035e-05,30
Returns_5d,0.000249080364672197,2.0578815212405553e-06,30
SMA_100,0.00024693783231005776,7.237104023594746e-05,30
RSI_14,0.00024541714322043876,7.827572611552014e-06,30
ATR_14,0.00024340707388529568,-1.2312305327932935e-05,30
Volatility_30d,0.00023400971439353256,5.529820258671969e-06,30
Returns_1d,0.00023123722780700015,-6.4826341295724384e-06,30
Log_Returns,0.0002306132036192782,-1.0985338277393082e-05,30
EMA_50,0.00022980840985582635,4.1974158693912715e-05,30
SMA_50,0.00020657389103101868,-3.45206910754273e-05,30
SMA_10,0.0001935234564785625,-1.0662034899151417e-06,30
SMA_5,0.0001798737237451318,-7.042945706524917e-06,30
BB_Lower,0.00016994471144663196,-2.6217185977581113e-06,30
BB_Upper,0.00016120170075297746,-4.2444951925986186e-05,30
MACD_Histogram,0.00015452033991802933,-1.5223657431950413e-05,30
EMA_12,0.00014517504581577323,-4.039836800823943e-05,30
MACD_Signal,0.00013077660568347037,-1.981381351970446e-06,30
MACD,9.457442029164935e-05,2.908827412072024e-07,30
EMA_26,9.207923768524893e-05,-7.313698045551463e-07,30
SMA_20,5.5198618138064276e-05,9.157336514856571e-06,30
BB_Middle,4.874955733087912e-05,-1.1755794908224954e-06,30
