feature,mean_abs_shap,mean_shap,stock
ATR_14,0.0007661590934731066,-0.0007384102209471166,ACI
BB_Width,0.0006181311327964067,-5.745965972892009e-05,ACI
BB_Position,0.0005135603714734316,-6.205655517987907e-05,ACI
SMA_200,0.0005084277945570648,-0.0003833530063275248,ACI
Returns_1d,0.0004875146842096001,2.953131297545042e-05,ACI
SMA_100,0.0004126968851778656,0.00040915291174314916,ACI
Volume_SMA_20,0.00041195587255060673,0.000159610208356753,ACI
Volume_Ratio,0.0003895217087119818,-5.0845159421442077e-05,ACI
Returns_5d,0.0003516306751407683,-3.46241140505299e-05,ACI
RSI_14,0.0003360228147357702,9.788516763364896e-05,ACI
Returns_20d,0.00029726893990300596,-5.2564962970791385e-05,ACI
Volatility_30d,0.000297206366667524,5.1684728532563895e-05,ACI
Volatility_60d,0.00029497320065274835,-4.7500041546300054e-05,ACI
MACD_Histogram,0.0002939960977528244,-0.00010891552665270865,ACI
MACD,0.0002898498496506363,-7.756587729090825e-05,ACI
BB_Lower,0.00026054654153995216,0.00019954559684265405,ACI
MACD_Signal,0.00025279002147726715,2.373277493461501e-05,ACI
EMA_50,0.0002073097275570035,-0.00020643576863221824,ACI
Log_Returns,0.00012584825162775815,-8.292118764074985e-06,ACI
SMA_5,0.00011220267333555967,-7.24451310816221e-05,ACI
BB_Upper,0.0001121165623771958,6.007657430018298e-05,ACI
SMA_10,0.00010462780483067036,-5.974386294838041e-05,ACI
SMA_50,0.00010056106111733243,3.708861186169088e-05,ACI
SMA_20,9.262335515813902e-05,2.2989997887634672e-05,ACI
BB_Middle,9.254003089154139e-05,-7.470311538781971e-05,ACI
EMA_12,7.431619451381266e-05,-6.219415081432089e-05,ACI
EMA_26,6.411346839740872e-05,-4.316469494369812e-05,ACI
Volume_SMA_20,0.0007211587016173452,-0.00042429520610302136,BANKASIA
Volatility_60d,0.0004713397535562707,2.8119722535110535e-05,BANKASIA
Returns_5d,0.00031703837819984835,6.69409710805282e-05,BANKASIA
